Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,4,0.25,200,66.46803743153546,250,71.15432893255067,355,2,4448.16796875,0.0,0.0,271.115625
2,4,0.25,200,66.46803743153546,250,69.39696961966995,656,3,4353.2412109375,0.0,0.0,60.166723
3,4,0.25,200,66.46803743153546,-,83.0121933088197,2600,5,376.517578125,0.0,0.0,34.465959
4,4,0.25,200,66.46803743153546,-,68.81118318204304,254,1,55.654296875,0.0,0.0,77.330686
5,4,0.25,200,66.46803743153546,-,83.0121933088197,55487,9221,15760.3076171875,0.0,1024.0,1087.067289
6,4,0.25,200,66.46803743153546,-,83.0121933088197,1136,2,112.6796875,0.0,0.0,201.311927
1,8,0.25,200,66.46803743153546,250,68.22539674441613,141,1,4427.4140625,0.0,0.0,49.274009
2,8,0.25,200,66.46803743153546,250,68.22539674441613,141,1,4315.5703125,0.0,0.0,48.466843
3,8,0.25,200,66.46803743153546,-,75.254833995939,1842,5,157.9765625,0.0,0.0,22.344008
4,8,0.25,200,66.46803743153546,-,68.22539674441613,302,1,57.314453125,0.0,0.0,92.078531
5,8,0.25,200,66.46803743153546,-,75.254833995939,48825,8133,15701.6416015625,0.0,0.0,974.706018
6,8,0.25,200,66.46803743153546,-,75.254833995939,700,2,94.640625,0.0,0.0,138.526018
1,12,0.25,200,66.46803743153546,250,71.15432893255065,485,2,4460.77734375,0.0,0.0,288.239776
2,12,0.25,200,66.46803743153546,250,71.74011537017756,714,3,4359.33203125,0.0,0.0,65.911591
3,12,0.25,200,66.46803743153546,-,82.52691193458115,2491,5,272.7109375,0.0,0.0,31.572764
4,12,0.25,200,66.46803743153546,-,69.39696961966995,253,1,52.115234375,-980.0,-1024.0,77.280871
5,12,0.25,200,66.46803743153546,-,82.52691193458115,55237,9170,15757.73828125,0.0,0.0,1086.29234
6,12,0.25,200,66.46803743153546,-,82.52691193458115,1212,2,115.7890625,0.0,0.0,207.891814
1,16,0.25,200,66.46803743153546,250,69.39696961966993,300,2,4441.04296875,0.0,0.0,358.73092
2,16,0.25,200,66.46803743153546,250,70.56854249492375,649,3,4356.11328125,0.0,0.0,64.967784
3,16,0.25,200,66.46803743153546,-,78.76955262170043,2178,5,177.375,0.0,0.0,28.533761
4,16,0.25,200,66.46803743153546,-,69.39696961966993,442,1,87.439453125,0.0,0.0,117.656197
5,16,0.25,200,66.46803743153546,-,78.76955262170043,51526,8613,15727.22265625,0.0,0.0,1028.006324
6,16,0.25,200,66.46803743153546,-,78.76955262170043,954,2,106.2265625,0.0,0.0,173.724688
1,20,0.25,200,66.46803743153546,250,71.15432893255065,296,2,4443.60546875,0.0,0.0,331.114781
2,20,0.25,200,66.46803743153546,250,71.74011537017756,532,3,4347.92578125,0.0,0.0,62.948189
3,20,0.25,200,66.46803743153546,-,77.59797974644661,1858,5,160.921875,0.0,0.0,23.379779
4,20,0.25,200,66.46803743153546,-,70.56854249492375,608,1,97.212890625,0.0,0.0,146.75295
5,20,0.25,200,66.46803743153546,-,77.59797974644663,48259,8083,15699.05859375,0.0,0.0,952.845452
6,20,0.25,200,66.46803743153546,-,77.59797974644663,802,2,93.0,0.0,0.0,150.172274
1,24,0.25,200,66.46803743153546,250,71.39696961966993,267,2,4439.26953125,0.0,0.0,395.540747
2,24,0.25,200,66.46803743153546,250,72.32590180780447,648,3,4351.83984375,0.0,0.0,65.825683
3,24,0.25,200,66.46803743153546,-,82.76955262170043,2405,5,266.8984375,0.0,0.0,32.246235
4,24,0.25,200,66.46803743153546,-,69.98275605729684,424,1,84.947265625,0.0,0.0,112.962415
5,24,0.25,200,66.46803743153546,-,82.76955262170043,55799,9246,15761.56640625,0.0,0.0,1124.946972
6,24,0.25,200,66.46803743153546,-,82.87005768508877,1112,2,110.9921875,0.0,0.0,194.063439
1,28,0.25,200,66.46803743153546,250,74.56854249492375,632,3,4467.44140625,0.0,0.0,555.390863
2,28,0.25,200,66.46803743153546,250,72.56854249492375,710,3,4355.55859375,0.0,0.0,70.481057
3,28,0.25,200,66.46803743153546,-,98.04163056034258,5137,5,458.7109375,0.0,0.0,77.873871
4,28,0.25,200,66.46803743153546,-,71.39696961966993,475,1,90.072265625,0.0,0.0,123.966844
5,28,0.25,200,66.46803743153546,-,98.0416305603426,64622,10757,15845.9638671875,0.0,0.0,1463.896609
6,28,0.25,200,66.46803743153546,-,98.0416305603426,2052,2,258.046875,0.0,0.0,348.266252
1,32,0.25,200,66.46803743153546,250,69.98275605729685,277,2,4440.88671875,0.0,0.0,333.743079
2,32,0.25,200,66.46803743153546,250,71.15432893255065,650,3,4355.47265625,0.0,0.0,66.916891
3,32,0.25,200,66.46803743153546,-,78.18376618407353,1888,5,161.21875,0.0,0.0,23.86103
4,32,0.25,200,66.46803743153546,-,69.39696961966995,474,1,90.244140625,0.0,0.0,124.972073
5,32,0.25,200,66.46803743153546,-,78.18376618407353,50178,8413,15715.41015625,0.0,0.0,982.545233
6,32,0.25,200,66.46803743153546,-,78.18376618407352,688,2,92.7109375,0.0,0.0,132.715694
1,36,0.25,200,66.46803743153546,250,70.56854249492375,396,2,4452.89453125,0.0,0.0,230.064663
2,36,0.25,200,66.46803743153546,250,72.81118318204302,894,4,4368.59765625,0.0,0.0,74.006252
3,36,0.25,200,66.46803743153546,-,78.76955262170043,2235,5,181.21875,0.0,0.0,28.373378
4,36,0.25,200,66.46803743153546,-,69.39696961966995,335,1,83.166015625,0.0,0.0,91.453916
5,36,0.25,200,66.46803743153546,-,78.76955262170044,49747,8343,15712.83984375,0.0,0.0,1012.326981
6,36,0.25,200,66.46803743153546,-,78.76955262170044,1009,2,109.9765625,0.0,0.0,176.01741
1,40,0.25,200,66.46803743153546,250,69.98275605729684,279,2,4440.47265625,0.0,0.0,242.704727
2,40,0.25,200,66.46803743153546,250,73.74011537017755,923,4,4371.48046875,0.0,0.0,74.293461
3,40,0.25,200,66.46803743153546,-,79.94112549695426,1872,5,161.890625,0.0,0.0,23.91824
4,40,0.25,200,66.46803743153546,-,69.98275605729684,584,1,97.189453125,0.0,0.0,145.51222
5,40,0.25,200,66.46803743153546,-,79.94112549695423,53285,8840,15739.58203125,0.0,0.0,1103.93436
6,40,0.25,200,66.46803743153546,-,79.94112549695423,770,2,96.546875,0.0,0.0,145.713389
