Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,5,0.25,200,66.46803743153546,250,71.15432893255067,355,2,4448.16796875,0.0,0.0,270.558418
2,5,0.25,200,66.46803743153546,250,69.39696961966995,656,3,4353.05078125,0.0,0.0,60.817366
3,5,0.25,200,66.46803743153546,-,83.0121933088197,2600,5,376.46875,0.0,0.0,34.731243
4,5,0.25,200,66.46803743153546,-,68.81118318204304,254,1,55.654296875,0.0,0.0,77.915264
5,5,0.25,200,66.46803743153546,-,83.0121933088197,55487,9221,15760.3076171875,0.0,0.0,1078.4863
6,5,0.25,200,66.46803743153546,-,83.0121933088197,1136,2,112.6796875,0.0,0.0,201.082643
1,9,0.25,200,66.46803743153546,250,68.22539674441613,141,1,4427.4140625,0.0,0.0,49.862397
2,9,0.25,200,66.46803743153546,250,68.22539674441613,141,1,4315.5703125,0.0,0.0,49.187355
3,9,0.25,200,66.46803743153546,-,75.254833995939,1842,5,157.9765625,0.0,0.0,22.584395
4,9,0.25,200,66.46803743153546,-,68.22539674441613,302,1,57.314453125,0.0,0.0,93.857224
5,9,0.25,200,66.46803743153546,-,75.254833995939,48825,8133,15701.6416015625,0.0,0.0,953.979138
6,9,0.25,200,66.46803743153546,-,75.254833995939,700,2,94.640625,0.0,0.0,139.497024
1,13,0.25,200,66.46803743153546,250,71.15432893255065,485,2,4460.77734375,0.0,0.0,287.820214
2,13,0.25,200,66.46803743153546,250,71.74011537017756,714,3,4359.33203125,0.0,0.0,66.667397
3,13,0.25,200,66.46803743153546,-,82.52691193458115,2491,5,272.7109375,0.0,0.0,31.691774
4,13,0.25,200,66.46803743153546,-,69.39696961966995,253,1,52.115234375,0.0,0.0,78.071456
5,13,0.25,200,66.46803743153546,-,82.52691193458115,55237,9170,15757.73828125,0.0,0.0,1080.615528
6,13,0.25,200,66.46803743153546,-,82.52691193458115,1212,2,115.7890625,0.0,0.0,208.274792
1,17,0.25,200,66.46803743153546,250,69.39696961966993,300,2,4441.04296875,0.0,0.0,358.585955
2,17,0.25,200,66.46803743153546,250,70.56854249492375,649,3,4356.11328125,0.0,0.0,64.864038
3,17,0.25,200,66.46803743153546,-,78.76955262170043,2178,5,177.375,0.0,0.0,28.826022
4,17,0.25,200,66.46803743153546,-,69.39696961966993,442,1,87.439453125,0.0,0.0,117.124027
5,17,0.25,200,66.46803743153546,-,78.76955262170043,51526,8613,15727.22265625,0.0,0.0,1022.547147
6,17,0.25,200,66.46803743153546,-,78.76955262170043,954,2,106.2265625,0.0,0.0,175.118826
1,21,0.25,200,66.46803743153546,250,71.15432893255065,296,2,4443.60546875,0.0,0.0,330.302077
2,21,0.25,200,66.46803743153546,250,71.74011537017756,532,3,4347.92578125,0.0,0.0,63.408275
