Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,44,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12662.67578125,0.0,0.0,1918.221516
2,44,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12660.74609375,0.0,0.0,192.465696
3,44,0.1,301,268.70057685088807,-,286.2741699796961,35534,5,5853.671875,0.0,0.0,848.785092
4,44,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,553.16796875,0.0,0.0,1210.550672
5,44,0.1,301,268.70057685088807,-,286.27416997969607,575204,80274,51807.7216796875,0.0,0.0,18157.28582
6,44,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1291.2890625,0.0,0.0,2508.303288
1,48,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,0.0,0.0,1643.616335
2,48,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12748.87890625,0.0,0.0,238.565369
3,48,0.1,301,268.70057685088807,-,283.3452377915616,33599,5,4180.2578125,0.0,0.0,784.393283
4,48,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,455.7529296875,0.0,0.0,706.984145
5,48,0.1,301,268.70057685088807,-,283.34523779156154,574888,80245,51801.9990234375,0.0,0.0,18136.13712
6,48,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1205.234375,0.0,0.0,2187.618232
1,52,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12678.55859375,0.0,0.0,2185.560915
2,52,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12713.73046875,0.0,0.0,228.745421
3,52,0.1,301,268.70057685088807,-,287.1025971044422,35025,5,4282.2734375,0.0,0.0,834.39597
4,52,0.1,301,268.70057685088807,-,272.2152954766504,2376,1,458.8310546875,0.0,0.0,691.231976
5,52,0.1,301,268.70057685088807,-,287.1025971044423,576055,80315,51804.951171875,0.0,0.0,18265.869061
6,52,0.1,301,268.70057685088807,-,287.1025971044423,11329,2,1271.5234375,0.0,0.0,2467.847181
1,56,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,0.0,0.0,1972.47628
2,56,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12722.26953125,0.0,0.0,229.253928
3,56,0.1,301,268.70057685088807,-,286.27416997969607,34983,5,5817.9375,0.0,0.0,837.104424
4,56,0.1,301,268.70057685088807,-,272.80108191427735,3775,1,535.74609375,0.0,0.0,1096.074954
5,56,0.1,301,268.70057685088807,-,286.27416997969607,575476,80311,51803.6669921875,0.0,0.0,18101.397363
6,56,0.1,301,268.70057685088807,-,286.27416997969607,11434,2,1279.5390625,0.0,0.0,2500.723986
1,60,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12678.91796875,0.0,0.0,2085.607384
2,60,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12704.98046875,0.0,0.0,227.204167
