Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.25,250,66.46803743153546,250,71.15432893255065,881,4,7514.33203125,12524.0,12768.0,148.4491
2,2,0.25,250,66.46803743153546,250,71.15432893255065,711,3,7508.12890625,12888.0,13028.0,152.0762
2,2,0.25,250,66.46803743153546,250,70.56854249492376,737,3,7506.98046875,12440.0,12852.0,142.6551
2,2,0.25,250,66.46803743153546,250,69.39696961966995,410,2,7491.97265625,13460.0,14132.0,140.3685
2,2,0.25,250,66.46803743153546,250,69.39696961966995,397,2,7494.57421875,13524.0,13324.0,136.6632
2,2,0.25,250,66.46803743153546,250,68.81118318204302,248,1,7472.703125,13632.0,14964.0,157.5197
2,2,0.25,250,66.46803743153546,250,71.74011537017756,877,4,7514.67578125,14156.0,15856.0,147.7611
2,2,0.25,250,66.46803743153546,250,70.56854249492376,648,3,7500.41015625,10496.0,9960.0,192.3617
2,2,0.25,250,66.46803743153546,250,71.15432893255067,580,3,7495.33203125,10592.0,10548.0,158.2463
2,2,0.25,250,66.46803743153546,250,74.91168824543136,969,4,7522.02734375,10932.0,11032.0,180.8185
3,2,0.25,250,66.46803743153546,-,80.76955262170044,2232,5,291.2421875,0.0,0.0,45.038
3,2,0.25,250,66.46803743153546,-,84.87005768508878,2357,5,374.2734375,0.0,0.0,72.3078
3,2,0.25,250,66.46803743153546,-,75.84062043356589,1939,5,266.09375,12.0,0.0,50.7196
3,2,0.25,250,66.46803743153546,-,79.35533905932735,2230,5,363.515625,72.0,112.0,50.022
3,2,0.25,250,66.46803743153546,-,77.254833995939,2116,5,282.15625,32.0,0.0,51.5269
3,2,0.25,250,66.46803743153546,-,78.76955262170044,2048,5,277.6875,0.0,0.0,42.2747
3,2,0.25,250,66.46803743153546,-,77.59797974644661,1998,5,275.125,0.0,0.0,41.125
3,2,0.25,250,66.46803743153546,-,81.11269837220806,2458,5,379.3046875,0.0,0.0,55.5885
3,2,0.25,250,66.46803743153546,-,79.94112549695424,1707,5,252.890625,0.0,0.0,42.6676
3,2,0.25,250,66.46803743153546,-,78.76955262170043,2152,5,284.0625,12.0,0.0,44.7729
4,2,0.25,250,66.46803743153546,-,69.63961030678922,381,1,83.369140625,792.0,528.0,181.8916
4,2,0.25,250,66.46803743153546,-,70.22539674441613,501,1,88.275390625,708.0,780.0,259.0296
4,2,0.25,250,66.46803743153546,-,69.39696961966995,329,1,93.392578125,812.0,784.0,189.1269
4,2,0.25,250,66.46803743153546,-,69.39696961966995,375,1,80.337890625,532.0,512.0,277.5444
4,2,0.25,250,66.46803743153546,-,68.81118318204304,398,1,83.681640625,864.0,780.0,196.8151
4,2,0.25,250,66.46803743153546,-,68.81118318204302,414,1,84.634765625,552.0,512.0,167.469
4,2,0.25,250,66.46803743153546,-,69.98275605729685,470,1,86.642578125,928.0,784.0,327.9528
4,2,0.25,250,66.46803743153546,-,69.39696961966995,339,1,79.439453125,544.0,512.0,216.9626
4,2,0.25,250,66.46803743153546,-,70.56854249492376,560,1,91.775390625,552.0,516.0,311.3878
4,2,0.25,250,66.46803743153546,-,69.98275605729685,447,1,87.056640625,592.0,512.0,239.6792
