Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.25,250,66.46803743153546,250,71.15432893255065,881,4,7514.33203125,10924.0,10428.0,200.927
2,2,0.25,250,66.46803743153546,250,71.15432893255065,711,3,7508.12890625,11352.0,11956.0,168.8512
2,2,0.25,250,66.46803743153546,250,70.56854249492376,737,3,7506.98046875,11644.0,12304.0,172.556
2,2,0.25,250,66.46803743153546,250,69.39696961966995,410,2,7491.97265625,12324.0,11900.0,173.6245
2,2,0.25,250,66.46803743153546,250,69.39696961966995,397,2,7494.57421875,11888.0,12404.0,209.12
2,2,0.25,250,66.46803743153546,250,68.81118318204302,248,1,7472.703125,11500.0,12028.0,173.9616
2,2,0.25,250,66.46803743153546,250,71.74011537017756,877,4,7514.67578125,12272.0,11980.0,231.4155
2,2,0.25,250,66.46803743153546,250,70.56854249492376,648,3,7500.41015625,12896.0,13788.0,261.3927
2,2,0.25,250,66.46803743153546,250,71.15432893255067,580,3,7495.33203125,12828.0,13772.0,218.3768
2,2,0.25,250,66.46803743153546,250,74.91168824543136,969,4,7522.02734375,12468.0,12396.0,240.4451
3,2,0.25,250,66.46803743153546,-,80.76955262170044,2232,5,291.2421875,0.0,0.0,80.6055
3,2,0.25,250,66.46803743153546,-,84.87005768508878,2357,5,374.2734375,8.0,0.0,43.7203
3,2,0.25,250,66.46803743153546,-,75.84062043356589,1939,5,266.09375,0.0,0.0,39.6285
3,2,0.25,250,66.46803743153546,-,79.35533905932735,2230,5,363.515625,0.0,0.0,47.015
3,2,0.25,250,66.46803743153546,-,77.254833995939,2116,5,282.15625,0.0,0.0,45.514
3,2,0.25,250,66.46803743153546,-,78.76955262170044,2048,5,277.6875,0.0,0.0,41.2209
3,2,0.25,250,66.46803743153546,-,77.59797974644661,1998,5,275.125,12.0,0.0,41.5489
3,2,0.25,250,66.46803743153546,-,81.11269837220806,2458,5,379.3046875,272.0,268.0,44.9934
3,2,0.25,250,66.46803743153546,-,79.94112549695424,1707,5,252.890625,0.0,0.0,29.895
3,2,0.25,250,66.46803743153546,-,78.76955262170043,2152,5,284.0625,16.0,0.0,48.3362
4,2,0.25,250,66.46803743153546,-,69.63961030678922,381,1,83.369140625,544.0,512.0,214.684
4,2,0.25,250,66.46803743153546,-,70.22539674441613,501,1,88.275390625,832.0,780.0,211.8042
4,2,0.25,250,66.46803743153546,-,69.39696961966995,329,1,93.392578125,532.0,512.0,163.6328
4,2,0.25,250,66.46803743153546,-,69.39696961966995,375,1,80.337890625,868.0,780.0,161.2776
4,2,0.25,250,66.46803743153546,-,68.81118318204304,398,1,83.681640625,532.0,512.0,173.7698
4,2,0.25,250,66.46803743153546,-,68.81118318204302,414,1,84.634765625,940.0,780.0,207.3998
4,2,0.25,250,66.46803743153546,-,69.98275605729685,470,1,86.642578125,752.0,512.0,215.4802
4,2,0.25,250,66.46803743153546,-,69.39696961966995,339,1,79.439453125,792.0,512.0,186.8507
4,2,0.25,250,66.46803743153546,-,70.56854249492376,560,1,91.775390625,736.0,520.0,218.3932
4,2,0.25,250,66.46803743153546,-,69.98275605729685,447,1,87.056640625,944.0,780.0,226.5623
