Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.25,250,66.46803743153546,250,71.15432893255065,881,4,7523.5703125,19068.0,19480.0,145.1995
2,2,0.25,250,66.46803743153546,250,71.15432893255065,711,3,7508.3193359375,16092.0,17008.0,147.5551
2,2,0.25,250,66.46803743153546,250,70.56854249492376,737,3,7506.98046875,14400.0,15272.0,135.3774
2,2,0.25,250,66.46803743153546,250,69.39696961966995,410,2,7491.97265625,15616.0,16704.0,171.6474
2,2,0.25,250,66.46803743153546,250,69.39696961966995,397,2,7494.57421875,15648.0,16772.0,135.6198
2,2,0.25,250,66.46803743153546,250,68.81118318204302,248,1,7472.703125,15524.0,16452.0,141.0239
2,2,0.25,250,66.46803743153546,250,71.74011537017756,877,4,7514.67578125,13672.0,15056.0,147.3169
2,2,0.25,250,66.46803743153546,250,70.56854249492376,648,3,7500.41015625,13604.0,14472.0,146.5727
2,2,0.25,250,66.46803743153546,250,71.15432893255067,580,3,7495.33203125,14780.0,13972.0,136.8966
2,2,0.25,250,66.46803743153546,250,74.91168824543136,969,4,7522.02734375,15208.0,15640.0,168.4182
3,2,0.25,250,66.46803743153546,-,80.76955262170044,2232,5,296.7705078125,32.0,32.0,63.9993
3,2,0.25,250,66.46803743153546,-,84.87005768508878,2357,5,374.322265625,0.0,0.0,63.0918
3,2,0.25,250,66.46803743153546,-,75.84062043356589,1939,5,266.09375,12.0,0.0,48.4985
3,2,0.25,250,66.46803743153546,-,79.35533905932735,2230,5,363.515625,88.0,88.0,53.0072
3,2,0.25,250,66.46803743153546,-,77.254833995939,2116,5,282.15625,12.0,0.0,49.3344
3,2,0.25,250,66.46803743153546,-,78.76955262170044,2048,5,277.6875,12.0,0.0,45.2029
3,2,0.25,250,66.46803743153546,-,77.59797974644661,1998,5,275.125,12.0,0.0,46.2183
3,2,0.25,250,66.46803743153546,-,81.11269837220806,2458,5,379.3046875,12.0,0.0,47.1934
3,2,0.25,250,66.46803743153546,-,79.94112549695424,1707,5,252.890625,0.0,0.0,33.6105
3,2,0.25,250,66.46803743153546,-,78.76955262170043,2152,5,284.0625,12.0,0.0,44.8937
4,2,0.25,250,66.46803743153546,-,69.63961030678922,381,1,90.810546875,1072.0,1540.0,175.2025
4,2,0.25,250,66.46803743153546,-,70.22539674441613,501,1,88.275390625,1304.0,780.0,220.5165
4,2,0.25,250,66.46803743153546,-,69.39696961966995,329,1,93.564453125,852.0,512.0,201.3835
4,2,0.25,250,66.46803743153546,-,69.39696961966995,375,1,80.337890625,1240.0,1804.0,171.5262
4,2,0.25,250,66.46803743153546,-,68.81118318204304,398,1,83.681640625,884.0,512.0,176.7828
4,2,0.25,250,66.46803743153546,-,68.81118318204302,414,1,84.634765625,1152.0,780.0,206.689
4,2,0.25,250,66.46803743153546,-,69.98275605729685,470,1,86.642578125,1040.0,1804.0,206.4347
4,2,0.25,250,66.46803743153546,-,69.39696961966995,339,1,79.439453125,848.0,512.0,142.3048
4,2,0.25,250,66.46803743153546,-,70.56854249492376,560,1,91.775390625,872.0,516.0,231.9827
4,2,0.25,250,66.46803743153546,-,69.98275605729685,447,1,87.056640625,1052.0,1536.0,206.4835
