Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.25,150,66.46803743153546,250,71.98275605729684,590,3,3093.60546875,4832.0,4992.0,62.5937
2,2,0.25,150,66.46803743153546,250,78.32590180780448,1030,5,3114.36328125,4932.0,5752.0,82.4099
2,2,0.25,150,66.46803743153546,250,72.81118318204302,972,4,3117.85546875,4280.0,4732.0,77.0818
2,2,0.25,150,66.46803743153546,250,72.56854249492375,587,3,3093.01171875,4780.0,4992.0,60.5703
2,2,0.25,150,66.46803743153546,250,69.98275605729684,618,3,3096.76953125,5200.0,6016.0,65.5256
2,2,0.25,150,66.46803743153546,250,71.15432893255065,727,3,3105.36328125,4556.0,4988.0,71.5556
2,2,0.25,150,66.46803743153546,250,71.15432893255065,788,4,3103.33984375,4856.0,4988.0,73.2971
2,2,0.25,150,66.46803743153546,250,71.74011537017756,911,4,3112.52734375,5176.0,6020.0,91.847
2,2,0.25,150,66.46803743153546,250,71.15432893255065,656,3,3095.92578125,4532.0,4992.0,62.0958
2,2,0.25,150,66.46803743153546,250,72.32590180780447,648,3,3095.37109375,4888.0,4736.0,63.7106
3,2,0.25,150,66.46803743153546,-,79.01219330881973,2072,5,278.8359375,0.0,0.0,37.0544
3,2,0.25,150,66.46803743153546,-,88.87005768508878,4022,5,585.171875,188.0,208.0,75.5127
3,2,0.25,150,66.46803743153546,-,79.35533905932735,2058,5,278.8515625,16.0,0.0,37.0667
3,2,0.25,150,66.46803743153546,-,82.28427124746186,2522,5,481.125,192.0,132.0,44.1713
3,2,0.25,150,66.46803743153546,-,77.01219330881972,1965,5,271.296875,0.0,0.0,34.294
3,2,0.25,150,66.46803743153546,-,82.52691193458118,2004,5,274.78125,8.0,0.0,34.5277
3,2,0.25,150,66.46803743153546,-,86.76955262170043,3363,5,541.796875,40.0,132.0,58.9657
3,2,0.25,150,66.46803743153546,-,78.42640687119281,2264,5,389.5,44.0,0.0,38.9112
3,2,0.25,150,66.46803743153546,-,77.59797974644663,1795,5,258.1484375,0.0,0.0,29.5078
3,2,0.25,150,66.46803743153546,-,80.52691193458115,2078,5,278.1796875,12.0,0.0,35.9337
4,2,0.25,150,66.46803743153546,-,69.98275605729685,515,1,88.939453125,124.0,268.0,201.8771
4,2,0.25,150,66.46803743153546,-,72.22539674441613,530,1,92.228515625,472.0,268.0,194.9516
4,2,0.25,150,66.46803743153546,-,69.98275605729685,476,1,88.650390625,196.0,0.0,179.2173
4,2,0.25,150,66.46803743153546,-,68.81118318204304,322,1,80.603515625,292.0,0.0,133.1269
4,2,0.25,150,66.46803743153546,-,69.98275605729684,608,1,94.548828125,24.0,0.0,227.4197
4,2,0.25,150,66.46803743153546,-,69.39696961966995,459,1,84.962890625,496.0,268.0,211.9412
4,2,0.25,150,66.46803743153546,-,69.98275605729685,410,1,83.009765625,196.0,0.0,162.4248
4,2,0.25,150,66.46803743153546,-,68.81118318204304,321,1,80.611328125,296.0,268.0,131.2371
4,2,0.25,150,66.46803743153546,-,68.81118318204304,317,1,79.900390625,148.0,0.0,133.3184
4,2,0.25,150,66.46803743153546,-,71.15432893255065,672,1,99.869140625,72.0,0.0,236.7912
