Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.40000000000000013,301,268.70057685088807,250,335.7888886054576,4660,19,12882.08203125,9160.0,9240.0,383.0106
2,2,0.40000000000000013,301,268.70057685088807,250,314.1320343559652,2904,12,12771.05859375,9172.0,9240.0,300.9436
2,2,0.40000000000000013,301,268.70057685088807,250,328.2325394193535,3179,13,12789.53515625,9188.0,9236.0,427.5371
2,2,0.40000000000000013,301,268.70057685088807,250,311.30360723121885,2612,11,12750.38671875,9148.0,9212.0,467.6969
2,2,0.40000000000000013,301,268.70057685088807,250,331.7888886054575,3795,16,12826.01171875,9192.0,9236.0,394.343
2,2,0.40000000000000013,301,268.70057685088807,250,320.37467504308444,3441,14,12803.19140625,9176.0,9212.0,340.6513
2,2,0.40000000000000013,301,268.70057685088807,250,330.1736649163079,4173,17,12851.43359375,9156.0,9236.0,352.5849
2,2,0.40000000000000013,301,268.70057685088807,250,330.61731573020387,4028,17,12841.95703125,9180.0,9240.0,356.6812
2,2,0.40000000000000013,301,268.70057685088807,250,319.98989873223417,4022,17,12840.16796875,9208.0,9240.0,424.6451
2,2,0.40000000000000013,301,268.70057685088807,250,317.10259710444245,3317,14,12793.80078125,9192.0,9216.0,319.6256
3,2,0.40000000000000013,301,268.70057685088807,-,515.5218613006984,37939,5,4584.2734375,2096.0,2064.0,1666.8153
3,2,0.40000000000000013,301,268.70057685088807,-,535.7228714274752,47334,5,4753.8125,1920.0,1592.0,2070.3334
3,2,0.40000000000000013,301,268.70057685088807,-,493.8233764908634,33022,5,4136.3984375,1916.0,2104.0,1360.7207
3,2,0.40000000000000013,301,268.70057685088807,-,592.7939392393406,25671,5,2638.8046875,1864.0,1552.0,855.6742
3,2,0.40000000000000013,301,268.70057685088807,-,464.89444430272897,32339,5,4177.2265625,1840.0,1528.0,1385.9258
3,2,0.40000000000000013,301,268.70057685088807,-,604.2081528017138,60169,5,6158.64453125,3180.0,3152.0,2645.8915
3,2,0.40000000000000013,301,268.70057685088807,-,535.3380951166248,65569,5,8048.92578125,5840.0,5700.0,3875.0253
3,2,0.40000000000000013,301,268.70057685088807,-,711.3208511739222,119268,5,12246.54296875,8368.0,8332.0,11329.1402
3,2,0.40000000000000013,301,268.70057685088807,-,999.1614716074885,124662,5,13829.41015625,8824.0,8700.0,9359.4776
3,2,0.40000000000000013,301,268.70057685088807,-,593.7228714274752,84218,5,8842.84375,4704.0,4624.0,5432.0663
4,2,0.40000000000000013,301,268.70057685088807,-,293.3036072312189,9000,1,1108.3623046875,2788.0,3672.0,2565.7436
4,2,0.40000000000000013,301,268.70057685088807,-,295.7888886054575,9691,1,1153.1435546875,2016.0,2020.0,2725.0034
4,2,0.40000000000000013,301,268.70057685088807,-,300.1320343559651,11639,1,1255.53515625,2904.0,2828.0,3296.8505
4,2,0.40000000000000013,301,268.70057685088807,-,296.132034355965,9428,1,1136.111328125,2592.0,2536.0,2685.1527
4,2,0.40000000000000013,301,268.70057685088807,-,301.4457428549499,12207,1,1287.14453125,2932.0,3048.0,4151.7666
4,2,0.40000000000000013,301,268.70057685088807,-,291.78888860545743,7688,1,1040.66015625,2572.0,2572.0,2436.2286
4,2,0.40000000000000013,301,268.70057685088807,-,297.8893936688458,9829,1,1154.8154296875,2612.0,2600.0,6274.9698
4,2,0.40000000000000013,301,268.70057685088807,-,296.71782079359207,9301,1,1127.69140625,2652.0,2636.0,5305.4452
4,2,0.40000000000000013,301,268.70057685088807,-,293.8893936688458,9141,1,1115.7919921875,2648.0,2676.0,4000.9362
4,2,0.40000000000000013,301,268.70057685088807,-,293.2031021678306,7865,1,1050.3779296875,2304.0,2300.0,4749.2104
