Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.40000000000000013,301,268.70057685088807,250,335.7888886054576,4660,19,12882.08203125,9212.0,9240.0,380.3476
2,2,0.40000000000000013,301,268.70057685088807,250,314.1320343559652,2904,12,12771.05859375,9188.0,9240.0,345.2614
2,2,0.40000000000000013,301,268.70057685088807,250,328.2325394193535,3179,13,12789.53515625,9208.0,9240.0,331.1506
2,2,0.40000000000000013,301,268.70057685088807,250,311.30360723121885,2612,11,12750.38671875,9184.0,9240.0,283.5942
2,2,0.40000000000000013,301,268.70057685088807,250,331.7888886054575,3795,16,12826.01171875,9180.0,9240.0,417.3714
2,2,0.40000000000000013,301,268.70057685088807,250,320.37467504308444,3441,14,12803.19140625,9244.0,9240.0,362.235
2,2,0.40000000000000013,301,268.70057685088807,250,330.1736649163079,4173,17,12851.43359375,9228.0,9240.0,808.6235
2,2,0.40000000000000013,301,268.70057685088807,250,330.61731573020387,4028,17,12841.95703125,9192.0,9240.0,652.9532
2,2,0.40000000000000013,301,268.70057685088807,250,319.98989873223417,4022,17,12840.16796875,9200.0,9240.0,336.5978
2,2,0.40000000000000013,301,268.70057685088807,250,317.10259710444245,3317,14,12793.80078125,9216.0,9212.0,356.9386
3,2,0.40000000000000013,301,268.70057685088807,-,515.5218613006984,37939,5,4584.2734375,2208.0,2712.0,1613.897
3,2,0.40000000000000013,301,268.70057685088807,-,535.7228714274752,47334,5,4753.8125,1852.0,2100.0,2034.0486
3,2,0.40000000000000013,301,268.70057685088807,-,493.8233764908634,33022,5,4136.3984375,1932.0,2124.0,1185.7373
3,2,0.40000000000000013,301,268.70057685088807,-,592.7939392393406,25671,5,2638.8046875,1628.0,1544.0,899.8691
3,2,0.40000000000000013,301,268.70057685088807,-,464.89444430272897,32339,5,4177.2265625,1740.0,1544.0,1285.6929
3,2,0.40000000000000013,301,268.70057685088807,-,604.2081528017138,60169,5,6158.64453125,3196.0,3128.0,2839.3047
3,2,0.40000000000000013,301,268.70057685088807,-,535.3380951166248,65569,5,8048.92578125,5464.0,5120.0,3496.3847
3,2,0.40000000000000013,301,268.70057685088807,-,711.3208511739222,119268,5,12246.54296875,8356.0,8364.0,8480.9606
3,2,0.40000000000000013,301,268.70057685088807,-,999.1614716074885,124662,5,13829.41015625,9328.0,9280.0,8244.0708
3,2,0.40000000000000013,301,268.70057685088807,-,593.7228714274752,84218,5,8842.84375,5048.0,5184.0,5252.4662
4,2,0.40000000000000013,301,268.70057685088807,-,293.3036072312189,9000,1,1108.3623046875,2816.0,3660.0,2514.0326
4,2,0.40000000000000013,301,268.70057685088807,-,295.7888886054575,9691,1,1153.1435546875,2636.0,2644.0,2762.2337
4,2,0.40000000000000013,301,268.70057685088807,-,300.1320343559651,11639,1,1255.53515625,2612.0,2560.0,3414.1646
4,2,0.40000000000000013,301,268.70057685088807,-,296.132034355965,9428,1,1136.111328125,2576.0,2604.0,2669.1582
4,2,0.40000000000000013,301,268.70057685088807,-,301.4457428549499,12207,1,1287.14453125,2824.0,2820.0,3741.6441
4,2,0.40000000000000013,301,268.70057685088807,-,291.78888860545743,7688,1,1040.66015625,2632.0,2640.0,2406.448
4,2,0.40000000000000013,301,268.70057685088807,-,297.8893936688458,9829,1,1154.8154296875,2304.0,2328.0,2878.0673
4,2,0.40000000000000013,301,268.70057685088807,-,296.71782079359207,9301,1,1127.69140625,2428.0,2296.0,2693.4435
4,2,0.40000000000000013,301,268.70057685088807,-,293.8893936688458,9141,1,1115.7919921875,2616.0,2560.0,2521.7824
4,2,0.40000000000000013,301,268.70057685088807,-,293.2031021678306,7865,1,1050.3779296875,2360.0,2296.0,2400.2717
