Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.40000000000000013,301,268.70057685088807,250,335.7888886054576,4660,19,12882.08203125,9212.0,9240.0,418.7978
2,2,0.40000000000000013,301,268.70057685088807,250,314.1320343559652,2904,12,12771.05859375,9220.0,9244.0,262.5144
2,2,0.40000000000000013,301,268.70057685088807,250,328.2325394193535,3179,13,12789.53515625,9248.0,9244.0,304.8086
2,2,0.40000000000000013,301,268.70057685088807,250,311.30360723121885,2612,11,12750.38671875,9200.0,9240.0,227.9468
2,2,0.40000000000000013,301,268.70057685088807,250,331.7888886054575,3795,16,12826.01171875,9232.0,9240.0,294.8441
2,2,0.40000000000000013,301,268.70057685088807,250,320.37467504308444,3441,14,12803.19140625,9200.0,9244.0,273.298
2,2,0.40000000000000013,301,268.70057685088807,250,330.1736649163079,4173,17,12851.43359375,9208.0,9240.0,345.6881
2,2,0.40000000000000013,301,268.70057685088807,250,330.61731573020387,4028,17,12841.95703125,9204.0,9240.0,303.396
2,2,0.40000000000000013,301,268.70057685088807,250,319.98989873223417,4022,17,12840.16796875,9224.0,9240.0,300.7792
2,2,0.40000000000000013,301,268.70057685088807,250,317.10259710444245,3317,14,12793.80078125,9256.0,9240.0,269.0793
3,2,0.40000000000000013,301,268.70057685088807,-,515.5218613006984,37939,5,4584.2734375,2188.0,2128.0,1548.2741
3,2,0.40000000000000013,301,268.70057685088807,-,535.7228714274752,47334,5,4753.8125,2512.0,2160.0,2025.7054
3,2,0.40000000000000013,301,268.70057685088807,-,493.8233764908634,33022,5,4136.3984375,1672.0,1584.0,1335.1497
3,2,0.40000000000000013,301,268.70057685088807,-,592.7939392393406,25671,5,2638.8046875,1500.0,1544.0,841.4825
3,2,0.40000000000000013,301,268.70057685088807,-,464.89444430272897,32339,5,4177.2265625,1628.0,1580.0,1257.172
3,2,0.40000000000000013,301,268.70057685088807,-,604.2081528017138,60169,5,6158.64453125,3752.0,3732.0,2647.4331
3,2,0.40000000000000013,301,268.70057685088807,-,535.3380951166248,65569,5,8048.92578125,5736.0,5700.0,3418.372
3,2,0.40000000000000013,301,268.70057685088807,-,711.3208511739222,119268,5,12246.54296875,8636.0,8336.0,8448.3848
3,2,0.40000000000000013,301,268.70057685088807,-,999.1614716074885,124662,5,13829.41015625,8796.0,8712.0,8392.8263
3,2,0.40000000000000013,301,268.70057685088807,-,593.7228714274752,84218,5,8842.84375,6376.0,6280.0,5161.7061
4,2,0.40000000000000013,301,268.70057685088807,-,293.3036072312189,9000,1,1108.3623046875,2332.0,2292.0,2767.1881
4,2,0.40000000000000013,301,268.70057685088807,-,295.7888886054575,9691,1,1153.1435546875,2620.0,2600.0,3147.0644
4,2,0.40000000000000013,301,268.70057685088807,-,300.1320343559651,11639,1,1255.53515625,2644.0,2636.0,4561.5082
4,2,0.40000000000000013,301,268.70057685088807,-,296.132034355965,9428,1,1136.111328125,2764.0,2560.0,3264.5073
4,2,0.40000000000000013,301,268.70057685088807,-,301.4457428549499,12207,1,1287.14453125,2656.0,2572.0,3999.1855
4,2,0.40000000000000013,301,268.70057685088807,-,291.78888860545743,7688,1,1040.66015625,2712.0,2532.0,2248.6913
4,2,0.40000000000000013,301,268.70057685088807,-,297.8893936688458,9829,1,1154.8154296875,2352.0,2260.0,2943.3586
4,2,0.40000000000000013,301,268.70057685088807,-,296.71782079359207,9301,1,1127.69140625,2580.0,2532.0,2946.5829
4,2,0.40000000000000013,301,268.70057685088807,-,293.8893936688458,9141,1,1115.7919921875,2432.0,2264.0,2849.7549
4,2,0.40000000000000013,301,268.70057685088807,-,293.2031021678306,7865,1,1050.3779296875,2556.0,2560.0,2546.9229
