Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.40000000000000013,301,268.70057685088807,250,335.7888886054576,4660,19,12786.41015625,8696.0,9240.0,407.0673
2,2,0.40000000000000013,301,268.70057685088807,250,314.1320343559652,2904,12,12771.05859375,9072.0,9240.0,372.8763
2,2,0.40000000000000013,301,268.70057685088807,250,328.2325394193535,3179,13,12789.53515625,9152.0,9240.0,418.6474
2,2,0.40000000000000013,301,268.70057685088807,250,311.30360723121885,2612,11,12750.38671875,9164.0,9240.0,278.5915
2,2,0.40000000000000013,301,268.70057685088807,250,331.7888886054575,3795,16,12826.01171875,9196.0,9212.0,396.3812
2,2,0.40000000000000013,301,268.70057685088807,250,320.37467504308444,3441,14,12803.19140625,9156.0,9240.0,395.3719
2,2,0.40000000000000013,301,268.70057685088807,250,330.1736649163079,4173,17,12851.43359375,9176.0,9240.0,356.3855
2,2,0.40000000000000013,301,268.70057685088807,250,330.61731573020387,4028,17,12841.95703125,9160.0,9240.0,363.0577
2,2,0.40000000000000013,301,268.70057685088807,250,319.98989873223417,4022,17,12840.16796875,9180.0,9240.0,377.6373
2,2,0.40000000000000013,301,268.70057685088807,250,317.10259710444245,3317,14,12793.80078125,9144.0,9240.0,328.5638
3,2,0.40000000000000013,301,268.70057685088807,-,515.5218613006984,37939,5,4584.2734375,1108.0,1028.0,1652.1794
3,2,0.40000000000000013,301,268.70057685088807,-,535.7228714274752,47334,5,4753.861328125,1644.0,1584.0,2086.7564
3,2,0.40000000000000013,301,268.70057685088807,-,493.8233764908634,33022,5,4136.3984375,1364.0,1548.0,1315.3846
3,2,0.40000000000000013,301,268.70057685088807,-,592.7939392393406,25671,5,2638.8046875,1476.0,1516.0,871.3857
3,2,0.40000000000000013,301,268.70057685088807,-,464.89444430272897,32339,5,4177.2265625,1872.0,2060.0,1272.9352
3,2,0.40000000000000013,301,268.70057685088807,-,604.2081528017138,60169,5,6158.64453125,2888.0,2840.0,2649.2532
3,2,0.40000000000000013,301,268.70057685088807,-,535.3380951166248,65569,5,8048.92578125,5740.0,5632.0,3453.366
3,2,0.40000000000000013,301,268.70057685088807,-,711.3208511739222,119268,5,12246.54296875,8364.0,8332.0,8474.4908
3,2,0.40000000000000013,301,268.70057685088807,-,999.1614716074885,124662,5,13829.41015625,8792.0,8700.0,8540.4356
3,2,0.40000000000000013,301,268.70057685088807,-,593.7228714274752,84218,5,8842.84375,4720.0,4600.0,5826.4839
4,2,0.40000000000000013,301,268.70057685088807,-,293.3036072312189,9000,1,1108.3623046875,3296.0,3316.0,2429.4735
4,2,0.40000000000000013,301,268.70057685088807,-,295.7888886054575,9691,1,1153.1435546875,3584.0,3628.0,2868.8984
4,2,0.40000000000000013,301,268.70057685088807,-,300.1320343559651,11639,1,1255.53515625,3768.0,3904.0,3981.1035
4,2,0.40000000000000013,301,268.70057685088807,-,296.132034355965,9428,1,1136.111328125,2620.0,2560.0,2869.8262
4,2,0.40000000000000013,301,268.70057685088807,-,301.4457428549499,12207,1,1287.14453125,2928.0,3584.0,3543.0887
4,2,0.40000000000000013,301,268.70057685088807,-,291.78888860545743,7688,1,1040.66015625,2596.0,2640.0,2153.5743
4,2,0.40000000000000013,301,268.70057685088807,-,297.8893936688458,9829,1,1154.8154296875,2316.0,2292.0,2816.7491
4,2,0.40000000000000013,301,268.70057685088807,-,296.71782079359207,9301,1,1127.69140625,2932.0,3588.0,2616.0828
4,2,0.40000000000000013,301,268.70057685088807,-,293.8893936688458,9141,1,1115.7919921875,2632.0,2636.0,2937.5584
4,2,0.40000000000000013,301,268.70057685088807,-,293.2031021678306,7865,1,1050.3779296875,2612.0,2564.0,2344.1197
