Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13018.79296875,9260.0,9236.0,437.3268
2,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13002.9765625,9268.0,9236.0,512.5612
2,2,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13006.8828125,9276.0,9236.0,506.5993
2,2,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13094.296875,9276.0,9236.0,526.9429
2,2,0.25,300,420.0214280248092,250,460.1391770309026,6123,25,12957.77734375,9260.0,9236.0,472.1168
2,2,0.25,300,420.0214280248092,250,454.8254685319177,6396,26,13002.703125,9284.0,9236.0,465.9725
2,2,0.25,300,420.0214280248092,250,462.1391770309026,6792,28,13006.48828125,9272.0,9236.0,478.6172
2,2,0.25,300,420.0214280248092,250,456.72496346852944,5831,24,12958.80078125,9268.0,9236.0,436.6558
2,2,0.25,300,420.0214280248092,250,450.1391770309026,5922,24,12959.5888671875,9268.0,9236.0,472.5664
2,2,0.25,300,420.0214280248092,250,463.45288552988734,6977,28,13020.01953125,9248.0,9236.0,483.1202
3,2,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13467.4375,13680.0,13784.0,3193.6353
3,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13773.2578125,14092.0,14076.0,4586.6182
3,2,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13746.3203125,13680.0,13784.0,3728.0188
3,2,0.25,300,420.0214280248092,-,488.2152954766509,76039,5,13438.2578125,13680.0,13784.0,3285.6842
3,2,0.25,300,420.0214280248092,-,496.75945135393516,79123,5,13703.52734375,13684.0,13784.0,3632.6156
3,2,0.25,300,420.0214280248092,-,490.55844122715854,77870,5,13608.890625,13768.0,13788.0,3577.7384
3,2,0.25,300,420.0214280248092,-,493.83051916580064,80323,5,13813.19140625,14068.0,13788.0,3577.1415
3,2,0.25,300,420.0214280248092,-,491.487373415293,74827,5,13354.70703125,13860.0,13784.0,3990.3916
3,2,0.25,300,420.0214280248092,-,494.65894629054674,79832,5,13787.515625,13684.0,13784.0,3802.1183
3,2,0.25,300,420.0214280248092,-,491.48737341529295,76790,5,13499.796875,13676.0,13784.0,3404.1183
4,2,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1767.7666015625,1964.0,1744.0,6369.1322
4,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1730.6953125,2048.0,2012.0,6030.1305
4,2,0.25,300,420.0214280248092,-,438.7665940288722,18324,1,1844.1328125,1804.0,1744.0,6789.5654
4,2,0.25,300,420.0214280248092,-,437.5950211536184,17212,1,1778.3515625,2060.0,2012.0,6352.6595
4,2,0.25,300,420.0214280248092,-,437.5950211536184,17058,1,1775.09375,1968.0,1744.0,6327.6152
4,2,0.25,300,420.0214280248092,-,436.080302527857,14303,1,1617.3193359375,2036.0,2012.0,5308.9246
4,2,0.25,300,420.0214280248092,-,438.7665940288722,18044,1,1822.7265625,1964.0,1744.0,6721.9634
4,2,0.25,300,420.0214280248092,-,436.4234482783646,16086,1,1709.046875,2052.0,2016.0,6286.2744
4,2,0.25,300,420.0214280248092,-,435.83766184073767,15280,1,1673.8447265625,1840.0,1772.0,5833.6056
4,2,0.25,300,420.0214280248092,-,434.08030252785693,12777,1,1537.8486328125,2220.0,2040.0,4772.8674
