Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13018.79296875,9264.0,9236.0,447.0694
2,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13003.3017578125,9276.0,9236.0,566.0293
2,2,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13006.8828125,9280.0,9236.0,453.3713
2,2,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13094.296875,9252.0,9236.0,690.7049
2,2,0.25,300,420.0214280248092,250,460.1391770309026,6123,25,12957.77734375,9272.0,9236.0,422.5382
2,2,0.25,300,420.0214280248092,250,454.8254685319177,6396,26,13002.703125,9256.0,9236.0,537.9874
2,2,0.25,300,420.0214280248092,250,462.1391770309026,6792,28,13006.48828125,9276.0,9236.0,558.1077
2,2,0.25,300,420.0214280248092,250,456.72496346852944,5831,24,12958.80078125,9268.0,9236.0,499.0617
2,2,0.25,300,420.0214280248092,250,450.1391770309026,5922,24,12959.125,9220.0,9236.0,502.4947
2,2,0.25,300,420.0214280248092,250,463.45288552988734,6977,28,13020.01953125,9312.0,9236.0,921.3966
3,2,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13467.4375,14072.0,14076.0,3139.4109
3,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13773.2578125,13668.0,13788.0,3335.5556
3,2,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13746.3203125,13696.0,13784.0,3374.9937
3,2,0.25,300,420.0214280248092,-,488.2152954766509,76039,5,13438.2578125,13680.0,13788.0,3135.2624
3,2,0.25,300,420.0214280248092,-,496.75945135393516,79123,5,13703.52734375,13688.0,13788.0,3326.1269
3,2,0.25,300,420.0214280248092,-,490.55844122715854,77870,5,13608.890625,13688.0,13788.0,3906.3887
3,2,0.25,300,420.0214280248092,-,493.83051916580064,80323,5,13813.19140625,13672.0,13784.0,3999.1593
3,2,0.25,300,420.0214280248092,-,491.487373415293,74827,5,13354.70703125,13848.0,13784.0,2969.6725
3,2,0.25,300,420.0214280248092,-,494.65894629054674,79832,5,13787.515625,13680.0,13784.0,3485.2163
3,2,0.25,300,420.0214280248092,-,491.48737341529295,76790,5,13499.796875,13672.0,13784.0,3322.2093
4,2,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1767.7666015625,1780.0,1772.0,6280.203
4,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1730.6953125,2132.0,2040.0,6096.2987
4,2,0.25,300,420.0214280248092,-,438.7665940288722,18324,1,1844.1328125,2220.0,2040.0,6755.0137
4,2,0.25,300,420.0214280248092,-,437.5950211536184,17212,1,1778.3515625,2048.0,2040.0,6342.5861
4,2,0.25,300,420.0214280248092,-,437.5950211536184,17058,1,1775.09375,1792.0,1772.0,6169.5123
4,2,0.25,300,420.0214280248092,-,436.080302527857,14303,1,1617.3193359375,2216.0,2040.0,5238.695
4,2,0.25,300,420.0214280248092,-,438.7665940288722,18044,1,1822.7265625,1788.0,1772.0,6639.0435
4,2,0.25,300,420.0214280248092,-,436.4234482783646,16086,1,1709.046875,2200.0,2040.0,5872.4174
4,2,0.25,300,420.0214280248092,-,435.83766184073767,15280,1,1673.8447265625,1784.0,1772.0,5661.2529
4,2,0.25,300,420.0214280248092,-,434.08030252785693,12777,1,1537.8486328125,2036.0,2040.0,4680.8062
