Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,12923.52734375,9276.0,9236.0,734.8098
2,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13002.9765625,9188.0,9236.0,547.9198
2,2,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13006.8828125,9216.0,9236.0,785.2145
2,2,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13094.296875,9248.0,9236.0,539.5415
2,2,0.25,300,420.0214280248092,250,460.1391770309026,6123,25,12957.77734375,9268.0,9236.0,423.2683
2,2,0.25,300,420.0214280248092,250,454.8254685319177,6396,26,13002.703125,9256.0,9236.0,430.4083
2,2,0.25,300,420.0214280248092,250,462.1391770309026,6792,28,13006.48828125,9264.0,9236.0,446.7778
2,2,0.25,300,420.0214280248092,250,456.72496346852944,5831,24,12958.80078125,9276.0,9236.0,459.7793
2,2,0.25,300,420.0214280248092,250,450.1391770309026,5922,24,12959.125,9268.0,9236.0,523.3599
2,2,0.25,300,420.0214280248092,250,463.45288552988734,6977,28,13020.01953125,9280.0,9236.0,473.9655
3,2,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13467.4375,12508.0,12460.0,3527.0691
3,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13773.2578125,13704.0,13788.0,3742.0891
3,2,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13746.3203125,13688.0,13764.0,4125.968
3,2,0.25,300,420.0214280248092,-,488.2152954766509,76039,5,13438.2578125,13684.0,13800.0,3332.1206
3,2,0.25,300,420.0214280248092,-,496.75945135393516,79123,5,13703.52734375,13680.0,13784.0,3467.9361
3,2,0.25,300,420.0214280248092,-,490.55844122715854,77870,5,13608.890625,13684.0,13788.0,3274.4079
3,2,0.25,300,420.0214280248092,-,493.83051916580064,80323,5,13813.19140625,13700.0,13784.0,3317.3353
3,2,0.25,300,420.0214280248092,-,491.487373415293,74827,5,13354.70703125,13944.0,14076.0,3154.0513
3,2,0.25,300,420.0214280248092,-,494.65894629054674,79832,5,13787.515625,13688.0,13784.0,3398.3189
3,2,0.25,300,420.0214280248092,-,491.48737341529295,76790,5,13499.796875,13676.0,13784.0,3199.3566
4,2,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1767.7666015625,1820.0,1772.0,6335.9782
4,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1730.6953125,1876.0,1776.0,6282.5388
4,2,0.25,300,420.0214280248092,-,438.7665940288722,18324,1,1844.1328125,1988.0,1772.0,6933.6188
4,2,0.25,300,420.0214280248092,-,437.5950211536184,17212,1,1778.3515625,2052.0,2040.0,6591.0281
4,2,0.25,300,420.0214280248092,-,437.5950211536184,17058,1,1775.09375,1976.0,1788.0,6557.7474
4,2,0.25,300,420.0214280248092,-,436.080302527857,14303,1,1617.3193359375,2044.0,2040.0,5278.4388
4,2,0.25,300,420.0214280248092,-,438.7665940288722,18044,1,1822.7265625,1800.0,1772.0,6887.3297
4,2,0.25,300,420.0214280248092,-,436.4234482783646,16086,1,1709.046875,2268.0,2068.0,6195.707
4,2,0.25,300,420.0214280248092,-,435.83766184073767,15280,1,1673.8447265625,1836.0,1740.0,7046.7875
4,2,0.25,300,420.0214280248092,-,434.08030252785693,12777,1,1537.8486328125,2220.0,2012.0,5128.1151
