Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,3,0.25,200,66.46803743153546,250,71.15432893255067,355,2,4455.4306640625,11636.0,11928.0,279.693482
2,3,0.25,200,66.46803743153546,250,69.39696961966995,656,3,4359.671875,524.0,0.0,59.517056
3,3,0.25,200,66.46803743153546,-,83.0121933088197,2600,5,383.3486328125,0.0,0.0,34.428188
4,3,0.25,200,66.46803743153546,-,68.81118318204304,254,1,60.416015625,264.0,1024.0,78.436669
5,3,0.25,200,66.46803743153546,-,83.0121933088197,55487,9221,15769.810546875,13460.0,13412.0,1233.725982
6,3,0.25,200,66.46803743153546,-,83.0121933088197,1136,2,117.984375,0.0,0.0,204.077414
1,7,0.25,200,66.46803743153546,250,68.22539674441613,141,1,4426.9765625,0.0,0.0,47.905191
2,7,0.25,200,66.46803743153546,250,68.22539674441613,141,1,4315.5703125,0.0,0.0,48.167054
3,7,0.25,200,66.46803743153546,-,75.254833995939,1842,5,157.6484375,0.0,0.0,22.391522
4,7,0.25,200,66.46803743153546,-,68.22539674441613,302,1,54.205078125,0.0,0.0,91.727593
5,7,0.25,200,66.46803743153546,-,75.254833995939,48825,8133,15701.6416015625,0.0,0.0,975.418218
6,7,0.25,200,66.46803743153546,-,75.254833995939,700,2,94.640625,0.0,0.0,139.497248
1,11,0.25,200,66.46803743153546,250,71.15432893255065,485,2,4460.17578125,0.0,0.0,283.430714
2,11,0.25,200,66.46803743153546,250,71.74011537017756,714,3,4359.33203125,0.0,0.0,65.769311
3,11,0.25,200,66.46803743153546,-,82.52691193458115,2491,5,272.3828125,0.0,0.0,31.621726
4,11,0.25,200,66.46803743153546,-,69.39696961966995,253,1,48.998046875,0.0,0.0,76.77034
5,11,0.25,200,66.46803743153546,-,82.52691193458115,55237,9170,15757.73828125,0.0,0.0,1094.942405
6,11,0.25,200,66.46803743153546,-,82.52691193458115,1212,2,115.7890625,0.0,0.0,210.458896
1,15,0.25,200,66.46803743153546,250,69.39696961966993,300,2,4440.44140625,0.0,0.0,352.033982
2,15,0.25,200,66.46803743153546,250,70.56854249492375,649,3,4356.11328125,0.0,0.0,64.86554
3,15,0.25,200,66.46803743153546,-,78.76955262170043,2178,5,177.046875,0.0,0.0,28.824496
4,15,0.25,200,66.46803743153546,-,69.39696961966993,442,1,84.486328125,0.0,0.0,116.275957
