Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,45,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12662.67578125,0.0,0.0,1918.411267
2,45,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12660.74609375,0.0,0.0,196.771265
3,45,0.1,301,268.70057685088807,-,286.2741699796961,35534,5,5853.671875,0.0,0.0,847.748331
4,45,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,553.16796875,0.0,0.0,1204.722547
5,45,0.1,301,268.70057685088807,-,286.27416997969607,575204,80274,51807.7216796875,0.0,0.0,18063.438781
6,45,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1293.9140625,0.0,0.0,2534.364346
1,49,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,0.0,0.0,1694.787976
2,49,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12748.87890625,0.0,0.0,244.85863
3,49,0.1,301,268.70057685088807,-,283.3452377915616,33599,5,4180.2578125,0.0,0.0,784.532919
4,49,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,455.7529296875,0.0,0.0,715.767501
5,49,0.1,301,268.70057685088807,-,283.34523779156154,574888,80245,51801.9990234375,0.0,0.0,18289.282236
6,49,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1205.234375,0.0,0.0,2171.974413
1,53,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12678.55859375,0.0,0.0,2206.993373
2,53,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12713.73046875,0.0,0.0,231.06315
3,53,0.1,301,268.70057685088807,-,287.1025971044422,35025,5,4282.2734375,0.0,0.0,838.28501
4,53,0.1,301,268.70057685088807,-,272.2152954766504,2376,1,458.8310546875,0.0,0.0,689.965987
5,53,0.1,301,268.70057685088807,-,287.1025971044423,576055,80315,51804.951171875,0.0,0.0,18465.070488
6,53,0.1,301,268.70057685088807,-,287.1025971044423,11329,2,1271.5234375,0.0,0.0,2470.460663
1,57,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,0.0,0.0,1992.667203
2,57,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12722.26953125,0.0,0.0,230.18647
3,57,0.1,301,268.70057685088807,-,286.27416997969607,34983,5,5817.9375,0.0,0.0,840.916533
4,57,0.1,301,268.70057685088807,-,272.80108191427735,3775,1,535.74609375,0.0,0.0,1097.017954
5,57,0.1,301,268.70057685088807,-,286.27416997969607,575476,80311,51803.6669921875,16100.0,16384.0,18193.721886
6,57,0.1,301,268.70057685088807,-,286.27416997969607,11434,2,1279.5390625,0.0,0.0,2501.529116
1,61,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12678.91796875,0.0,0.0,2073.752868
2,61,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12704.98046875,0.0,0.0,227.229357
3,61,0.1,301,268.70057685088807,-,283.93102422918844,33831,5,4200.28125,0.0,0.0,800.876704
4,61,0.1,301,268.70057685088807,-,273.38686835190424,4395,1,556.37109375,0.0,0.0,1264.653741
5,61,0.1,301,268.70057685088807,-,283.93102422918844,575313,80275,51800.4384765625,16100.0,16384.0,18431.564516
6,61,0.1,301,268.70057685088807,-,283.93102422918844,10366,2,1221.3046875,0.0,0.0,2256.118146
1,65,0.1,301,268.70057685088807,250,276.55844122715797,1316,6,12688.95703125,0.0,0.0,2238.770763
2,65,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12665.78515625,0.0,0.0,200.048172
3,65,0.1,301,268.70057685088807,-,285.6883835420691,34769,5,4264.234375,0.0,0.0,830.417829
4,65,0.1,301,268.70057685088807,-,272.80108191427735,3496,1,516.75390625,0.0,0.0,990.787688
5,65,0.1,301,268.70057685088807,-,285.68838354206923,575215,80284,51806.9287109375,24284.0,24576.0,17911.493168
6,65,0.1,301,268.70057685088807,-,285.6883835420692,11220,2,1262.875,0.0,0.0,2444.121533
1,69,0.1,301,268.70057685088807,250,275.1442276647849,1226,5,12684.22265625,0.0,0.0,1495.644381
2,69,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12727.70703125,0.0,0.0,233.725015
3,69,0.1,301,268.70057685088807,-,285.6883835420692,34781,5,4263.0546875,0.0,0.0,828.634868
4,69,0.1,301,268.70057685088807,-,272.8010819142773,3245,1,503.5419921875,0.0,0.0,923.251021
5,69,0.1,301,268.70057685088807,-,285.6883835420692,575176,80271,51806.0244140625,19796.0,20000.0,18227.508369
6,69,0.1,301,268.70057685088807,-,285.6883835420692,10826,2,1240.7265625,0.0,0.0,2363.080734
1,73,0.1,301,268.70057685088807,250,272.21529547665045,741,3,12668.83203125,0.0,0.0,1644.899223
2,73,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12756.94921875,0.0,0.0,250.459455
3,73,0.1,301,268.70057685088807,-,284.5168106668154,34376,5,4236.0859375,0.0,0.0,808.44353
4,73,0.1,301,268.70057685088807,-,271.6295090390235,2604,1,459.6669921875,0.0,0.0,771.254668
5,73,0.1,301,268.70057685088807,-,284.5168106668154,574893,80279,51801.8076171875,15308.0,11352.0,18112.754144
6,73,0.1,301,268.70057685088807,-,284.5168106668154,10781,2,1243.578125,0.0,0.0,2360.593094
1,77,0.1,301,268.70057685088807,250,272.8010819142773,906,4,12665.91796875,0.0,0.0,1826.266223
2,77,0.1,301,268.70057685088807,250,279.24473272817323,3574,15,12708.98046875,0.0,0.0,232.860899
3,77,0.1,301,268.70057685088807,-,286.85995641732296,36249,5,5936.96875,0.0,0.0,868.712619
4,77,0.1,301,268.70057685088807,-,272.8010819142773,3848,1,527.0654296875,0.0,0.0,1186.791896
5,77,0.1,301,268.70057685088807,-,286.85995641732296,575392,80274,51801.37109375,24284.0,24576.0,18296.979605
6,77,0.1,301,268.70057685088807,-,286.85995641732296,12663,2,1342.7734375,0.0,0.0,2725.34222
1,81,0.1,301,268.70057685088807,250,277.7300141024118,1499,6,12703.06640625,0.0,0.0,2260.786517
2,81,0.1,301,268.70057685088807,250,278.0731598529194,3333,14,12696.19921875,0.0,0.0,222.582665
3,81,0.1,301,268.70057685088807,-,288.0315292925768,36814,5,5976.34375,0.0,0.0,873.157638
4,81,0.1,301,268.70057685088807,-,272.80108191427735,3613,1,526.75390625,0.0,0.0,1043.553163
5,81,0.1,301,268.70057685088807,-,288.03152929257675,575146,80295,51807.6650390625,0.0,0.0,17943.099684
6,81,0.1,301,268.70057685088807,-,288.03152929257675,13128,2,1366.6171875,0.0,0.0,2827.732779
