Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,43,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12564.87109375,0.0,0.0,1888.385814
2,43,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12660.74609375,0.0,0.0,185.563544
3,43,0.1,301,268.70057685088807,-,286.2741699796961,35534,5,5853.34375,0.0,0.0,847.790554
4,43,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,550.92578125,0.0,0.0,1203.362547
5,43,0.1,301,268.70057685088807,-,286.27416997969607,575204,80274,51807.7216796875,42768.0,41832.0,18166.540359
6,43,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1291.2890625,0.0,0.0,2517.942872
1,47,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12675.48828125,0.0,0.0,1644.077208
2,47,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12748.71484375,0.0,0.0,241.801878
3,47,0.1,301,268.70057685088807,-,283.3452377915616,33599,5,4180.2578125,0.0,0.0,784.221743
4,47,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,455.7529296875,0.0,0.0,716.706839
5,47,0.1,301,268.70057685088807,-,283.34523779156154,574888,80245,51801.9990234375,0.0,0.0,18189.630158
6,47,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1205.234375,0.0,0.0,2171.740178
1,51,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12677.62890625,0.0,0.0,2164.883409
2,51,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12713.67578125,0.0,0.0,231.800545
3,51,0.1,301,268.70057685088807,-,287.1025971044422,35025,5,4281.9453125,0.0,0.0,832.468694
4,51,0.1,301,268.70057685088807,-,272.2152954766504,2376,1,456.8623046875,0.0,0.0,690.748682
5,51,0.1,301,268.70057685088807,-,287.1025971044423,576055,80315,51804.951171875,0.0,0.0,18153.058094
6,51,0.1,301,268.70057685088807,-,287.1025971044423,11329,2,1271.5234375,0.0,0.0,2481.96623
1,55,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12684.54296875,0.0,0.0,1938.182414
2,55,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12722.15234375,0.0,0.0,232.770152
3,55,0.1,301,268.70057685088807,-,286.27416997969607,34983,5,5817.9375,0.0,0.0,840.598352
4,55,0.1,301,268.70057685088807,-,272.80108191427735,3775,1,535.74609375,0.0,0.0,1100.104192
5,55,0.1,301,268.70057685088807,-,286.27416997969607,575476,80311,51803.6669921875,0.0,0.0,18409.082223
6,55,0.1,301,268.70057685088807,-,286.27416997969607,11434,2,1282.1640625,0.0,0.0,2495.120912
1,59,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12677.98828125,0.0,0.0,2061.14682
2,59,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12704.92578125,0.0,0.0,226.183069
3,59,0.1,301,268.70057685088807,-,283.93102422918844,33831,5,4199.953125,0.0,0.0,800.676161
4,59,0.1,301,268.70057685088807,-,273.38686835190424,4395,1,554.67578125,0.0,0.0,1263.783112
5,59,0.1,301,268.70057685088807,-,283.93102422918844,575313,80275,51800.4384765625,16100.0,16384.0,18133.025889
6,59,0.1,301,268.70057685088807,-,283.93102422918844,10366,2,1224.3125,0.0,0.0,2255.946831
1,63,0.1,301,268.70057685088807,250,276.55844122715797,1316,6,12687.91796875,0.0,0.0,2217.645922
2,63,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12665.78515625,0.0,0.0,204.001712
3,63,0.1,301,268.70057685088807,-,285.6883835420691,34769,5,4264.234375,0.0,0.0,823.873317
4,63,0.1,301,268.70057685088807,-,272.80108191427735,3496,1,516.86328125,0.0,0.0,984.227799
5,63,0.1,301,268.70057685088807,-,285.68838354206923,575215,80284,51806.9287109375,16100.0,16384.0,17988.739186
6,63,0.1,301,268.70057685088807,-,285.6883835420692,11220,2,1265.6640625,0.0,0.0,2421.076618
1,67,0.1,301,268.70057685088807,250,275.1442276647849,1226,5,12683.29296875,0.0,0.0,1482.563586
2,67,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12727.65234375,0.0,0.0,232.695412
3,67,0.1,301,268.70057685088807,-,285.6883835420692,34781,5,4263.0546875,0.0,0.0,830.023218
4,67,0.1,301,268.70057685088807,-,272.8010819142773,3245,1,504.9091796875,0.0,0.0,922.165623
5,67,0.1,301,268.70057685088807,-,285.6883835420692,575176,80271,51806.0244140625,19796.0,20000.0,18050.068572
6,67,0.1,301,268.70057685088807,-,285.6883835420692,10826,2,1240.7265625,0.0,0.0,2330.068634
1,71,0.1,301,268.70057685088807,250,272.21529547665045,741,3,12668.12109375,0.0,0.0,1555.31829
2,71,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12756.50390625,0.0,0.0,251.313332
3,71,0.1,301,268.70057685088807,-,284.5168106668154,34376,5,4235.7578125,0.0,0.0,806.836634
4,71,0.1,301,268.70057685088807,-,271.6295090390235,2604,1,457.9169921875,0.0,0.0,758.810817
5,71,0.1,301,268.70057685088807,-,284.5168106668154,574893,80279,51801.8076171875,19796.0,20000.0,18192.264237
6,71,0.1,301,268.70057685088807,-,284.5168106668154,10781,2,1243.578125,0.0,0.0,2355.746485
1,75,0.1,301,268.70057685088807,250,272.8010819142773,906,4,12665.09765625,0.0,0.0,1813.270251
2,75,0.1,301,268.70057685088807,250,279.24473272817323,3574,15,12708.75390625,0.0,0.0,226.72517
