Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,84,0.25,300,339.4112549695428,250,361.81327522309755,2367,10,12695.91015625,0.0,0.0,2867.967169
2,84,0.25,300,339.4112549695428,250,375.67113959936665,5363,22,12772.18359375,0.0,0.0,272.228431
3,84,0.25,300,339.4112549695428,-,402.0904037956226,63243,5,9568.46484375,0.0,0.0,2028.004229
4,84,0.25,300,339.4112549695428,-,356.05591591021687,13269,1,1473.8798828125,0.0,0.0,3036.641561
5,84,0.25,300,339.4112549695428,-,402.09040379562254,387611,64711,48713.5810546875,0.0,0.0,14253.908295
6,84,0.25,300,339.4112549695428,-,402.0904037956226,30687,2,3874.8984375,0.0,0.0,5398.159654
1,88,0.25,300,339.4112549695428,250,372.2985565973362,3291,14,12758.09765625,0.0,0.0,3967.15673
2,88,0.25,300,339.4112549695428,250,369.42849891224716,4857,20,12740.91015625,0.0,0.0,247.687167
3,88,0.25,300,339.4112549695428,-,398.81832585698055,62397,5,9496.515625,0.0,0.0,1981.241257
4,88,0.25,300,339.4112549695428,-,353.71277015970924,10844,1,1339.7392578125,0.0,0.0,2479.830979
5,88,0.25,300,339.4112549695428,-,398.81832585698044,387430,64665,48676.0849609375,0.0,0.0,14253.175665
6,88,0.25,300,339.4112549695428,-,398.81832585698044,29549,2,3811.921875,0.0,0.0,5160.431678
1,92,0.25,300,339.4112549695428,250,372.5411972844555,3057,13,12742.359375,0.0,0.0,3584.796435
2,92,0.25,300,339.4112549695428,250,379.77164466275485,6415,26,12849.53515625,0.0,0.0,291.74734
3,92,0.25,300,339.4112549695428,-,401.74725804511496,63466,5,9583.39453125,0.0,0.0,2015.879461
4,92,0.25,300,339.4112549695428,-,353.47012947259,11362,1,1366.986328125,-916.0,-1024.0,2672.507246
5,92,0.25,300,339.4112549695428,-,401.747258045115,389246,64893,48691.3408203125,0.0,0.0,14834.293257
6,92,0.25,300,339.4112549695428,-,401.98989873223434,31662,2,3925.328125,0.0,0.0,5682.564452
1,96,0.25,300,339.4112549695428,250,366.3990616607245,2740,11,12721.64453125,0.0,0.0,3128.242914
2,96,0.25,300,339.4112549695428,250,377.0853531617397,5707,23,12795.44921875,0.0,0.0,271.017266
3,96,0.25,300,339.4112549695428,-,399.1614716074881,60491,5,9359.484375,0.0,0.0,1855.065464
4,96,0.25,300,339.4112549695428,-,353.7127701597093,11168,1,1364.046875,0.0,0.0,2631.442869
5,96,0.25,300,339.4112549695428,-,399.1614716074881,388395,64734,48682.044921875,0.0,0.0,15060.907719
6,96,0.25,300,339.4112549695428,-,399.1614716074881,29153,2,3790.7890625,0.0,0.0,5120.955297
1,100,0.25,300,339.4112549695428,250,361.5706345359783,2225,9,12689.390625,0.0,0.0,2435.307077
2,100,0.25,300,339.4112549695428,250,377.77164466275485,5399,22,12776.86328125,0.0,0.0,262.95977
3,100,0.25,300,339.4112549695428,-,403.5046173579957,61394,5,9411.40234375,0.0,0.0,1840.00452
4,100,0.25,300,339.4112549695428,-,355.81327522309755,13405,1,1492.4658203125,0.0,0.0,3177.895323
5,100,0.25,300,339.4112549695428,-,403.50461735799576,389067,64949,48693.3935546875,0.0,0.0,14374.689523
6,100,0.25,300,339.4112549695428,-,403.7472580451151,29582,2,3799.8984375,0.0,0.0,5351.027981
1,104,0.25,300,339.4112549695428,250,374.05591591021687,3496,14,12770.4765625,0.0,0.0,3672.340925
2,104,0.25,300,339.4112549695428,250,374.15642097360524,5309,22,12765.08203125,0.0,0.0,260.746747
3,104,0.25,300,339.4112549695428,-,397.98989873223434,61880,5,9451.97265625,0.0,0.0,1935.88861
4,104,0.25,300,339.4112549695428,-,356.64170234784376,13495,1,1497.3798828125,0.0,0.0,3149.808602
5,104,0.25,300,339.4112549695428,-,397.98989873223434,388318,64813,48689.0185546875,0.0,0.0,13986.122406
6,104,0.25,300,339.4112549695428,-,397.98989873223434,29240,2,3788.30859375,0.0,0.0,5372.325809
1,108,0.25,300,339.4112549695428,250,380.7838379715749,4171,17,12817.015625,0.0,0.0,4954.970489
2,108,0.25,300,339.4112549695428,250,376.15642097360524,5550,23,12789.94140625,0.0,0.0,265.147982
3,108,0.25,300,339.4112549695428,-,398.5756851698612,61747,5,9433.41015625,0.0,0.0,1875.274085
4,108,0.25,300,339.4112549695428,-,355.22748878547065,12702,1,1443.1376953125,0.0,0.0,2925.05223
5,108,0.25,300,339.4112549695428,-,398.5756851698613,388020,64786,48714.427734375,0.0,0.0,14605.338412
6,108,0.25,300,339.4112549695428,-,398.5756851698613,29527,2,3803.328125,0.0,0.0,5222.12529
1,112,0.25,300,339.4112549695428,250,363.7127701597093,2576,11,12710.7890625,0.0,0.0,2766.263853
2,112,0.25,300,339.4112549695428,250,365.9137802864859,4321,18,12705.2919921875,0.0,0.0,232.158657
3,112,0.25,300,339.4112549695428,-,398.81832585698044,61501,5,9419.55859375,0.0,0.0,1932.438575
4,112,0.25,300,339.4112549695428,-,353.4701294725899,10771,1,1334.796875,0.0,0.0,2479.469026
5,112,0.25,300,339.4112549695428,-,398.8183258569805,388291,64818,48687.158203125,0.0,0.0,14151.472953
6,112,0.25,300,339.4112549695428,-,398.8183258569805,29004,2,3775.06640625,0.0,0.0,5115.650988
1,116,0.25,300,339.4112549695428,250,374.39906166072444,2915,12,12728.9921875,0.0,0.0,3446.674059
2,116,0.25,300,339.4112549695428,250,370.49956672411275,4679,19,12731.74609375,0.0,0.0,243.807976
3,116,0.25,300,339.4112549695428,-,396.7178207935921,57873,5,9143.0859375,0.0,0.0,1735.254824
4,116,0.25,300,339.4112549695428,-,354.2985565973362,12014,1,1403.89453125,0.0,0.0,2812.592313
5,116,0.25,300,339.4112549695428,-,396.7178207935923,388845,64930,48690.2744140625,0.0,0.0,14937.539839
6,116,0.25,300,339.4112549695428,-,396.96046148071156,26352,2,3628.1484375,0.0,0.0,4665.950997
1,120,0.25,300,339.4112549695428,250,375.3696244092017,3341,14,12760.54296875,0.0,0.0,3683.854899
2,120,0.25,300,339.4112549695428,250,368.6000717875011,4806,20,12741.0703125,0.0,0.0,248.145582
3,120,0.25,300,339.4112549695428,-,399.9898987322343,61554,5,9435.4921875,0.0,0.0,1868.626103
4,120,0.25,300,339.4112549695428,-,354.05591591021687,11672,1,1386.4228515625,0.0,0.0,2737.011805
5,120,0.25,300,339.4112549695428,-,399.98989873223434,389277,64934,48688.4990234375,0.0,0.0,14009.332943
6,120,0.25,300,339.4112549695428,-,399.98989873223434,29505,2,3805.546875,0.0,0.0,5268.426646
