Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,85,0.25,300,339.4112549695428,250,361.81327522309755,2367,10,12695.91015625,0.0,0.0,2712.51353
2,85,0.25,300,339.4112549695428,250,375.67113959936665,5363,22,12772.18359375,0.0,0.0,260.256378
3,85,0.25,300,339.4112549695428,-,402.0904037956226,63243,5,9568.46484375,0.0,0.0,2039.321317
4,85,0.25,300,339.4112549695428,-,356.05591591021687,13269,1,1473.8798828125,0.0,0.0,3057.975871
5,85,0.25,300,339.4112549695428,-,402.09040379562254,387611,64711,48713.5810546875,0.0,0.0,14313.543553
6,85,0.25,300,339.4112549695428,-,402.0904037956226,30687,2,3874.8984375,0.0,0.0,5404.241272
1,89,0.25,300,339.4112549695428,250,372.2985565973362,3291,14,12758.09765625,0.0,0.0,4011.781831
2,89,0.25,300,339.4112549695428,250,369.42849891224716,4857,20,12740.91015625,0.0,0.0,245.997299
3,89,0.25,300,339.4112549695428,-,398.81832585698055,62397,5,9496.515625,0.0,0.0,2006.233746
4,89,0.25,300,339.4112549695428,-,353.71277015970924,10844,1,1339.7392578125,0.0,0.0,2541.008877
5,89,0.25,300,339.4112549695428,-,398.81832585698044,387430,64665,48676.0849609375,0.0,0.0,14133.385155
6,89,0.25,300,339.4112549695428,-,398.81832585698044,29549,2,3811.921875,0.0,0.0,5300.688076
1,93,0.25,300,339.4112549695428,250,372.5411972844555,3057,13,12742.359375,0.0,0.0,3591.738469
2,93,0.25,300,339.4112549695428,250,379.77164466275485,6415,26,12849.53515625,0.0,0.0,293.085091
3,93,0.25,300,339.4112549695428,-,401.74725804511496,63466,5,9583.39453125,0.0,0.0,1967.313159
4,93,0.25,300,339.4112549695428,-,353.47012947259,11362,1,1366.986328125,0.0,0.0,2667.899065
5,93,0.25,300,339.4112549695428,-,401.747258045115,389246,64893,48691.3408203125,0.0,0.0,14612.433437
6,93,0.25,300,339.4112549695428,-,401.98989873223434,31662,2,3925.328125,0.0,0.0,5622.902874
1,97,0.25,300,339.4112549695428,250,366.3990616607245,2740,11,12721.64453125,0.0,0.0,3145.827454
2,97,0.25,300,339.4112549695428,250,377.0853531617397,5707,23,12795.44921875,0.0,0.0,285.111923
3,97,0.25,300,339.4112549695428,-,399.1614716074881,60491,5,9359.484375,0.0,0.0,1875.157837
4,97,0.25,300,339.4112549695428,-,353.7127701597093,11168,1,1364.046875,0.0,0.0,2790.587792
5,97,0.25,300,339.4112549695428,-,399.1614716074881,388395,64734,48682.044921875,0.0,0.0,15365.732815
6,97,0.25,300,339.4112549695428,-,399.1614716074881,29153,2,3790.7890625,0.0,0.0,5152.200672
1,101,0.25,300,339.4112549695428,250,361.5706345359783,2225,9,12689.390625,0.0,0.0,2414.868867
2,101,0.25,300,339.4112549695428,250,377.77164466275485,5399,22,12776.86328125,0.0,0.0,279.111872
3,101,0.25,300,339.4112549695428,-,403.5046173579957,61394,5,9411.40234375,0.0,0.0,1931.922992
4,101,0.25,300,339.4112549695428,-,355.81327522309755,13405,1,1492.4658203125,0.0,0.0,3336.095056
5,101,0.25,300,339.4112549695428,-,403.50461735799576,389067,64949,48693.3935546875,0.0,0.0,14335.580026
6,101,0.25,300,339.4112549695428,-,403.7472580451151,29582,2,3799.453125,0.0,0.0,5204.604384
1,105,0.25,300,339.4112549695428,250,374.05591591021687,3496,14,12770.4765625,0.0,0.0,3702.214711
2,105,0.25,300,339.4112549695428,250,374.15642097360524,5309,22,12765.08203125,0.0,0.0,261.626068
3,105,0.25,300,339.4112549695428,-,397.98989873223434,61880,5,9451.97265625,0.0,0.0,1935.54755
4,105,0.25,300,339.4112549695428,-,356.64170234784376,13495,1,1497.3798828125,0.0,0.0,3155.614075
5,105,0.25,300,339.4112549695428,-,397.98989873223434,388318,64813,48689.0185546875,0.0,0.0,13934.534422
6,105,0.25,300,339.4112549695428,-,397.98989873223434,29240,2,3788.30859375,0.0,0.0,5322.742007
1,109,0.25,300,339.4112549695428,250,380.7838379715749,4171,17,12817.015625,0.0,0.0,4959.312009
2,109,0.25,300,339.4112549695428,250,376.15642097360524,5550,23,12789.94140625,0.0,0.0,267.1928
3,109,0.25,300,339.4112549695428,-,398.5756851698612,61747,5,9433.41015625,0.0,0.0,1868.321235
4,109,0.25,300,339.4112549695428,-,355.22748878547065,12702,1,1443.1376953125,0.0,0.0,2940.922926
5,109,0.25,300,339.4112549695428,-,398.5756851698613,388020,64786,48714.427734375,0.0,0.0,14722.089254
6,109,0.25,300,339.4112549695428,-,398.5756851698613,29527,2,3803.328125,0.0,0.0,5235.614815
1,113,0.25,300,339.4112549695428,250,363.7127701597093,2576,11,12710.7890625,0.0,0.0,2762.461198
2,113,0.25,300,339.4112549695428,250,365.9137802864859,4321,18,12704.828125,0.0,0.0,232.874667
3,113,0.25,300,339.4112549695428,-,398.81832585698044,61501,5,9419.55859375,0.0,0.0,1924.535096
4,113,0.25,300,339.4112549695428,-,353.4701294725899,10771,1,1334.796875,0.0,0.0,2470.860126
5,113,0.25,300,339.4112549695428,-,398.8183258569805,388291,64818,48687.158203125,0.0,0.0,14153.22171
6,113,0.25,300,339.4112549695428,-,398.8183258569805,29004,2,3775.06640625,0.0,0.0,5156.03679
1,117,0.25,300,339.4112549695428,250,374.39906166072444,2915,12,12728.9921875,0.0,0.0,3457.008368
2,117,0.25,300,339.4112549695428,250,370.49956672411275,4679,19,12732.0712890625,0.0,0.0,243.208826
3,117,0.25,300,339.4112549695428,-,396.7178207935921,57873,5,9143.0859375,0.0,0.0,1742.103272
4,117,0.25,300,339.4112549695428,-,354.2985565973362,12014,1,1403.89453125,0.0,0.0,2819.292527
5,117,0.25,300,339.4112549695428,-,396.7178207935923,388845,64930,48690.2744140625,0.0,0.0,15050.099483
6,117,0.25,300,339.4112549695428,-,396.96046148071156,26352,2,3628.1484375,0.0,0.0,4694.912642
1,121,0.25,300,339.4112549695428,250,375.3696244092017,3341,14,12760.54296875,0.0,0.0,3656.722219
2,121,0.25,300,339.4112549695428,250,368.6000717875011,4806,20,12741.0703125,0.0,0.0,248.734557
3,121,0.25,300,339.4112549695428,-,399.9898987322343,61554,5,9435.4921875,0.0,0.0,1875.553363
4,121,0.25,300,339.4112549695428,-,354.05591591021687,11672,1,1386.4228515625,0.0,0.0,2748.140412
5,121,0.25,300,339.4112549695428,-,399.98989873223434,389277,64934,48688.4990234375,0.0,0.0,13995.41484
6,121,0.25,300,339.4112549695428,-,399.98989873223434,29505,2,3805.546875,0.0,0.0,5311.237372
