Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,83,0.25,300,339.4112549695428,250,361.81327522309755,2367,10,12597.80078125,0.0,0.0,2717.305661
2,83,0.25,300,339.4112549695428,250,375.67113959936665,5363,22,12772.18359375,0.0,0.0,258.823182
3,83,0.25,300,339.4112549695428,-,402.0904037956226,63243,5,9568.13671875,0.0,0.0,2010.643377
4,83,0.25,300,339.4112549695428,-,356.05591591021687,13269,1,1473.0048828125,0.0,0.0,3042.159788
5,83,0.25,300,339.4112549695428,-,402.09040379562254,387611,64711,48713.7998046875,0.0,0.0,14469.693315
6,83,0.25,300,339.4112549695428,-,402.0904037956226,30687,2,3874.8984375,0.0,0.0,5437.715186
1,87,0.25,300,339.4112549695428,250,372.2985565973362,3291,14,12756.18359375,0.0,0.0,3916.253818
2,87,0.25,300,339.4112549695428,250,369.42849891224716,4857,20,12740.91015625,0.0,0.0,245.427347
3,87,0.25,300,339.4112549695428,-,398.81832585698055,62397,5,9496.1875,0.0,0.0,1981.791048
4,87,0.25,300,339.4112549695428,-,353.71277015970924,10844,1,1338.9736328125,0.0,0.0,2490.986718
5,87,0.25,300,339.4112549695428,-,398.81832585698044,387430,64665,48676.0849609375,0.0,0.0,14344.265619
6,87,0.25,300,339.4112549695428,-,398.81832585698044,29549,2,3811.921875,0.0,0.0,5153.043376
1,91,0.25,300,339.4112549695428,250,372.5411972844555,3057,13,12740.5546875,0.0,0.0,3565.519864
2,91,0.25,300,339.4112549695428,250,379.77164466275485,6415,26,12849.53515625,0.0,0.0,291.938979
3,91,0.25,300,339.4112549695428,-,401.74725804511496,63466,5,9583.06640625,0.0,0.0,1956.494004
4,91,0.25,300,339.4112549695428,-,353.47012947259,11362,1,1369.611328125,0.0,0.0,2656.399478
5,91,0.25,300,339.4112549695428,-,401.747258045115,389246,64893,48691.3408203125,0.0,0.0,14623.717158
6,91,0.25,300,339.4112549695428,-,401.98989873223434,31662,2,3925.328125,0.0,0.0,5693.680429
1,95,0.25,300,339.4112549695428,250,366.3990616607245,2740,11,12720.05859375,0.0,0.0,3083.325376
2,95,0.25,300,339.4112549695428,250,377.0853531617397,5707,23,12795.44921875,0.0,0.0,272.042641
3,95,0.25,300,339.4112549695428,-,399.1614716074881,60491,5,9359.15625,0.0,0.0,1849.139075
4,95,0.25,300,339.4112549695428,-,353.7127701597093,11168,1,1360.984375,0.0,0.0,2627.716837
5,95,0.25,300,339.4112549695428,-,399.1614716074881,388395,64734,48682.044921875,0.0,0.0,15134.879126
6,95,0.25,300,339.4112549695428,-,399.1614716074881,29153,2,3790.7890625,0.0,0.0,5195.869263
1,99,0.25,300,339.4112549695428,250,361.5706345359783,2225,9,12688.0234375,0.0,0.0,2385.58795
2,99,0.25,300,339.4112549695428,250,377.77164466275485,5399,22,12776.86328125,0.0,0.0,263.304483
3,99,0.25,300,339.4112549695428,-,403.5046173579957,61394,5,9411.40234375,0.0,0.0,1828.92495
4,99,0.25,300,339.4112549695428,-,355.81327522309755,13405,1,1490.7158203125,0.0,0.0,3148.440395
5,99,0.25,300,339.4112549695428,-,403.50461735799576,389067,64949,48693.3935546875,0.0,0.0,14393.708728
6,99,0.25,300,339.4112549695428,-,403.7472580451151,29582,2,3799.453125,0.0,0.0,5170.229239
