Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,136,0,31,73.53910524340094,250,247.36248173426426,3936,16,514.48046875,0.0,0.0,2505.170959
2,136,0,31,73.53910524340094,250,205.43860018001277,4072,17,413.32421875,0.0,0.0,123.138197
3,136,0,31,73.53910524340094,-,189.19595949289348,4509,5,379.890625,0.0,0.0,58.381231
4,136,0,31,73.53910524340094,-,182.1665222413706,1717,1,240.9560546875,0.0,0.0,456.810075
5,136,0,31,73.53910524340094,-,189.19595949289342,13390,1854,942.0986328125,0.0,0.0,92.337585
6,136,0,31,73.53910524340094,-,189.19595949289348,1745,2,242.3203125,0.0,0.0,356.579761
1,140,0,31,73.53910524340094,250,299.80613254816035,4235,17,538.43359375,0.0,0.0,3282.068025
2,140,0,31,73.53910524340094,250,219.09545442950522,3581,15,382.88671875,0.0,0.0,107.574124
3,140,0,31,73.53910524340094,-,213.19595949289354,4261,5,367.296875,0.0,0.0,54.394711
4,140,0,31,73.53910524340094,-,206.16652224137061,1747,1,244.05078125,0.0,0.0,470.586559
5,140,0,31,73.53910524340094,-,213.19595949289348,13222,1842,941.6611328125,0.0,0.0,89.77431
6,140,0,31,73.53910524340094,-,213.19595949289354,1772,2,243.921875,0.0,0.0,357.437003
