Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,137,0,31,73.53910524340094,250,247.36248173426426,3936,16,514.48046875,0.0,0.0,2503.846091
2,137,0,31,73.53910524340094,250,205.43860018001277,4072,17,413.32421875,0.0,0.0,122.135206
3,137,0,31,73.53910524340094,-,189.19595949289348,4509,5,379.890625,0.0,0.0,58.135263
4,137,0,31,73.53910524340094,-,182.1665222413706,1717,1,240.9560546875,0.0,0.0,448.589233
5,137,0,31,73.53910524340094,-,189.19595949289342,13390,1854,942.0986328125,0.0,0.0,91.384596
6,137,0,31,73.53910524340094,-,189.19595949289348,1745,2,242.3203125,0.0,0.0,355.894026
1,141,0,31,73.53910524340094,250,299.80613254816035,4235,17,538.43359375,0.0,0.0,3284.68338
2,141,0,31,73.53910524340094,250,219.09545442950522,3581,15,382.88671875,0.0,0.0,107.690193
3,141,0,31,73.53910524340094,-,213.19595949289354,4261,5,367.296875,0.0,0.0,54.399373
4,141,0,31,73.53910524340094,-,206.16652224137061,1747,1,244.05078125,0.0,0.0,467.29923
5,141,0,31,73.53910524340094,-,213.19595949289348,13222,1842,941.6611328125,0.0,0.0,89.949644
6,141,0,31,73.53910524340094,-,213.19595949289354,1772,2,243.921875,0.0,0.0,358.1568
