Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,135,0,31,73.53910524340094,250,247.36248173426426,3936,16,421.97265625,0.0,0.0,2481.209524
2,135,0,31,73.53910524340094,250,205.43860018001277,4072,17,413.26171875,0.0,0.0,123.764716
3,135,0,31,73.53910524340094,-,189.19595949289348,4509,5,379.5625,0.0,0.0,58.946344
4,135,0,31,73.53910524340094,-,182.1665222413706,1717,1,240.1904296875,0.0,0.0,455.955697
5,135,0,31,73.53910524340094,-,189.19595949289342,13390,1854,942.0986328125,0.0,0.0,90.656202
6,135,0,31,73.53910524340094,-,189.19595949289348,1745,2,242.3203125,0.0,0.0,356.785234
1,139,0,31,73.53910524340094,250,299.80613254816035,4235,17,525.96484375,0.0,0.0,3254.975178
2,139,0,31,73.53910524340094,250,219.09545442950522,3581,15,382.88671875,0.0,0.0,107.811156
3,139,0,31,73.53910524340094,-,213.19595949289354,4261,5,366.96875,0.0,0.0,54.155242
4,139,0,31,73.53910524340094,-,206.16652224137061,1747,1,243.39453125,0.0,0.0,455.851602
5,139,0,31,73.53910524340094,-,213.19595949289348,13222,1842,941.6611328125,0.0,0.0,90.369993
6,139,0,31,73.53910524340094,-,213.19595949289354,1772,2,243.921875,0.0,0.0,359.191125
