Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,124,0,31,73.53910524340094,250,103.88225099390849,1057,5,335.93359375,0.0,0.0,1089.388933
2,124,0,31,73.53910524340094,250,98.91168824543136,1542,7,250.36328125,0.0,0.0,52.042145
3,124,0,31,73.53910524340094,-,84.76955262170044,2664,5,377.1875,0.0,0.0,39.980592
4,124,0,31,73.53910524340094,-,84.18376618407353,1290,1,228.4169921875,0.0,0.0,375.553359
5,124,0,31,73.53910524340094,-,84.76955262170043,14628,1943,949.2373046875,0.0,0.0,111.012639
6,124,0,31,73.53910524340094,-,84.76955262170043,898,2,114.9921875,0.0,0.0,215.267836
1,128,0,31,73.53910524340094,250,103.88225099390849,1057,5,335.71484375,0.0,0.0,1176.477283
2,128,0,31,73.53910524340094,250,98.91168824543136,1542,7,250.30859375,0.0,0.0,51.082113
3,128,0,31,73.53910524340094,-,84.76955262170044,2644,5,375.6953125,0.0,0.0,40.038943
4,128,0,31,73.53910524340094,-,84.18376618407353,1265,1,227.6123046875,0.0,0.0,368.252794
5,128,0,31,73.53910524340094,-,84.76955262170043,14436,1929,948.47265625,0.0,0.0,109.806702
6,128,0,31,73.53910524340094,-,84.76955262170043,894,2,114.40625,0.0,0.0,216.055408
1,132,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1370.219826
2,132,0,31,73.53910524340094,250,124.81118318204301,2194,9,288.62890625,0.0,0.0,70.79681
3,132,0,31,73.53910524340094,-,89.69848480983497,4634,5,514.859375,0.0,0.0,68.779968
4,132,0,31,73.53910524340094,-,88.52691193458115,1233,1,228.2998046875,0.0,0.0,359.826998
5,132,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.75390625,0.0,0.0,106.985491
6,132,0,31,73.53910524340094,-,89.69848480983497,1346,2,232.3203125,0.0,0.0,306.087584
