Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,125,0,31,73.53910524340094,250,103.88225099390849,1057,5,335.93359375,0.0,0.0,1093.198178
2,125,0,31,73.53910524340094,250,98.91168824543136,1542,7,250.36328125,0.0,0.0,51.349271
3,125,0,31,73.53910524340094,-,84.76955262170044,2664,5,377.236328125,0.0,0.0,40.506541
4,125,0,31,73.53910524340094,-,84.18376618407353,1290,1,228.4169921875,0.0,0.0,374.781025
5,125,0,31,73.53910524340094,-,84.76955262170043,14628,1943,949.2373046875,0.0,0.0,110.209499
6,125,0,31,73.53910524340094,-,84.76955262170043,898,2,114.9921875,0.0,0.0,218.020082
1,129,0,31,73.53910524340094,250,103.88225099390849,1057,5,335.71484375,0.0,0.0,1186.06677
2,129,0,31,73.53910524340094,250,98.91168824543136,1542,7,250.30859375,0.0,0.0,51.397357
3,129,0,31,73.53910524340094,-,84.76955262170044,2644,5,375.6953125,0.0,0.0,40.070714
4,129,0,31,73.53910524340094,-,84.18376618407353,1265,1,227.6123046875,0.0,0.0,369.463838
5,129,0,31,73.53910524340094,-,84.76955262170043,14436,1929,948.47265625,0.0,0.0,109.439757
6,129,0,31,73.53910524340094,-,84.76955262170043,894,2,114.40625,0.0,0.0,214.586463
1,133,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1363.81919
2,133,0,31,73.53910524340094,250,124.81118318204301,2194,9,288.62890625,0.0,0.0,70.19694
3,133,0,31,73.53910524340094,-,89.69848480983497,4634,5,514.859375,0.0,0.0,68.510219
4,133,0,31,73.53910524340094,-,88.52691193458115,1233,1,228.2998046875,0.0,0.0,358.805455
5,133,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.75390625,0.0,0.0,108.489497
6,133,0,31,73.53910524340094,-,89.69848480983497,1346,2,232.3203125,0.0,0.0,305.963218
