Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,123,0,31,73.53910524340094,250,103.88225099390849,1057,5,239.24609375,0.0,0.0,1072.521334
2,123,0,31,73.53910524340094,250,98.91168824543136,1542,7,250.36328125,0.0,0.0,50.887326
3,123,0,31,73.53910524340094,-,84.76955262170044,2664,5,376.859375,0.0,0.0,40.493143
4,123,0,31,73.53910524340094,-,84.18376618407353,1290,1,226.0654296875,0.0,0.0,372.134515
5,123,0,31,73.53910524340094,-,84.76955262170043,14628,1943,949.2373046875,0.0,0.0,110.899244
6,123,0,31,73.53910524340094,-,84.76955262170043,898,2,114.9921875,0.0,0.0,216.527323
1,127,0,31,73.53910524340094,250,103.88225099390849,1057,5,327.42578125,0.0,0.0,1155.05252
2,127,0,31,73.53910524340094,250,98.91168824543136,1542,7,250.30859375,0.0,0.0,51.049719
3,127,0,31,73.53910524340094,-,84.76955262170044,2644,5,375.3671875,0.0,0.0,40.123201
4,127,0,31,73.53910524340094,-,84.18376618407353,1265,1,225.1513671875,0.0,0.0,363.443879
5,127,0,31,73.53910524340094,-,84.76955262170043,14436,1929,948.47265625,0.0,0.0,109.551045
6,127,0,31,73.53910524340094,-,84.76955262170043,894,2,114.40625,0.0,0.0,213.326585
1,131,0,31,73.53910524340094,250,121.68124086713178,1317,6,336.45703125,0.0,0.0,1335.0304
2,131,0,31,73.53910524340094,250,124.81118318204301,2194,9,288.62890625,0.0,0.0,70.9938
3,131,0,31,73.53910524340094,-,89.69848480983497,4634,5,514.53125,0.0,0.0,68.55554
4,131,0,31,73.53910524340094,-,88.52691193458115,1233,1,226.2216796875,0.0,0.0,359.097241
5,131,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.75390625,0.0,0.0,108.470574
6,131,0,31,73.53910524340094,-,89.69848480983497,1346,2,232.3203125,0.0,0.0,304.277138
