Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,66.46803743153546,-,78.76955262170043,2247,5,300.4970703125,0.0,0.0,32.139694
2,1,0.25,50,66.46803743153546,-,78.76955262170043,2247,5,292.947265625,0.0,0.0,30.438676
3,1,0.25,50,66.46803743153546,-,78.76955262170043,2247,5,292.8984375,0.0,0.0,30.448044
4,1,0.25,50,66.46803743153546,-,78.76955262170043,2247,5,292.8984375,0.0,0.0,30.348666
5,1,0.25,50,66.46803743153546,-,78.76955262170043,2247,5,292.8984375,0.0,0.0,30.560729
6,1,0.25,50,66.46803743153546,-,78.76955262170043,2247,5,292.8984375,0.0,0.0,30.315361
7,1,0.25,50,66.46803743153546,-,78.76955262170043,2247,5,292.8984375,0.0,0.0,30.350419
8,1,0.25,50,66.46803743153546,-,78.76955262170043,2247,5,292.8984375,0.0,0.0,30.440821
9,1,0.25,50,66.46803743153546,-,78.76955262170043,2247,5,292.8984375,0.0,0.0,30.317075
10,1,0.25,50,66.46803743153546,-,78.76955262170043,2247,5,292.8984375,0.0,0.0,30.566625
1,2,0.25,50,66.46803743153546,-,81.11269837220807,2008,5,275.5078125,0.0,0.0,27.158458
2,2,0.25,50,66.46803743153546,-,81.11269837220807,2008,5,275.5078125,0.0,0.0,26.96511
3,2,0.25,50,66.46803743153546,-,81.11269837220807,2008,5,275.5078125,0.0,0.0,27.079833
4,2,0.25,50,66.46803743153546,-,81.11269837220807,2008,5,275.5078125,0.0,0.0,27.170936
5,2,0.25,50,66.46803743153546,-,81.11269837220807,2008,5,275.5078125,0.0,0.0,27.037491
6,2,0.25,50,66.46803743153546,-,81.11269837220807,2008,5,275.5078125,0.0,0.0,27.230171
7,2,0.25,50,66.46803743153546,-,81.11269837220807,2008,5,275.5078125,0.0,0.0,27.106674
8,2,0.25,50,66.46803743153546,-,81.11269837220807,2008,5,275.5078125,0.0,0.0,27.092665
9,2,0.25,50,66.46803743153546,-,81.11269837220807,2008,5,275.5078125,0.0,0.0,27.372154
10,2,0.25,50,66.46803743153546,-,81.11269837220807,2008,5,275.5078125,0.0,0.0,27.156477
1,3,0.25,50,66.46803743153546,-,81.94112549695426,2436,5,379.1484375,0.0,0.0,32.727117
2,3,0.25,50,66.46803743153546,-,81.94112549695426,2436,5,379.1484375,0.0,0.0,32.840961
3,3,0.25,50,66.46803743153546,-,81.94112549695426,2436,5,379.1484375,0.0,0.0,32.653665
4,3,0.25,50,66.46803743153546,-,81.94112549695426,2436,5,379.1484375,0.0,0.0,32.661292
5,3,0.25,50,66.46803743153546,-,81.94112549695426,2436,5,379.1484375,0.0,0.0,33.273794
6,3,0.25,50,66.46803743153546,-,81.94112549695426,2436,5,379.1484375,0.0,0.0,32.777117
7,3,0.25,50,66.46803743153546,-,81.94112549695426,2436,5,379.1484375,0.0,0.0,33.267211
