Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,66.46803743153546,-,78.76955262170044,10054,1703,1130.4560546875,3848.0,4304.0,128.736726
2,1,0.25,50,66.46803743153546,-,78.76955262170044,10054,1703,1007.2109375,264.0,1024.0,111.899848
3,1,0.25,50,66.46803743153546,-,78.76955262170044,10054,1703,1007.2109375,0.0,0.0,112.747059
4,1,0.25,50,66.46803743153546,-,78.76955262170044,10054,1703,1007.2109375,0.0,0.0,113.288481
5,1,0.25,50,66.46803743153546,-,78.76955262170044,10054,1703,1007.2109375,0.0,0.0,114.084175
6,1,0.25,50,66.46803743153546,-,78.76955262170044,10054,1703,1007.2109375,0.0,0.0,114.205415
7,1,0.25,50,66.46803743153546,-,78.76955262170044,10054,1703,1007.2109375,0.0,0.0,114.024564
8,1,0.25,50,66.46803743153546,-,78.76955262170044,10054,1703,1007.2109375,0.0,0.0,114.931737
9,1,0.25,50,66.46803743153546,-,78.76955262170044,10054,1703,1007.2109375,0.0,0.0,115.109657
10,1,0.25,50,66.46803743153546,-,78.76955262170044,10054,1703,1007.2109375,0.0,0.0,115.373162
1,2,0.25,50,66.46803743153546,-,81.11269837220806,9943,1711,1007.3203125,0.0,0.0,114.3827
2,2,0.25,50,66.46803743153546,-,81.11269837220806,9943,1711,1007.3203125,0.0,0.0,115.241228
3,2,0.25,50,66.46803743153546,-,81.11269837220806,9943,1711,1007.3203125,0.0,0.0,116.084281
4,2,0.25,50,66.46803743153546,-,81.11269837220806,9943,1711,1007.3203125,0.0,0.0,116.022186
5,2,0.25,50,66.46803743153546,-,81.11269837220806,9943,1711,1007.3203125,0.0,0.0,117.773378
6,2,0.25,50,66.46803743153546,-,81.11269837220806,9943,1711,1007.3203125,0.0,0.0,119.109112
7,2,0.25,50,66.46803743153546,-,81.11269837220806,9943,1711,1007.3203125,0.0,0.0,118.939373
8,2,0.25,50,66.46803743153546,-,81.11269837220806,9943,1711,1007.3203125,0.0,0.0,119.401138
9,2,0.25,50,66.46803743153546,-,81.11269837220806,9943,1711,1007.3203125,0.0,0.0,120.536072
10,2,0.25,50,66.46803743153546,-,81.11269837220806,9943,1711,1007.3203125,0.0,0.0,120.702739
