Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,66.46803743153546,-,68.81118318204302,361,1,92.9296875,1792.0,496.0,118.857705
2,1,0.25,50,66.46803743153546,-,68.81118318204302,361,1,49.58203125,264.0,0.0,100.712754
3,1,0.25,50,66.46803743153546,-,68.81118318204302,361,1,49.75390625,0.0,0.0,100.706965
4,1,0.25,50,66.46803743153546,-,68.81118318204302,361,1,49.58203125,0.0,0.0,101.147458
5,1,0.25,50,66.46803743153546,-,68.81118318204302,361,1,49.58203125,0.0,0.0,100.638171
6,1,0.25,50,66.46803743153546,-,68.81118318204302,361,1,49.58203125,0.0,0.0,101.285569
7,1,0.25,50,66.46803743153546,-,68.81118318204302,361,1,49.58203125,0.0,0.0,101.917485
8,1,0.25,50,66.46803743153546,-,68.81118318204302,361,1,49.58203125,0.0,0.0,101.052426
9,1,0.25,50,66.46803743153546,-,68.81118318204302,361,1,49.58203125,0.0,0.0,103.100937
10,1,0.25,50,66.46803743153546,-,68.81118318204302,361,1,49.58203125,0.0,0.0,100.549053
1,2,0.25,50,66.46803743153546,-,70.56854249492375,565,1,48.60546875,0.0,0.0,140.385553
2,2,0.25,50,66.46803743153546,-,70.56854249492375,565,1,48.60546875,0.0,0.0,138.850034
3,2,0.25,50,66.46803743153546,-,70.56854249492375,565,1,48.60546875,0.0,0.0,141.385612
4,2,0.25,50,66.46803743153546,-,70.56854249492375,565,1,48.60546875,0.0,0.0,140.258797
5,2,0.25,50,66.46803743153546,-,70.56854249492375,565,1,48.60546875,0.0,0.0,140.283882
6,2,0.25,50,66.46803743153546,-,70.56854249492375,565,1,48.60546875,0.0,0.0,140.311625
7,2,0.25,50,66.46803743153546,-,70.56854249492375,565,1,48.60546875,0.0,0.0,140.663246
8,2,0.25,50,66.46803743153546,-,70.56854249492375,565,1,48.60546875,0.0,0.0,140.29828
9,2,0.25,50,66.46803743153546,-,70.56854249492375,565,1,48.60546875,0.0,0.0,139.685449
10,2,0.25,50,66.46803743153546,-,70.56854249492375,565,1,48.60546875,0.0,0.0,141.799199
1,3,0.25,50,66.46803743153546,-,69.98275605729685,385,1,47.80859375,0.0,0.0,100.683016
2,3,0.25,50,66.46803743153546,-,69.98275605729685,385,1,47.80859375,0.0,0.0,100.576614
3,3,0.25,50,66.46803743153546,-,69.98275605729685,385,1,47.80859375,0.0,0.0,100.843184
4,3,0.25,50,66.46803743153546,-,69.98275605729685,385,1,47.80859375,0.0,0.0,100.801902
5,3,0.25,50,66.46803743153546,-,69.98275605729685,385,1,47.80859375,0.0,0.0,146.044455
6,3,0.25,50,66.46803743153546,-,69.98275605729685,385,1,47.80859375,0.0,0.0,100.456363
7,3,0.25,50,66.46803743153546,-,69.98275605729685,385,1,47.80859375,0.0,0.0,100.814132
8,3,0.25,50,66.46803743153546,-,69.98275605729685,385,1,47.80859375,0.0,0.0,101.167799
9,3,0.25,50,66.46803743153546,-,69.98275605729685,385,1,47.80859375,0.0,0.0,100.417978
10,3,0.25,50,66.46803743153546,-,69.98275605729685,385,1,47.80859375,0.0,0.0,100.751199
1,4,0.25,50,66.46803743153546,-,68.22539674441613,213,1,25.5390625,0.0,0.0,72.163935
2,4,0.25,50,66.46803743153546,-,68.22539674441613,213,1,25.5390625,0.0,0.0,71.93143
3,4,0.25,50,66.46803743153546,-,68.22539674441613,213,1,25.5390625,0.0,0.0,72.474925
4,4,0.25,50,66.46803743153546,-,68.22539674441613,213,1,25.5390625,0.0,0.0,71.679675
5,4,0.25,50,66.46803743153546,-,68.22539674441613,213,1,25.5390625,0.0,0.0,71.610932
6,4,0.25,50,66.46803743153546,-,68.22539674441613,213,1,25.5390625,0.0,0.0,71.564213
7,4,0.25,50,66.46803743153546,-,68.22539674441613,213,1,25.5390625,0.0,0.0,71.458989
8,4,0.25,50,66.46803743153546,-,68.22539674441613,213,1,25.5390625,0.0,0.0,71.703438
9,4,0.25,50,66.46803743153546,-,68.22539674441613,213,1,25.5390625,0.0,0.0,72.242318
10,4,0.25,50,66.46803743153546,-,68.22539674441613,213,1,25.5390625,0.0,0.0,103.388344
1,5,0.25,50,66.46803743153546,-,69.39696961966995,292,1,22.29296875,0.0,0.0,83.516633
2,5,0.25,50,66.46803743153546,-,69.39696961966995,292,1,22.29296875,0.0,0.0,83.12284
3,5,0.25,50,66.46803743153546,-,69.39696961966995,292,1,22.29296875,0.0,0.0,82.850625
4,5,0.25,50,66.46803743153546,-,69.39696961966995,292,1,22.29296875,0.0,0.0,83.165505
5,5,0.25,50,66.46803743153546,-,69.39696961966995,292,1,22.29296875,0.0,0.0,84.615423
6,5,0.25,50,66.46803743153546,-,69.39696961966995,292,1,22.29296875,0.0,0.0,83.663547
7,5,0.25,50,66.46803743153546,-,69.39696961966995,292,1,22.29296875,0.0,0.0,82.919077
8,5,0.25,50,66.46803743153546,-,69.39696961966995,292,1,22.29296875,0.0,0.0,84.438871
9,5,0.25,50,66.46803743153546,-,69.39696961966995,292,1,22.29296875,0.0,0.0,83.691918
10,5,0.25,50,66.46803743153546,-,69.39696961966995,292,1,22.29296875,0.0,0.0,83.042743
1,6,0.25,50,66.46803743153546,-,68.22539674441613,197,1,28.3515625,0.0,0.0,69.223453
2,6,0.25,50,66.46803743153546,-,68.22539674441613,197,1,28.3515625,0.0,0.0,68.117092
3,6,0.25,50,66.46803743153546,-,68.22539674441613,197,1,28.3515625,0.0,0.0,67.651779
4,6,0.25,50,66.46803743153546,-,68.22539674441613,197,1,28.3515625,0.0,0.0,68.046421
5,6,0.25,50,66.46803743153546,-,68.22539674441613,197,1,28.3515625,0.0,0.0,67.829601
6,6,0.25,50,66.46803743153546,-,68.22539674441613,197,1,28.3515625,0.0,0.0,68.569595
7,6,0.25,50,66.46803743153546,-,68.22539674441613,197,1,28.3515625,0.0,0.0,69.319219
8,6,0.25,50,66.46803743153546,-,68.22539674441613,197,1,28.3515625,0.0,0.0,67.411925
9,6,0.25,50,66.46803743153546,-,68.22539674441613,197,1,28.3515625,0.0,0.0,68.478752
10,6,0.25,50,66.46803743153546,-,68.22539674441613,197,1,28.3515625,0.0,0.0,68.09796
1,7,0.25,50,66.46803743153546,-,69.39696961966995,396,1,48.32421875,0.0,0.0,110.278749
2,7,0.25,50,66.46803743153546,-,69.39696961966995,396,1,48.32421875,0.0,0.0,109.6833
3,7,0.25,50,66.46803743153546,-,69.39696961966995,396,1,48.32421875,0.0,0.0,112.660382
4,7,0.25,50,66.46803743153546,-,69.39696961966995,396,1,48.32421875,0.0,0.0,110.207435
5,7,0.25,50,66.46803743153546,-,69.39696961966995,396,1,48.32421875,0.0,0.0,110.487995
6,7,0.25,50,66.46803743153546,-,69.39696961966995,396,1,48.32421875,0.0,0.0,109.988547
7,7,0.25,50,66.46803743153546,-,69.39696961966995,396,1,48.32421875,0.0,0.0,109.559524
8,7,0.25,50,66.46803743153546,-,69.39696961966995,396,1,48.32421875,0.0,0.0,109.287091
9,7,0.25,50,66.46803743153546,-,69.39696961966995,396,1,48.32421875,0.0,0.0,109.79375
10,7,0.25,50,66.46803743153546,-,69.39696961966995,396,1,48.32421875,0.0,0.0,110.698942
1,8,0.25,50,66.46803743153546,-,69.98275605729685,520,1,48.19140625,0.0,0.0,130.762251
2,8,0.25,50,66.46803743153546,-,69.98275605729685,520,1,48.19140625,0.0,0.0,130.338433
3,8,0.25,50,66.46803743153546,-,69.98275605729685,520,1,48.19140625,0.0,0.0,129.316908
4,8,0.25,50,66.46803743153546,-,69.98275605729685,520,1,48.19140625,0.0,0.0,129.444054
5,8,0.25,50,66.46803743153546,-,69.98275605729685,520,1,48.19140625,0.0,0.0,130.227997
6,8,0.25,50,66.46803743153546,-,69.98275605729685,520,1,48.19140625,0.0,0.0,130.725156
7,8,0.25,50,66.46803743153546,-,69.98275605729685,520,1,48.19140625,0.0,0.0,128.747346
8,8,0.25,50,66.46803743153546,-,69.98275605729685,520,1,48.19140625,0.0,0.0,131.688944
9,8,0.25,50,66.46803743153546,-,69.98275605729685,520,1,48.19140625,0.0,0.0,130.202833
10,8,0.25,50,66.46803743153546,-,69.98275605729685,520,1,48.19140625,0.0,0.0,130.021111
1,9,0.25,50,66.46803743153546,-,69.39696961966995,432,1,47.17578125,0.0,0.0,114.030973
2,9,0.25,50,66.46803743153546,-,69.39696961966995,432,1,47.17578125,0.0,0.0,113.519819
3,9,0.25,50,66.46803743153546,-,69.39696961966995,432,1,47.17578125,0.0,0.0,118.599581
4,9,0.25,50,66.46803743153546,-,69.39696961966995,432,1,47.17578125,0.0,0.0,114.080547
5,9,0.25,50,66.46803743153546,-,69.39696961966995,432,1,47.17578125,0.0,0.0,112.173126
6,9,0.25,50,66.46803743153546,-,69.39696961966995,432,1,47.17578125,0.0,0.0,111.755124
7,9,0.25,50,66.46803743153546,-,69.39696961966995,432,1,47.17578125,0.0,0.0,113.374745
8,9,0.25,50,66.46803743153546,-,69.39696961966995,432,1,47.17578125,0.0,0.0,112.362871
9,9,0.25,50,66.46803743153546,-,69.39696961966995,432,1,47.17578125,0.0,0.0,112.112139
10,9,0.25,50,66.46803743153546,-,69.39696961966995,432,1,47.17578125,0.0,0.0,113.420029
1,10,0.25,50,66.46803743153546,-,69.98275605729685,492,1,48.92578125,0.0,0.0,125.653587
2,10,0.25,50,66.46803743153546,-,69.98275605729685,492,1,48.92578125,0.0,0.0,127.44962
3,10,0.25,50,66.46803743153546,-,69.98275605729685,492,1,48.92578125,0.0,0.0,127.651755
4,10,0.25,50,66.46803743153546,-,69.98275605729685,492,1,48.92578125,0.0,0.0,126.893569
5,10,0.25,50,66.46803743153546,-,69.98275605729685,492,1,48.92578125,0.0,0.0,128.525175
6,10,0.25,50,66.46803743153546,-,69.98275605729685,492,1,48.92578125,0.0,0.0,126.619015
7,10,0.25,50,66.46803743153546,-,69.98275605729685,492,1,48.92578125,0.0,0.0,126.681136
8,10,0.25,50,66.46803743153546,-,69.98275605729685,492,1,48.92578125,0.0,0.0,127.431293
9,10,0.25,50,66.46803743153546,-,69.98275605729685,492,1,48.92578125,0.0,0.0,127.527728
10,10,0.25,50,66.46803743153546,-,69.98275605729685,492,1,48.92578125,0.0,0.0,126.825512
1,11,0.25,100,66.46803743153546,-,68.81118318204304,312,1,50.00390625,0.0,0.0,89.888152
2,11,0.25,100,66.46803743153546,-,68.81118318204304,312,1,50.00390625,0.0,0.0,88.920456
3,11,0.25,100,66.46803743153546,-,68.81118318204304,312,1,50.00390625,0.0,0.0,89.546594
4,11,0.25,100,66.46803743153546,-,68.81118318204304,312,1,50.00390625,0.0,0.0,88.698294
5,11,0.25,100,66.46803743153546,-,68.81118318204304,312,1,50.00390625,0.0,0.0,89.270216
6,11,0.25,100,66.46803743153546,-,68.81118318204304,312,1,50.00390625,0.0,0.0,89.538355
7,11,0.25,100,66.46803743153546,-,68.81118318204304,312,1,50.00390625,0.0,0.0,89.510132
8,11,0.25,100,66.46803743153546,-,68.81118318204304,312,1,50.00390625,0.0,0.0,89.880526
9,11,0.25,100,66.46803743153546,-,68.81118318204304,312,1,50.00390625,0.0,0.0,89.855376
10,11,0.25,100,66.46803743153546,-,68.81118318204304,312,1,50.00390625,0.0,0.0,90.081768
1,12,0.25,100,66.46803743153546,-,68.81118318204302,319,1,47.19140625,0.0,0.0,90.785086
2,12,0.25,100,66.46803743153546,-,68.81118318204302,319,1,47.19140625,0.0,0.0,90.710966
3,12,0.25,100,66.46803743153546,-,68.81118318204302,319,1,47.19140625,0.0,0.0,90.67079
4,12,0.25,100,66.46803743153546,-,68.81118318204302,319,1,47.19140625,0.0,0.0,89.912353
5,12,0.25,100,66.46803743153546,-,68.81118318204302,319,1,47.19140625,0.0,0.0,90.684989
6,12,0.25,100,66.46803743153546,-,68.81118318204302,319,1,47.19140625,0.0,0.0,104.431662
7,12,0.25,100,66.46803743153546,-,68.81118318204302,319,1,47.19140625,0.0,0.0,90.597198
