Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,280.884765625,0.0,0.0,20.537919
2,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.158431
3,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.340098
4,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.405985
5,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.314668
6,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.295252
7,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.236156
8,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.440258
9,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.306841
10,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.316148
11,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.283488
12,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.751179
13,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.576704
14,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.423947
15,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.520516
16,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.355772
17,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.356998
18,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.301638
19,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.491712
20,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.297682
21,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.423228
22,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.397727
23,1,0.25,50,66.46803743153546,-,78.76955262170043,2578,1,276.09375,0.0,0.0,19.417458
