Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,123.34375,1644.0,644.0,200.831216
2,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,264.0,1024.0,178.717302
3,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,178.270562
4,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,181.11516
5,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,178.350751
6,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,178.972773
7,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.208564
8,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.039839
9,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.824175
10,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,178.605417
11,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.588043
12,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,182.857489
13,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,180.456083
14,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,181.206964
15,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,178.76064
16,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,180.855819
17,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.178307
18,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.131639
19,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.958815
20,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.225014
21,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.130231
22,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,180.135148
23,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,178.989769
24,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.045357
25,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,178.271617
26,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.480359
27,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,178.560442
28,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,178.457115
29,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,179.301185
30,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,46.2734375,0.0,0.0,180.791691
1,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,149.345962
2,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,148.079055
3,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,148.298313
4,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,147.712756
5,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,148.157942
6,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,147.757509
7,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,147.19193
8,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,147.056239
9,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,146.488918
10,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,148.255813
11,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,147.803601
12,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,150.172456
13,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,148.165702
14,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,147.842472
15,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,147.464815
16,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,147.034772
17,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,147.212469
18,2,0.25,50,66.46803743153546,-,81.11269837220804,821,2,45.921875,0.0,0.0,146.933406
