Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,332.3916015625,320.0,0.0,259.662545
2,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,250.923061
3,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,254.224649
4,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,250.902441
5,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,252.467667
6,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,251.327549
7,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,253.303174
8,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,249.781462
9,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,251.451067
10,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,253.915183
11,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,250.695607
12,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,252.83922
13,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,250.385183
14,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,251.458826
15,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,251.113599
16,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,250.869442
17,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,254.469293
18,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,252.151515
19,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,250.400097
20,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,251.396512
21,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,250.179766
22,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,251.853189
23,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,253.865709
24,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,253.102818
25,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,253.624223
26,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,251.416141
27,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,251.441845
28,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,252.043109
29,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,250.62608
30,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,252.667374
1,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,204.0768
2,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,202.494907
3,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,202.357518
4,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,202.565635
5,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,201.535403
6,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,202.015346
7,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,201.906924
8,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,203.909688
9,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,203.123
10,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,204.127839
11,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,202.075796
12,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,202.430695
13,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,201.599688
14,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,202.806337
15,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,203.210467
16,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,202.841235
17,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,201.028387
18,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,206.090852
19,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,201.751215
20,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,205.818914
21,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,206.983365
22,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,201.85699
23,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,203.360581
24,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,202.474758
25,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,203.329391
26,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,203.934588
27,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,204.170284
28,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,201.541365
29,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,203.656421
30,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,202.306099
1,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,588.63938
2,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,592.818959
3,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,585.713286
4,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,594.028353
5,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,587.177223
