Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,336.1953125,372.0,0.0,21.907002
2,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.7490234375,0.0,0.0,20.228907
3,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.245382
4,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.284232
5,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.338193
6,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.398949
7,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.464173
8,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.348509
9,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.38904
10,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.347804
11,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.786651
12,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.496765
13,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.534245
14,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.490989
15,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.474208
16,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.295329
17,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.570128
18,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.50838
19,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.386908
20,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.42814
21,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.338851
22,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.502153
23,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.411254
24,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.431872
25,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.613462
26,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.631219
27,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.502925
28,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.533223
29,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.754601
30,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,20.645956
1,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,20.053081
