Algorithm,Metric,Grid size,Mean,Median,Standard Deviation,Minimum,Maximum
ARA*,Execution time (ms),50.0,28.915026583333336,28.383904,2.836957811020741,25.480034,36.528123
ARA*,Execution time (ms),100.0,30.244784246666665,29.821951,2.8842804113645912,26.654254,37.503813
ARA*,Execution time (ms),150.0,31.515233973333338,26.212245,10.84044497379502,22.498118,59.389915
ARA*,Execution time (ms),200.0,31.836187566666666,27.828249,14.18096763277852,22.060272,73.489041
ARA*,Execution time (ms),250.0,27.31872291,27.5609555,3.1986865681483505,20.788216,33.037343
ARA*,Execution time (ms),300.0,28.03367902,25.641485,6.981785142440398,19.006927,41.680974
RTAA**,Execution time (ms),50.0,21.20765272,20.649,2.782450834120653,16.112042,29.162821
RTAA**,Execution time (ms),100.0,29.548937076666668,30.101291500000002,5.756863089391885,18.848386,39.197379
RTAA**,Execution time (ms),150.0,49.08590221,48.448980500000005,4.250185117138893,41.978662,56.341325
RTAA**,Execution time (ms),200.0,71.06964716333333,70.98363549999999,6.282074725806477,53.627931,84.810204
RTAA**,Execution time (ms),250.0,103.02477681666669,103.3993895,6.159246363909385,88.237528,116.192475
RTAA**,Execution time (ms),300.0,154.43979500666666,152.9889475,9.393766474251398,136.038059,182.756598
LRTA*,Execution time (ms),50.0,302.24707562,270.3906235,106.19781043233675,201.028387,594.694107
LRTA*,Execution time (ms),100.0,333.75782835999996,262.5130765,163.34266066703054,171.530773,750.510443
LRTA*,Execution time (ms),150.0,333.07280032666665,312.478698,101.16825069485573,211.072265,569.601593
LRTA*,Execution time (ms),200.0,309.18989157000004,315.307878,116.6717338650555,54.816587,535.116133
LRTA*,Execution time (ms),250.0,382.42296250000004,390.711916,126.74910944756834,87.088965,597.366901
LRTA*,Execution time (ms),300.0,419.63800656666666,386.210774,87.85614853400703,309.503421,602.5883
D*,Execution time (ms),50.0,111.36725272333334,110.8135645,3.0489285100732078,106.044822,142.399911
D*,Execution time (ms),100.0,840.4846208333332,855.53095,43.07423745826518,738.067725,918.233909
D*,Execution time (ms),150.0,1147.8615361099999,1135.0472140000002,91.40886783833037,969.960437,1329.458685
D*,Execution time (ms),200.0,1322.9757467533332,1291.5287090000002,196.3186036185265,1040.136874,1854.713109
D*,Execution time (ms),250.0,1392.6155687666665,1432.6432665,107.98643218505894,1162.540597,1671.172835
D*,Execution time (ms),300.0,1367.5872110866667,1341.5914045,109.66388721778225,1189.9792,1651.097298
D* Lite,Execution time (ms),50.0,98.66510396666666,102.4099145,22.1464767430367,63.701611,134.068874
D* Lite,Execution time (ms),100.0,110.20412591333331,105.44604799999999,21.07048483626315,82.879495,148.065347
D* Lite,Execution time (ms),150.0,115.51058747333333,115.05391399999999,22.327207328623356,85.934621,156.437979
D* Lite,Execution time (ms),200.0,106.76005345666667,111.7473325,22.597329604196883,73.375942,145.137231
D* Lite,Execution time (ms),250.0,108.91677776333333,107.47348,11.33260601817355,91.158477,130.392102
D* Lite,Execution time (ms),300.0,117.39117415999999,117.05775249999999,19.631578843331205,83.105168,150.318484
LPA*,Execution time (ms),50.0,175.73984361666666,179.216789,17.34602649861883,146.488918,235.498349
LPA*,Execution time (ms),100.0,175.4154717,174.754836,9.895573564632,159.921316,193.263119
LPA*,Execution time (ms),150.0,178.06315361666668,160.560209,36.795450165575325,143.274307,257.279274
LPA*,Execution time (ms),200.0,178.11190071666667,168.3322455,52.5992190376282,126.124507,322.580273
LPA*,Execution time (ms),250.0,160.88314496333334,161.17110150000002,15.55461436981168,123.736763,184.951848
LPA*,Execution time (ms),300.0,165.4199514533333,159.26108449999998,31.781361079686246,115.004351,226.811694
ARA*,Path cost,50.0,79.61391770309002,79.35533905932733,1.3059547066041137,77.59797974644663,81.94112549695426
ARA*,Path cost,100.0,80.28254685319155,79.94112549695424,1.6396725325912822,78.18376618407353,83.45584412271569
ARA*,Path cost,150.0,81.23818177180196,79.94112549695424,3.742804139737341,77.01219330881972,88.87005768508878
ARA*,Path cost,200.0,81.48670990922582,79.35533905932735,6.0195572449143,75.254833995939,98.04163056034258
ARA*,Path cost,250.0,79.42813126546311,79.0624458405139,2.377371664321285,75.84062043356589,84.87005768508878
ARA*,Path cost,300.0,79.95950211536162,79.76955262170044,2.7691977586181347,76.42640687119281,85.35533905932733
RTAA**,Path cost,50.0,70.96854249492375,71.15432893255067,0.8571042587423813,69.39696961966995,72.32590180780447
RTAA**,Path cost,100.0,71.67148622007603,72.15432893255065,1.8771720313248885,68.81118318204304,74.32590180780447
RTAA**,Path cost,150.0,72.32001435749989,71.8614357137372,2.1568046242432097,69.98275605729684,78.32590180780448
RTAA**,Path cost,200.0,71.42712113868645,71.74011537017756,1.5760416971952496,68.22539674441613,73.74011537017755
RTAA**,Path cost,250.0,70.88569978244914,70.86143571373721,1.6180170439103376,68.81118318204302,74.91168824543136
RTAA**,Path cost,300.0,71.52001435749989,70.86143571373721,2.057987494988295,69.39696961966995,77.15432893255064
LRTA*,Path cost,50.0,70.78275605729685,70.56854249492375,1.041258922271513,69.39696961966995,72.81118318204304
LRTA*,Path cost,100.0,70.92417741353417,70.10407640085648,1.7366513681763371,69.39696961966995,75.15432893255065
LRTA*,Path cost,150.0,70.6312841947207,70.6898628384834,1.171846361140169,68.81118318204304,72.56854249492375
LRTA*,Path cost,200.0,70.75849198858491,70.8614357137372,1.5807409198687807,68.22539674441613,74.56854249492375
LRTA*,Path cost,250.0,70.69991334482222,70.39696961966995,1.2468437415767972,68.81118318204302,73.39696961966993
LRTA*,Path cost,300.0,70.67564927611029,70.56854249492376,0.6816108731806435,69.39696961966995,71.98275605729685
D*,Path cost,50.0,79.61391770309002,79.35533905932735,1.305954706604107,77.59797974644664,81.94112549695424
D*,Path cost,100.0,80.28254685319155,79.94112549695424,1.6396725325912773,78.18376618407353,83.45584412271569
D*,Path cost,150.0,81.23818177180196,79.94112549695424,3.7428041397373435,77.01219330881972,88.87005768508878
D*,Path cost,200.0,81.48670990922582,79.35533905932733,6.019557244914303,75.254833995939,98.0416305603426
D*,Path cost,250.0,79.42813126546312,79.06244584051389,2.3773716643212763,75.84062043356592,84.87005768508877
D*,Path cost,300.0,79.95950211536162,79.76955262170043,2.769197758618136,76.42640687119281,85.35533905932733
D* Lite,Path cost,50.0,69.39696961966993,69.39696961966995,0.7422057883451454,68.22539674441613,70.56854249492375
D* Lite,Path cost,100.0,69.86559876977147,69.39696961966995,0.862365197315846,68.81118318204302,71.15432893255065
D* Lite,Path cost,150.0,69.91412690719534,69.98275605729685,1.0417287892438116,68.81118318204304,72.22539674441613
D* Lite,Path cost,200.0,69.65554826343262,69.39696961966995,0.8443778718776405,68.22539674441613,71.39696961966993
D* Lite,Path cost,250.0,69.62123368838188,69.51828996322959,0.5474832918117323,68.81118318204302,70.56854249492376
D* Lite,Path cost,300.0,69.7484414822461,69.98275605729685,0.46941215674630127,68.81118318204304,70.56854249492375
LPA*,Path cost,50.0,79.61391770309002,79.35533905932735,1.3059547066041044,77.59797974644664,81.94112549695424
LPA*,Path cost,100.0,80.28254685319155,79.94112549695424,1.6396725325912773,78.18376618407353,83.45584412271569
LPA*,Path cost,150.0,81.23818177180196,79.94112549695424,3.7428041397373386,77.01219330881972,88.87005768508877
LPA*,Path cost,200.0,81.49676041556465,79.35533905932733,6.021781651580194,75.254833995939,98.0416305603426
LPA*,Path cost,250.0,79.45239533417505,79.0624458405139,2.433553418927856,75.84062043356592,85.11269837220804
LPA*,Path cost,300.0,79.95950211536162,79.76955262170043,2.7691977586181373,76.42640687119281,85.35533905932735
ARA*,Memory Allocation (KB),50.0,342.312041015625,292.32421875,77.64680081891453,275.5078125,487.1171875
ARA*,Memory Allocation (KB),100.0,356.0978190104167,331.6015625,71.67594542916629,285.140625,479.3515625
ARA*,Memory Allocation (KB),150.0,364.60078125,279.6796875,120.42294364283035,258.9765625,586.015625
ARA*,Memory Allocation (KB),200.0,346.4357194010417,290.97265625,102.77436591207108,261.421875,570.4453125
ARA*,Memory Allocation (KB),250.0,305.47109375,283.94140625,45.63832891860747,253.71875,380.15625
ARA*,Memory Allocation (KB),300.0,322.01328125,280.1640625,84.34716777304577,242.140625,498.4296875
RTAA**,Memory Allocation (KB),50.0,328.376298828125,328.54296875,5.146299735765279,320.40234375,340.66796875
RTAA**,Memory Allocation (KB),100.0,1128.2541927083332,1129.03369140625,11.641350783787523,1107.18359375,1148.49609375
RTAA**,Memory Allocation (KB),150.0,3103.36015625,3100.625,8.89284699884275,3093.52734375,3118.47265625
RTAA**,Memory Allocation (KB),200.0,4465.199609375,4467.21875,14.462221209048264,4427.1640625,4483.23828125
RTAA**,Memory Allocation (KB),250.0,7502.621484375,7504.1953125,13.641608255667348,7473.0859375,7522.63671875
RTAA**,Memory Allocation (KB),300.0,12571.9984375,12569.2734375,14.405633637078713,12557.4375,12611.4375
LRTA*,Memory Allocation (KB),50.0,312.788896484375,312.4296875,7.530017712280778,303.02734375,332.3916015625
LRTA*,Memory Allocation (KB),100.0,1113.5128873697918,1109.73828125,10.823631216929583,1104.37890625,1140.42578125
LRTA*,Memory Allocation (KB),150.0,3082.050390625,3079.95703125,6.595314293450532,3071.29296875,3094.35546875
LRTA*,Memory Allocation (KB),200.0,4446.340091145833,4442.32421875,11.070602424503832,4427.4140625,4467.44140625
LRTA*,Memory Allocation (KB),250.0,7485.859765625,7484.7734375,7.76611539497091,7473.3359375,7504.55078125
LRTA*,Memory Allocation (KB),300.0,12548.8421875,12546.83203125,7.405338083120415,12540.515625,12566.65625
D*,Memory Allocation (KB),50.0,1009.9701920572917,1009.2421875,7.248665218520197,1007.2109375,1130.4560546875
D*,Memory Allocation (KB),100.0,4384.57109375,4383.421875,7.657504171196051,4371.59375,4398.4375
D*,Memory Allocation (KB),150.0,11492.98984375,11491.64453125,34.29777879032063,11423.5546875,11555.6171875
D*,Memory Allocation (KB),200.0,15741.642210286458,15732.90625,41.32950257508222,15698.5625,15845.46875
D*,Memory Allocation (KB),250.0,26293.125,26288.78515625,24.24884116505975,26254.8671875,26351.6640625
D*,Memory Allocation (KB),300.0,43539.24609375,43537.92578125,32.12907157157632,43495.92578125,43605.19140625
D* Lite,Memory Allocation (KB),50.0,41.624752604166666,48.0,11.049194935529263,22.29296875,92.9296875
D* Lite,Memory Allocation (KB),100.0,49.990986328125,50.00390625,1.2521265053708794,47.19140625,51.62109375
D* Lite,Memory Allocation (KB),150.0,50.284375,50.73828125,0.9165888090502468,48.63671875,51.58203125
D* Lite,Memory Allocation (KB),200.0,42.727353515625,49.69921875,10.931262087535304,24.6484375,51.4677734375
D* Lite,Memory Allocation (KB),250.0,51.109375,49.90234375,3.812593671533828,48.76953125,62.37109375
D* Lite,Memory Allocation (KB),300.0,47.88671875,50.42578125,7.59031409685675,25.21484375,51.31640625
LPA*,Memory Allocation (KB),50.0,44.68736979166667,45.45703125,4.9843112936699425,41.1953125,123.34375
LPA*,Memory Allocation (KB),100.0,44.403499348958334,45.5859375,2.224049257255314,40.5546875,46.984375
LPA*,Memory Allocation (KB),150.0,62.43515625,45.91015625,38.56487491016308,39.890625,141.03125
LPA*,Memory Allocation (KB),200.0,55.126337890625,45.02734375,34.77088992451509,40.7421875,159.0703125
LPA*,Memory Allocation (KB),250.0,43.53515625,45.12890625,2.8028136091248195,39.7734375,47.1328125
LPA*,Memory Allocation (KB),300.0,62.26796875,45.83203125,38.780911648419135,39.359375,142.2421875
ARA*,Number of expanded nodes,50.0,2223.7,2209.5,173.0161610175308,2008.0,2587.0
ARA*,Number of expanded nodes,100.0,2338.2,2296.0,170.9842450055963,2123.0,2718.0
ARA*,Number of expanded nodes,150.0,2414.3,2075.0,681.5695612992353,1795.0,4022.0
ARA*,Number of expanded nodes,200.0,2450.6,2206.5,936.2507810857154,1842.0,5137.0
ARA*,Number of expanded nodes,250.0,2123.7,2134.0,205.1245074220789,1707.0,2458.0
ARA*,Number of expanded nodes,300.0,2207.9,2055.0,471.7806835574412,1563.0,3084.0
RTAA**,Number of expanded nodes,50.0,663.2,651.5,95.12899181433617,483.0,878.0
RTAA**,Number of expanded nodes,100.0,638.2,674.0,201.82104063122748,294.0,928.0
RTAA**,Number of expanded nodes,150.0,752.7,691.5,156.57435431159743,587.0,1030.0
RTAA**,Number of expanded nodes,200.0,651.7,653.0,204.00130335999143,141.0,923.0
RTAA**,Number of expanded nodes,250.0,645.8,679.5,225.29392173462773,248.0,969.0
RTAA**,Number of expanded nodes,300.0,749.1,701.0,261.642272826403,461.0,1442.0
LRTA*,Number of expanded nodes,50.0,386.3,364.5,87.88832607082567,280.0,568.0
LRTA*,Number of expanded nodes,100.0,376.8,325.5,142.43379028652092,275.0,756.0
LRTA*,Number of expanded nodes,150.0,368.1,346.0,78.81367468736472,262.0,550.0
LRTA*,Number of expanded nodes,200.0,342.8,298.0,128.95032877418305,141.0,632.0
LRTA*,Number of expanded nodes,250.0,344.5,344.5,69.55700724963002,248.0,522.0
LRTA*,Number of expanded nodes,300.0,368.7,349.5,74.18324505003704,269.0,526.0
D*,Number of expanded nodes,50.0,10005.9,9998.5,44.042659466054154,9943.0,10078.0
D*,Number of expanded nodes,100.0,42000.1,42049.0,258.9126155190519,41362.0,42257.0
D*,Number of expanded nodes,150.0,52370.9,52184.0,3340.89928764206,46540.0,59100.0
D*,Number of expanded nodes,200.0,53296.5,52405.5,4632.906877665872,48259.0,64622.0
D*,Number of expanded nodes,250.0,51137.9,50593.5,2717.9737109923426,46843.0,57581.0
D*,Number of expanded nodes,300.0,50589.5,50302.0,3272.411563582975,46056.0,57374.0
D* Lite,Number of expanded nodes,50.0,385.3,390.5,117.90653006842292,197.0,565.0
D* Lite,Number of expanded nodes,100.0,449.0,416.5,112.50150500665553,312.0,643.0
D* Lite,Number of expanded nodes,150.0,463.0,467.5,116.92292290079628,317.0,672.0
D* Lite,Number of expanded nodes,200.0,415.1,433.0,120.6316569376314,253.0,608.0
D* Lite,Number of expanded nodes,250.0,421.4,406.0,69.59875445777445,329.0,560.0
D* Lite,Number of expanded nodes,300.0,452.2,452.0,104.23423583320617,273.0,625.0
LPA*,Number of expanded nodes,50.0,1014.2,1027.5,114.31324680302292,821.0,1213.0
LPA*,Number of expanded nodes,100.0,1024.0,1018.0,75.26275045034676,921.0,1155.0
LPA*,Number of expanded nodes,150.0,1044.4,916.5,265.5316620389186,821.0,1590.0
LPA*,Number of expanded nodes,200.0,1043.5,981.5,380.8207779033901,688.0,2052.0
LPA*,Number of expanded nodes,250.0,911.8,917.0,109.5315046079083,687.0,1061.0
LPA*,Number of expanded nodes,300.0,936.7,890.5,224.7263888215532,612.0,1344.0
ARA*,Number of searches,50.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,100.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,150.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,200.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,250.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,300.0,5.0,5.0,0.0,5.0,5.0
RTAA**,Number of searches,50.0,3.0,3.0,0.4479608200736647,2.0,4.0
RTAA**,Number of searches,100.0,3.0,3.0,0.7758909001678076,2.0,4.0
RTAA**,Number of searches,150.0,3.5,3.0,0.6719412301104971,3.0,5.0
RTAA**,Number of searches,200.0,3.0,3.0,0.7758909001678076,1.0,4.0
RTAA**,Number of searches,250.0,2.9,3.0,0.9449743851707106,1.0,4.0
RTAA**,Number of searches,300.0,3.3,3.0,1.1018379294353933,2.0,6.0
LRTA*,Number of searches,50.0,2.1,2.0,0.30050125348238,2.0,3.0
LRTA*,Number of searches,100.0,2.3,2.0,0.6413822865173265,2.0,4.0
LRTA*,Number of searches,150.0,2.1,2.0,0.3005012534823801,2.0,3.0
LRTA*,Number of searches,200.0,2.0,2.0,0.4479608200736647,1.0,3.0
LRTA*,Number of searches,250.0,2.0,2.0,0.4479608200736647,1.0,3.0
LRTA*,Number of searches,300.0,2.1,2.0,0.30050125348238005,2.0,3.0
D*,Number of searches,50.0,1708.5,1708.5,6.5262526187811,1695.0,1719.0
D*,Number of searches,100.0,7077.3,7095.0,48.868912086948214,6975.0,7139.0
D*,Number of searches,150.0,8729.4,8686.0,561.98397958575,7739.0,9831.0
D*,Number of searches,200.0,8881.9,8726.5,751.5866094058136,8083.0,10757.0
D*,Number of searches,250.0,8546.1,8458.0,443.36116248645163,7848.0,9612.0
D*,Number of searches,300.0,8447.8,8401.5,559.7735686512316,7660.0,9605.0
D* Lite,Number of searches,50.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,100.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,150.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,200.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,250.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,300.0,1.0,1.0,0.0,1.0,1.0
LPA*,Number of searches,50.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,100.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,150.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,200.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,250.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,300.0,2.0,2.0,0.0,2.0,2.0
