Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,94,-,78.18376618407353,1792,5,265.5810546875,220.0,132.0,31.0292
2,1,0.25,50,94,-,78.18376618407353,1792,5,258.52734375,8.0,0.0,30.3094
3,1,0.25,50,94,-,78.18376618407353,1792,5,258.265625,12.0,0.0,29.63
4,1,0.25,50,94,-,78.18376618407353,1792,5,258.265625,12.0,0.0,27.8357
5,1,0.25,50,94,-,78.18376618407353,1792,5,258.265625,4.0,0.0,29.1559
6,1,0.25,50,94,-,78.18376618407353,1792,5,258.265625,12.0,0.0,54.783
7,1,0.25,50,94,-,78.18376618407353,1792,5,258.265625,8.0,0.0,29.8117
8,1,0.25,50,94,-,78.18376618407353,1792,5,258.265625,0.0,0.0,27.3659
9,1,0.25,50,94,-,78.18376618407353,1792,5,258.265625,0.0,0.0,28.0711
10,1,0.25,50,94,-,78.18376618407353,1792,5,258.265625,8.0,0.0,27.5277
1,2,0.25,100,94,-,79.94112549695424,2195,5,290.9921875,0.0,0.0,36.7752
2,2,0.25,100,94,-,79.94112549695424,2195,5,290.9921875,0.0,0.0,34.0045
3,2,0.25,100,94,-,79.94112549695424,2195,5,290.9921875,0.0,0.0,36.4191
4,2,0.25,100,94,-,79.94112549695424,2195,5,290.9921875,0.0,0.0,35.6414
5,2,0.25,100,94,-,79.94112549695424,2195,5,290.9921875,0.0,0.0,36.6212
6,2,0.25,100,94,-,79.94112549695424,2195,5,290.9921875,0.0,0.0,36.4692
7,2,0.25,100,94,-,79.94112549695424,2195,5,290.9921875,0.0,0.0,34.6809
8,2,0.25,100,94,-,79.94112549695424,2195,5,290.9921875,0.0,0.0,35.551
9,2,0.25,100,94,-,79.94112549695424,2195,5,290.9921875,0.0,0.0,34.9286
10,2,0.25,100,94,-,79.94112549695424,2195,5,290.9921875,0.0,0.0,36.2329
1,3,0.25,150,94,-,80.52691193458116,2203,5,363.625,0.0,0.0,38.9919
2,3,0.25,150,94,-,80.52691193458116,2203,5,363.625,0.0,0.0,37.263
3,3,0.25,150,94,-,80.52691193458116,2203,5,363.625,0.0,0.0,35.9145
4,3,0.25,150,94,-,80.52691193458116,2203,5,363.625,4.0,0.0,36.5438
5,3,0.25,150,94,-,80.52691193458116,2203,5,363.625,0.0,0.0,35.7161
6,3,0.25,150,94,-,80.52691193458116,2203,5,363.625,0.0,0.0,35.7931
7,3,0.25,150,94,-,80.52691193458116,2203,5,363.625,0.0,0.0,36.4174
8,3,0.25,150,94,-,80.52691193458116,2203,5,363.625,0.0,0.0,36.1336
9,3,0.25,150,94,-,80.52691193458116,2203,5,363.625,0.0,0.0,35.8293
10,3,0.25,150,94,-,80.52691193458116,2203,5,363.625,0.0,0.0,37.3124
1,4,0.25,200,94,-,78.18376618407353,1968,5,271.28125,0.0,0.0,32.51
2,4,0.25,200,94,-,78.18376618407353,1968,5,270.8515625,0.0,0.0,32.352
3,4,0.25,200,94,-,78.18376618407353,1968,5,270.8515625,0.0,0.0,32.2314
4,4,0.25,200,94,-,78.18376618407353,1968,5,270.8515625,0.0,0.0,34.7605
5,4,0.25,200,94,-,78.18376618407353,1968,5,270.8515625,0.0,0.0,31.1621
6,4,0.25,200,94,-,78.18376618407353,1968,5,270.8515625,0.0,0.0,34.5743
7,4,0.25,200,94,-,78.18376618407353,1968,5,270.8515625,0.0,0.0,32.2518
8,4,0.25,200,94,-,78.18376618407353,1968,5,270.8515625,0.0,0.0,31.8399
9,4,0.25,200,94,-,78.18376618407353,1968,5,270.8515625,0.0,0.0,31.3108
10,4,0.25,200,94,-,78.18376618407353,1968,5,270.8515625,0.0,0.0,34.8154
1,5,0.25,250,94,-,77.59797974644661,1954,5,274.2578125,0.0,0.0,33.5172
2,5,0.25,250,94,-,77.59797974644661,1954,5,274.2578125,0.0,0.0,33.699
3,5,0.25,250,94,-,77.59797974644661,1954,5,274.2578125,0.0,0.0,32.3424
4,5,0.25,250,94,-,77.59797974644661,1954,5,274.2578125,0.0,0.0,33.2904
5,5,0.25,250,94,-,77.59797974644661,1954,5,274.2578125,0.0,0.0,32.1775
6,5,0.25,250,94,-,77.59797974644661,1954,5,274.2578125,0.0,0.0,32.5846
7,5,0.25,250,94,-,77.59797974644661,1954,5,274.2578125,0.0,0.0,32.5812
8,5,0.25,250,94,-,77.59797974644661,1954,5,274.2578125,0.0,0.0,33.5185
9,5,0.25,250,94,-,77.59797974644661,1954,5,274.2578125,0.0,0.0,31.9355
10,5,0.25,250,94,-,77.59797974644661,1954,5,274.2578125,0.0,0.0,32.606
1,6,0.25,300,94,-,79.59797974644661,2705,5,495.7734375,8.0,0.0,50.0382
2,6,0.25,300,94,-,79.59797974644661,2705,5,495.7734375,4.0,0.0,48.1029
3,6,0.25,300,94,-,79.59797974644661,2705,5,495.7734375,0.0,0.0,46.2725
4,6,0.25,300,94,-,79.59797974644661,2705,5,495.7734375,4.0,0.0,49.4855
5,6,0.25,300,94,-,79.59797974644661,2705,5,495.7734375,0.0,0.0,47.4572
6,6,0.25,300,94,-,79.59797974644661,2705,5,495.7734375,0.0,0.0,47.1973
