Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,94,-,78.18376618407353,1964,1,208.828125,556.0,516.0,24.4457
2,1,0.25,50,94,-,78.18376618407353,1964,1,203.970703125,12.0,0.0,22.7266
3,1,0.25,50,94,-,78.18376618407353,1964,1,203.9296875,28.0,0.0,21.2027
4,1,0.25,50,94,-,78.18376618407353,1964,1,203.9296875,36.0,0.0,27.0683
5,1,0.25,50,94,-,78.18376618407353,1964,1,203.9296875,4.0,0.0,21.1201
6,1,0.25,50,94,-,78.18376618407353,1964,1,203.9296875,4.0,0.0,21.3498
7,1,0.25,50,94,-,78.18376618407353,1964,1,203.9296875,0.0,0.0,23.3286
8,1,0.25,50,94,-,78.18376618407353,1964,1,203.9296875,0.0,0.0,23.3828
9,1,0.25,50,94,-,78.18376618407353,1964,1,203.9296875,0.0,0.0,22.7089
10,1,0.25,50,94,-,78.18376618407353,1964,1,203.9296875,0.0,0.0,23.4349
1,2,0.25,100,94,-,79.94112549695424,2236,1,265.6171875,0.0,0.0,24.8149
2,2,0.25,100,94,-,79.94112549695424,2236,1,265.6171875,12.0,0.0,24.2546
3,2,0.25,100,94,-,79.94112549695424,2236,1,265.6171875,0.0,0.0,24.5902
4,2,0.25,100,94,-,79.94112549695424,2236,1,265.6171875,0.0,0.0,26.954
5,2,0.25,100,94,-,79.94112549695424,2236,1,265.6171875,0.0,0.0,30.7596
6,2,0.25,100,94,-,79.94112549695424,2236,1,265.6171875,0.0,0.0,25.6613
7,2,0.25,100,94,-,79.94112549695424,2236,1,265.6171875,0.0,0.0,26.2743
8,2,0.25,100,94,-,79.94112549695424,2236,1,265.6171875,0.0,0.0,22.9264
9,2,0.25,100,94,-,79.94112549695424,2236,1,265.6171875,0.0,0.0,26.4252
10,2,0.25,100,94,-,79.94112549695424,2236,1,265.6171875,0.0,0.0,25.1843
1,3,0.25,150,94,-,80.52691193458116,2286,1,268.3203125,0.0,0.0,30.6425
2,3,0.25,150,94,-,80.52691193458116,2286,1,268.3203125,0.0,0.0,25.726
3,3,0.25,150,94,-,80.52691193458116,2286,1,268.3203125,0.0,0.0,27.5207
4,3,0.25,150,94,-,80.52691193458116,2286,1,268.3203125,0.0,0.0,24.4983
5,3,0.25,150,94,-,80.52691193458116,2286,1,268.3203125,0.0,0.0,24.3942
6,3,0.25,150,94,-,80.52691193458116,2286,1,268.3203125,0.0,0.0,25.9151
7,3,0.25,150,94,-,80.52691193458116,2286,1,268.3203125,0.0,0.0,25.4018
8,3,0.25,150,94,-,80.52691193458116,2286,1,268.3203125,0.0,0.0,25.7858
9,3,0.25,150,94,-,80.52691193458116,2286,1,268.3203125,0.0,0.0,25.0355
10,3,0.25,150,94,-,80.52691193458116,2286,1,268.3203125,0.0,0.0,26.7236
1,4,0.25,200,94,-,78.18376618407353,1728,1,198.9453125,0.0,0.0,18.9553
2,4,0.25,200,94,-,78.18376618407353,1728,1,198.9453125,0.0,0.0,22.9929
3,4,0.25,200,94,-,78.18376618407353,1728,1,198.9453125,152.0,240.0,18.8088
4,4,0.25,200,94,-,78.18376618407353,1728,1,198.9453125,16.0,0.0,18.2589
5,4,0.25,200,94,-,78.18376618407353,1728,1,198.9453125,8.0,0.0,18.1288
6,4,0.25,200,94,-,78.18376618407353,1728,1,198.9453125,12.0,0.0,19.1467
7,4,0.25,200,94,-,78.18376618407353,1728,1,198.9453125,0.0,0.0,20.3713
8,4,0.25,200,94,-,78.18376618407353,1728,1,198.9453125,0.0,0.0,18.4578
9,4,0.25,200,94,-,78.18376618407353,1728,1,198.9453125,0.0,0.0,18.5612
10,4,0.25,200,94,-,78.18376618407353,1728,1,198.9453125,0.0,0.0,18.249
1,5,0.25,250,94,-,77.59797974644661,2232,1,258.71875,4.0,0.0,28.4805
2,5,0.25,250,94,-,77.59797974644661,2232,1,258.71875,0.0,0.0,24.7603
3,5,0.25,250,94,-,77.59797974644661,2232,1,258.71875,0.0,0.0,23.8688
4,5,0.25,250,94,-,77.59797974644661,2232,1,258.71875,0.0,0.0,27.5236
5,5,0.25,250,94,-,77.59797974644661,2232,1,258.71875,0.0,0.0,26.1564
6,5,0.25,250,94,-,77.59797974644661,2232,1,258.71875,0.0,0.0,24.8787
7,5,0.25,250,94,-,77.59797974644661,2232,1,258.71875,0.0,0.0,24.907
8,5,0.25,250,94,-,77.59797974644661,2232,1,258.71875,0.0,0.0,22.4312
9,5,0.25,250,94,-,77.59797974644661,2232,1,258.71875,0.0,0.0,26.2629
10,5,0.25,250,94,-,77.59797974644661,2232,1,258.71875,0.0,0.0,27.7633
1,6,0.25,300,94,-,79.59797974644661,2950,1,296.828125,0.0,0.0,32.2541
2,6,0.25,300,94,-,79.59797974644661,2950,1,296.828125,40.0,0.0,32.9253
3,6,0.25,300,94,-,79.59797974644661,2950,1,296.828125,8.0,0.0,33.0697
4,6,0.25,300,94,-,79.59797974644661,2950,1,296.828125,0.0,0.0,32.571
5,6,0.25,300,94,-,79.59797974644661,2950,1,296.828125,0.0,0.0,33.8285
6,6,0.25,300,94,-,79.59797974644661,2950,1,296.828125,0.0,0.0,32.9931
7,6,0.25,300,94,-,79.59797974644661,2950,1,296.828125,0.0,0.0,32.4858
8,6,0.25,300,94,-,79.59797974644661,2950,1,296.828125,0.0,0.0,31.7677
9,6,0.25,300,94,-,79.59797974644661,2950,1,296.828125,4.0,0.0,31.1237
10,6,0.25,300,94,-,79.59797974644661,2950,1,296.828125,0.0,0.0,35.2873
