Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,94,-,69.39696961966995,463,1,98.265625,2184.0,2700.0,224.9347
2,1,0.25,50,94,-,69.39696961966995,463,1,49.44921875,460.0,132.0,158.6208
3,1,0.25,50,94,-,69.39696961966995,463,1,49.62109375,60.0,0.0,160.7337
4,1,0.25,50,94,-,69.39696961966995,463,1,49.44921875,148.0,12.0,157.613
5,1,0.25,50,94,-,69.39696961966995,463,1,49.44921875,76.0,0.0,158.3887
6,1,0.25,50,94,-,69.39696961966995,463,1,49.44921875,40.0,0.0,158.1576
7,1,0.25,50,94,-,69.39696961966995,463,1,49.44921875,160.0,0.0,158.7959
8,1,0.25,50,94,-,69.39696961966995,463,1,49.44921875,132.0,0.0,156.2732
9,1,0.25,50,94,-,69.39696961966995,463,1,49.44921875,108.0,0.0,159.2688
10,1,0.25,50,94,-,69.39696961966995,463,1,49.44921875,8.0,0.0,158.6013
1,2,0.25,100,94,-,69.39696961966993,420,1,50.51171875,72.0,8.0,137.3312
2,2,0.25,100,94,-,69.39696961966993,420,1,50.51171875,216.0,0.0,141.7271
3,2,0.25,100,94,-,69.39696961966993,420,1,50.51171875,52.0,12.0,139.7539
4,2,0.25,100,94,-,69.39696961966993,420,1,50.51171875,200.0,120.0,143.2503
5,2,0.25,100,94,-,69.39696961966993,420,1,50.51171875,168.0,12.0,140.9966
6,2,0.25,100,94,-,69.39696961966993,420,1,50.51171875,84.0,128.0,140.9244
7,2,0.25,100,94,-,69.39696961966993,420,1,50.51171875,104.0,0.0,141.3086
8,2,0.25,100,94,-,69.39696961966993,420,1,50.51171875,96.0,12.0,142.1055
9,2,0.25,100,94,-,69.39696961966993,420,1,50.51171875,136.0,132.0,142.0006
10,2,0.25,100,94,-,69.39696961966993,420,1,50.51171875,220.0,272.0,141.6276
1,3,0.25,150,94,-,70.56854249492375,614,1,50.28515625,148.0,0.0,194.5847
2,3,0.25,150,94,-,70.56854249492375,614,1,50.28515625,40.0,0.0,197.7618
3,3,0.25,150,94,-,70.56854249492375,614,1,50.28515625,428.0,124.0,199.7007
4,3,0.25,150,94,-,70.56854249492375,614,1,50.28515625,144.0,136.0,195.7274
5,3,0.25,150,94,-,70.56854249492375,614,1,50.28515625,232.0,8.0,193.9256
6,3,0.25,150,94,-,70.56854249492375,614,1,50.28515625,152.0,0.0,196.4932
7,3,0.25,150,94,-,70.56854249492375,614,1,50.28515625,176.0,144.0,191.7487
8,3,0.25,150,94,-,70.56854249492375,614,1,50.28515625,88.0,0.0,192.5649
9,3,0.25,150,94,-,70.56854249492375,614,1,50.28515625,508.0,532.0,192.566
10,3,0.25,150,94,-,70.56854249492375,614,1,50.28515625,116.0,0.0,195.1999
1,4,0.25,200,94,-,70.56854249492375,564,1,51.01953125,472.0,336.0,176.3271
2,4,0.25,200,94,-,70.56854249492375,564,1,51.01953125,440.0,152.0,175.7853
3,4,0.25,200,94,-,70.56854249492375,564,1,51.01953125,256.0,176.0,177.5221
4,4,0.25,200,94,-,70.56854249492375,564,1,51.01953125,208.0,128.0,175.6137
5,4,0.25,200,94,-,70.56854249492375,564,1,51.01953125,524.0,344.0,175.2959
6,4,0.25,200,94,-,70.56854249492375,564,1,51.01953125,228.0,192.0,176.5184
7,4,0.25,200,94,-,70.56854249492375,564,1,51.01953125,424.0,304.0,175.9878
8,4,0.25,200,94,-,70.56854249492375,564,1,51.01953125,192.0,100.0,173.2687
9,4,0.25,200,94,-,70.56854249492375,564,1,51.01953125,140.0,0.0,175.7611
10,4,0.25,200,94,-,70.56854249492375,564,1,51.01953125,92.0,0.0,176.3199
1,5,0.25,250,94,-,69.98275605729685,492,1,51.28515625,860.0,644.0,163.688
2,5,0.25,250,94,-,69.98275605729685,492,1,51.28515625,144.0,0.0,162.047
3,5,0.25,250,94,-,69.98275605729685,492,1,51.28515625,464.0,500.0,163.1962
4,5,0.25,250,94,-,69.98275605729685,492,1,51.28515625,776.0,320.0,163.3253
5,5,0.25,250,94,-,69.98275605729685,492,1,51.28515625,444.0,124.0,162.4499
6,5,0.25,250,94,-,69.98275605729685,492,1,51.28515625,596.0,428.0,163.745
7,5,0.25,250,94,-,69.98275605729685,492,1,51.28515625,472.0,312.0,166.5248
8,5,0.25,250,94,-,69.98275605729685,492,1,51.28515625,832.0,816.0,164.748
9,5,0.25,250,94,-,69.98275605729685,492,1,51.28515625,404.0,116.0,161.0406
10,5,0.25,250,94,-,69.98275605729685,492,1,51.28515625,752.0,244.0,162.8339
1,6,0.25,300,94,-,69.98275605729685,504,1,52.43359375,440.0,60.0,169.9922
2,6,0.25,300,94,-,69.98275605729685,504,1,52.43359375,700.0,432.0,178.9396
3,6,0.25,300,94,-,69.98275605729685,504,1,52.43359375,416.0,56.0,170.6005
4,6,0.25,300,94,-,69.98275605729685,504,1,52.43359375,1316.0,1136.0,177.2925
5,6,0.25,300,94,-,69.98275605729685,504,1,52.43359375,1020.0,624.0,172.2417
6,6,0.25,300,94,-,69.98275605729685,504,1,52.43359375,1268.0,1052.0,170.7687
7,6,0.25,300,94,-,69.98275605729685,504,1,52.43359375,876.0,696.0,177.4049
8,6,0.25,300,94,-,69.98275605729685,504,1,52.43359375,744.0,768.0,175.8122
9,6,0.25,300,94,-,69.98275605729685,504,1,52.43359375,940.0,428.0,173.961
10,6,0.25,300,94,-,69.98275605729685,504,1,52.43359375,1132.0,896.0,173.5246
