Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,94,-,78.18376618407353,10066,1709,1136.9169921875,4796.0,4404.0,191.5086
2,1,0.25,50,94,-,78.18376618407353,10066,1709,1012.7734375,2008.0,1368.0,132.1427
3,1,0.25,50,94,-,78.18376618407353,10066,1709,1012.7734375,1256.0,1232.0,127.186
4,1,0.25,50,94,-,78.18376618407353,10066,1709,1012.7734375,792.0,780.0,125.6556
5,1,0.25,50,94,-,78.18376618407353,10066,1709,1012.7734375,812.0,784.0,132.7017
6,1,0.25,50,94,-,78.18376618407353,10066,1709,1012.7734375,968.0,1024.0,132.9474
7,1,0.25,50,94,-,78.18376618407353,10066,1709,1012.7734375,828.0,776.0,135.0996
8,1,0.25,50,94,-,78.18376618407353,10066,1709,1012.7734375,840.0,800.0,131.9864
9,1,0.25,50,94,-,78.18376618407353,10066,1709,1012.7734375,852.0,868.0,131.2446
10,1,0.25,50,94,-,78.18376618407353,10066,1709,1012.7734375,912.0,1700.0,127.6538
1,2,0.25,100,94,-,79.94112549695426,41727,7042,4371.59375,6220.0,7156.0,787.6459
2,2,0.25,100,94,-,79.94112549695426,41727,7042,4371.59375,6428.0,6256.0,785.7403
3,2,0.25,100,94,-,79.94112549695426,41727,7042,4371.59375,4948.0,4912.0,830.6943
4,2,0.25,100,94,-,79.94112549695426,41727,7042,4371.59375,4892.0,5588.0,784.1108
5,2,0.25,100,94,-,79.94112549695426,41727,7042,4371.59375,5104.0,5160.0,782.1271
6,2,0.25,100,94,-,79.94112549695426,41727,7042,4371.59375,2680.0,2848.0,773.1617
7,2,0.25,100,94,-,79.94112549695426,41727,7042,4371.59375,4656.0,5488.0,796.1157
8,2,0.25,100,94,-,79.94112549695426,41727,7042,4371.59375,2980.0,3044.0,800.6181
9,2,0.25,100,94,-,79.94112549695426,41727,7042,4371.59375,3052.0,2428.0,783.7116
10,2,0.25,100,94,-,79.94112549695426,41727,7042,4371.59375,3300.0,3392.0,784.8023
1,3,0.25,150,94,-,80.52691193458114,52939,8823,11500.5859375,12652.0,12588.0,1100.4077
