Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,123.875,2136.0,1344.0,308.4361
2,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,376.0,860.0,278.8939
3,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,36.0,0.0,329.144
4,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,0.0,0.0,260.0091
5,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,-4.0,0.0,255.5472
6,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,24.0,0.0,261.745
7,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,0.0,0.0,261.0403
8,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,-8.0,0.0,259.1897
9,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,0.0,0.0,258.2565
10,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,0.0,0.0,269.6324
11,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,4.0,0.0,261.9845
12,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,0.0,0.0,263.5815
13,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,0.0,0.0,259.488
14,1,0.25,50,66.46803743153546,-,78.76955262170044,1022,2,114.15625,-4.0,0.0,264.4721
