Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,94,-,78.18376618407352,767,2,103.1875,2092.0,1328.0,248.4721
2,1,0.25,50,94,-,78.18376618407352,767,2,40.6015625,272.0,0.0,197.5101
3,1,0.25,50,94,-,78.18376618407352,767,2,40.4296875,76.0,0.0,193.0166
4,1,0.25,50,94,-,78.18376618407352,767,2,40.4296875,56.0,0.0,190.7626
5,1,0.25,50,94,-,78.18376618407352,767,2,40.4296875,68.0,8.0,191.9768
6,1,0.25,50,94,-,78.18376618407352,767,2,40.4296875,28.0,4.0,195.1511
7,1,0.25,50,94,-,78.18376618407352,767,2,40.4296875,28.0,4.0,189.3441
8,1,0.25,50,94,-,78.18376618407352,767,2,40.4296875,28.0,8.0,190.3063
9,1,0.25,50,94,-,78.18376618407352,767,2,40.4296875,24.0,4.0,191.1449
10,1,0.25,50,94,-,78.18376618407352,767,2,40.4296875,48.0,0.0,188.6502
1,2,0.25,100,94,-,79.94112549695426,918,2,45.328125,184.0,8.0,219.5002
2,2,0.25,100,94,-,79.94112549695426,918,2,45.328125,64.0,0.0,214.4166
3,2,0.25,100,94,-,79.94112549695426,918,2,45.328125,112.0,0.0,216.3558
4,2,0.25,100,94,-,79.94112549695426,918,2,45.328125,340.0,480.0,217.5663
5,2,0.25,100,94,-,79.94112549695426,918,2,45.328125,-4.0,0.0,217.5477
6,2,0.25,100,94,-,79.94112549695426,918,2,45.328125,148.0,0.0,227.6633
7,2,0.25,100,94,-,79.94112549695426,918,2,45.328125,248.0,364.0,220.0039
8,2,0.25,100,94,-,79.94112549695426,918,2,45.328125,204.0,120.0,214.9897
9,2,0.25,100,94,-,79.94112549695426,918,2,45.328125,12.0,0.0,213.2943
10,2,0.25,100,94,-,79.94112549695426,918,2,45.328125,68.0,8.0,218.3943
1,3,0.25,150,94,-,80.52691193458115,951,2,47.265625,132.0,0.0,227.969
2,3,0.25,150,94,-,80.52691193458115,951,2,47.265625,212.0,0.0,225.9413
3,3,0.25,150,94,-,80.52691193458115,951,2,47.265625,152.0,0.0,230.1193
4,3,0.25,150,94,-,80.52691193458115,951,2,47.265625,308.0,268.0,231.0709
5,3,0.25,150,94,-,80.52691193458115,951,2,47.265625,100.0,12.0,224.1193
6,3,0.25,150,94,-,80.52691193458115,951,2,47.265625,140.0,0.0,230.6226
7,3,0.25,150,94,-,80.52691193458115,951,2,47.265625,120.0,0.0,226.9613
8,3,0.25,150,94,-,80.52691193458115,951,2,47.265625,180.0,0.0,230.8645
9,3,0.25,150,94,-,80.52691193458115,951,2,47.265625,232.0,0.0,224.4258
10,3,0.25,150,94,-,80.52691193458115,951,2,47.265625,224.0,0.0,225.6392
1,4,0.25,200,94,-,78.18376618407353,714,2,40.3046875,196.0,0.0,183.2563
2,4,0.25,200,94,-,78.18376618407353,714,2,40.3046875,344.0,0.0,175.2535
3,4,0.25,200,94,-,78.18376618407353,714,2,40.3046875,196.0,0.0,176.2148
4,4,0.25,200,94,-,78.18376618407353,714,2,40.3046875,148.0,0.0,176.2537
5,4,0.25,200,94,-,78.18376618407353,714,2,40.3046875,292.0,0.0,175.3176
6,4,0.25,200,94,-,78.18376618407353,714,2,40.3046875,372.0,0.0,178.6909
7,4,0.25,200,94,-,78.18376618407353,714,2,40.3046875,420.0,256.0,173.0152
8,4,0.25,200,94,-,78.18376618407353,714,2,40.3046875,536.0,240.0,175.19
9,4,0.25,200,94,-,78.18376618407353,714,2,40.3046875,408.0,120.0,174.5537
10,4,0.25,200,94,-,78.18376618407353,714,2,40.3046875,396.0,360.0,178.9627
1,5,0.25,250,94,-,77.59797974644664,895,2,45.6875,556.0,308.0,214.9333
2,5,0.25,250,94,-,77.59797974644664,895,2,45.6875,588.0,316.0,214.8728
3,5,0.25,250,94,-,77.59797974644664,895,2,45.6875,748.0,496.0,215.7243
4,5,0.25,250,94,-,77.59797974644664,895,2,45.6875,532.0,0.0,216.994
5,5,0.25,250,94,-,77.59797974644664,895,2,45.6875,792.0,680.0,218.7756
6,5,0.25,250,94,-,77.59797974644664,895,2,45.6875,668.0,104.0,218.6219
7,5,0.25,250,94,-,77.59797974644664,895,2,45.6875,508.0,356.0,215.8064
8,5,0.25,250,94,-,77.59797974644664,895,2,45.6875,392.0,8.0,216.329
9,5,0.25,250,94,-,77.59797974644664,895,2,45.6875,896.0,672.0,217.9062
10,5,0.25,250,94,-,77.59797974644664,895,2,45.6875,196.0,44.0,217.4865
1,6,0.25,300,94,-,79.59797974644664,1179,2,40.6484375,660.0,668.0,281.9662
2,6,0.25,300,94,-,79.59797974644664,1179,2,40.6484375,452.0,44.0,277.2047
3,6,0.25,300,94,-,79.59797974644664,1179,2,40.6484375,460.0,40.0,275.8925
4,6,0.25,300,94,-,79.59797974644664,1179,2,40.6484375,736.0,976.0,277.3402
5,6,0.25,300,94,-,79.59797974644664,1179,2,40.6484375,1472.0,1380.0,279.9049
6,6,0.25,300,94,-,79.59797974644664,1179,2,40.6484375,812.0,600.0,285.7549
7,6,0.25,300,94,-,79.59797974644664,1179,2,40.6484375,1572.0,1620.0,280.4744
8,6,0.25,300,94,-,79.59797974644664,1179,2,40.6484375,456.0,276.0,275.9384
9,6,0.25,300,94,-,79.59797974644664,1179,2,40.6484375,612.0,276.0,295.9141
10,6,0.25,300,94,-,79.59797974644664,1179,2,40.6484375,724.0,420.0,291.7734
