Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,332.3916015625,276.0,0.0,277.60847
2,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,267.869339
3,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,270.037253
4,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,270.101104
5,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,267.342776
6,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,268.063315
7,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,269.94488
8,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,267.878196
9,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,269.302591
10,1,0.25,50,66.46803743153546,250,71.39696961966995,487,2,324.00390625,0.0,0.0,271.680229
1,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,215.695784
2,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,216.745108
3,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,215.190516
4,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,217.114941
5,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,216.318628
6,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,217.461134
7,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,216.36378
8,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,216.464448
9,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,214.724089
10,2,0.25,50,66.46803743153546,250,72.32590180780447,460,2,319.30078125,0.0,0.0,215.666953
1,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,628.513139
2,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,629.266756
3,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,627.65721
4,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,630.614356
5,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,626.826062
6,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,626.749086
7,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,628.21322
8,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,628.526018
9,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,630.822736
10,3,0.25,50,66.46803743153546,250,72.81118318204304,568,3,324.41796875,0.0,0.0,627.837593
1,4,0.25,50,66.46803743153546,250,70.81118318204304,380,2,314.05078125,0.0,0.0,359.094534
2,4,0.25,50,66.46803743153546,250,70.81118318204304,380,2,314.05078125,0.0,0.0,357.695755
3,4,0.25,50,66.46803743153546,250,70.81118318204304,380,2,314.05078125,0.0,0.0,356.846514
4,4,0.25,50,66.46803743153546,250,70.81118318204304,380,2,314.05078125,0.0,0.0,358.875836
5,4,0.25,50,66.46803743153546,250,70.81118318204304,380,2,314.05078125,0.0,0.0,360.631062
6,4,0.25,50,66.46803743153546,250,70.81118318204304,380,2,314.05078125,0.0,0.0,358.715556
7,4,0.25,50,66.46803743153546,250,70.81118318204304,380,2,314.05078125,0.0,0.0,359.668346
8,4,0.25,50,66.46803743153546,250,70.81118318204304,380,2,314.05078125,0.0,0.0,358.45757
9,4,0.25,50,66.46803743153546,250,70.81118318204304,380,2,314.05078125,0.0,0.0,357.287892
10,4,0.25,50,66.46803743153546,250,70.81118318204304,380,2,314.05078125,0.0,0.0,359.89337
1,5,0.25,50,66.46803743153546,250,70.56854249492376,380,2,314.25390625,0.0,0.0,288.48128
2,5,0.25,50,66.46803743153546,250,70.56854249492376,380,2,314.25390625,0.0,0.0,288.056555
3,5,0.25,50,66.46803743153546,250,70.56854249492376,380,2,314.25390625,0.0,0.0,287.581537
4,5,0.25,50,66.46803743153546,250,70.56854249492376,380,2,314.25390625,0.0,0.0,286.30137
5,5,0.25,50,66.46803743153546,250,70.56854249492376,380,2,314.25390625,0.0,0.0,287.994542
6,5,0.25,50,66.46803743153546,250,70.56854249492376,380,2,314.25390625,0.0,0.0,289.455484
7,5,0.25,50,66.46803743153546,250,70.56854249492376,380,2,314.25390625,0.0,0.0,291.468107
8,5,0.25,50,66.46803743153546,250,70.56854249492376,380,2,314.25390625,0.0,0.0,288.706842
9,5,0.25,50,66.46803743153546,250,70.56854249492376,380,2,314.25390625,0.0,0.0,288.959942
10,5,0.25,50,66.46803743153546,250,70.56854249492376,380,2,314.25390625,0.0,0.0,290.073078
1,6,0.25,50,66.46803743153546,250,69.98275605729685,349,2,310.80859375,0.0,0.0,354.788257
2,6,0.25,50,66.46803743153546,250,69.98275605729685,349,2,310.80859375,0.0,0.0,354.5235
3,6,0.25,50,66.46803743153546,250,69.98275605729685,349,2,310.80859375,0.0,0.0,355.456191
4,6,0.25,50,66.46803743153546,250,69.98275605729685,349,2,310.80859375,0.0,0.0,354.397318
5,6,0.25,50,66.46803743153546,250,69.98275605729685,349,2,310.80859375,0.0,0.0,356.245882
6,6,0.25,50,66.46803743153546,250,69.98275605729685,349,2,310.80859375,0.0,0.0,364.570194
7,6,0.25,50,66.46803743153546,250,69.98275605729685,349,2,310.80859375,0.0,0.0,355.132924
8,6,0.25,50,66.46803743153546,250,69.98275605729685,349,2,310.80859375,0.0,0.0,356.687098
9,6,0.25,50,66.46803743153546,250,69.98275605729685,349,2,310.80859375,0.0,0.0,357.113118
10,6,0.25,50,66.46803743153546,250,69.98275605729685,349,2,310.80859375,0.0,0.0,355.551539
1,7,0.25,50,66.46803743153546,250,69.98275605729685,280,2,303.02734375,0.0,0.0,220.437007
2,7,0.25,50,66.46803743153546,250,69.98275605729685,280,2,303.02734375,0.0,0.0,221.093897
3,7,0.25,50,66.46803743153546,250,69.98275605729685,280,2,303.02734375,0.0,0.0,221.215366
4,7,0.25,50,66.46803743153546,250,69.98275605729685,280,2,303.02734375,0.0,0.0,221.300855
5,7,0.25,50,66.46803743153546,250,69.98275605729685,280,2,303.02734375,0.0,0.0,222.465806
6,7,0.25,50,66.46803743153546,250,69.98275605729685,280,2,303.02734375,0.0,0.0,222.736563
7,7,0.25,50,66.46803743153546,250,69.98275605729685,280,2,303.02734375,0.0,0.0,221.467294
8,7,0.25,50,66.46803743153546,250,69.98275605729685,280,2,303.02734375,0.0,0.0,221.146649
9,7,0.25,50,66.46803743153546,250,69.98275605729685,280,2,303.02734375,0.0,0.0,222.779902
10,7,0.25,50,66.46803743153546,250,69.98275605729685,280,2,303.02734375,0.0,0.0,221.738441
1,8,0.25,50,66.46803743153546,250,70.56854249492375,348,2,307.19140625,0.0,0.0,250.087674
2,8,0.25,50,66.46803743153546,250,70.56854249492375,348,2,307.19140625,0.0,0.0,249.513527
3,8,0.25,50,66.46803743153546,250,70.56854249492375,348,2,307.19140625,0.0,0.0,285.896826
4,8,0.25,50,66.46803743153546,250,70.56854249492375,348,2,307.19140625,0.0,0.0,250.806878
5,8,0.25,50,66.46803743153546,250,70.56854249492375,348,2,307.19140625,0.0,0.0,250.083805
6,8,0.25,50,66.46803743153546,250,70.56854249492375,348,2,307.19140625,0.0,0.0,249.738255
7,8,0.25,50,66.46803743153546,250,70.56854249492375,348,2,307.19140625,0.0,0.0,250.241614
8,8,0.25,50,66.46803743153546,250,70.56854249492375,348,2,307.19140625,0.0,0.0,249.423593
9,8,0.25,50,66.46803743153546,250,70.56854249492375,348,2,307.19140625,0.0,0.0,249.841985
10,8,0.25,50,66.46803743153546,250,70.56854249492375,348,2,307.19140625,0.0,0.0,251.595261
1,9,0.25,50,66.46803743153546,250,69.39696961966995,282,2,303.55078125,0.0,0.0,343.138789
2,9,0.25,50,66.46803743153546,250,69.39696961966995,282,2,303.55078125,0.0,0.0,344.384453
3,9,0.25,50,66.46803743153546,250,69.39696961966995,282,2,303.55078125,0.0,0.0,344.518771
4,9,0.25,50,66.46803743153546,250,69.39696961966995,282,2,303.55078125,0.0,0.0,345.223221
5,9,0.25,50,66.46803743153546,250,69.39696961966995,282,2,303.55078125,0.0,0.0,345.241338
6,9,0.25,50,66.46803743153546,250,69.39696961966995,282,2,303.55078125,0.0,0.0,344.723935
7,9,0.25,50,66.46803743153546,250,69.39696961966995,282,2,303.55078125,0.0,0.0,343.318064
