Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,94,250,69.98275605729685,308,2,315.3525390625,1184.0,1000.0,275.429
2,1,0.25,50,94,250,69.98275605729685,308,2,307.08984375,328.0,264.0,282.3633
3,1,0.25,50,94,250,69.98275605729685,308,2,307.08984375,0.0,0.0,267.2016
4,1,0.25,50,94,250,69.98275605729685,308,2,307.08984375,12.0,0.0,278.6794
5,1,0.25,50,94,250,69.98275605729685,308,2,307.08984375,0.0,0.0,269.608
6,1,0.25,50,94,250,69.98275605729685,308,2,307.08984375,4.0,0.0,275.4482
7,1,0.25,50,94,250,69.98275605729685,308,2,307.08984375,52.0,0.0,280.2557
8,1,0.25,50,94,250,69.98275605729685,308,2,307.08984375,304.0,172.0,276.0485
9,1,0.25,50,94,250,69.98275605729685,308,2,307.08984375,0.0,0.0,275.8292
10,1,0.25,50,94,250,69.98275605729685,308,2,307.08984375,8.0,0.0,271.2676
1,2,0.25,100,94,250,69.98275605729684,275,2,1105.12890625,1292.0,1192.0,423.9871
2,2,0.25,100,94,250,69.98275605729684,275,2,1105.12890625,1284.0,1084.0,410.8913
3,2,0.25,100,94,250,69.98275605729684,275,2,1105.12890625,1220.0,1304.0,410.4845
4,2,0.25,100,94,250,69.98275605729684,275,2,1105.12890625,1164.0,1588.0,425.0694
5,2,0.25,100,94,250,69.98275605729684,275,2,1105.12890625,1192.0,1028.0,429.1994
6,2,0.25,100,94,250,69.98275605729684,275,2,1105.12890625,336.0,80.0,429.2474
7,2,0.25,100,94,250,69.98275605729684,275,2,1105.12890625,1160.0,1124.0,407.7896
8,2,0.25,100,94,250,69.98275605729684,275,2,1105.12890625,960.0,756.0,430.8929
9,2,0.25,100,94,250,69.98275605729684,275,2,1105.12890625,1024.0,948.0,420.3097
10,2,0.25,100,94,250,69.98275605729684,275,2,1105.12890625,1220.0,1152.0,425.4219
1,3,0.25,150,94,250,70.56854249492375,374,2,3083.48828125,4740.0,4728.0,597.2755
2,3,0.25,150,94,250,70.56854249492375,374,2,3083.48828125,4768.0,4584.0,587.1512
3,3,0.25,150,94,250,70.56854249492375,374,2,3083.48828125,4376.0,3364.0,609.1261
4,3,0.25,150,94,250,70.56854249492375,374,2,3083.48828125,4492.0,3972.0,604.3821
5,3,0.25,150,94,250,70.56854249492375,374,2,3083.48828125,4776.0,4512.0,596.8173
6,3,0.25,150,94,250,70.56854249492375,374,2,3083.48828125,4372.0,3748.0,600.013
7,3,0.25,150,94,250,70.56854249492375,374,2,3083.48828125,4920.0,4576.0,599.1205
8,3,0.25,150,94,250,70.56854249492375,374,2,3083.48828125,6260.0,6368.0,610.2721
9,3,0.25,150,94,250,70.56854249492375,374,2,3083.48828125,4328.0,3848.0,576.0186
10,3,0.25,150,94,250,70.56854249492375,374,2,3083.48828125,4364.0,4540.0,611.3013
1,4,0.25,200,94,250,70.56854249492375,346,2,4442.56640625,7880.0,7768.0,391.4241
2,4,0.25,200,94,250,70.56854249492375,346,2,4442.56640625,6376.0,7552.0,415.5657
3,4,0.25,200,94,250,70.56854249492375,346,2,4442.56640625,6968.0,8648.0,378.1287
4,4,0.25,200,94,250,70.56854249492375,346,2,4442.56640625,5488.0,6516.0,370.257
