Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,336.1953125,316.0,0.0,22.39597
2,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.7490234375,0.0,0.0,21.39422
3,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,21.141178
4,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,21.357964
5,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,21.357755
6,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,21.247084
7,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,21.197272
8,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,21.449968
9,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,21.456442
10,1,0.25,50,66.46803743153546,250,69.98275605729684,650,3,327.55859375,0.0,0.0,21.527408
1,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,20.703023
2,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,21.005064
3,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,20.65958
4,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,20.747405
5,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,20.578538
6,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,20.772019
7,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,20.726651
8,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,20.804023
9,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,20.607757
10,2,0.25,50,66.46803743153546,250,72.32590180780447,639,3,326.52734375,0.0,0.0,20.625004
1,3,0.25,50,66.46803743153546,250,71.39696961966995,640,3,326.16796875,0.0,0.0,20.574042
2,3,0.25,50,66.46803743153546,250,71.39696961966995,640,3,326.16796875,0.0,0.0,20.542045
3,3,0.25,50,66.46803743153546,250,71.39696961966995,640,3,326.16796875,0.0,0.0,20.54802
4,3,0.25,50,66.46803743153546,250,71.39696961966995,640,3,326.16796875,0.0,0.0,20.666904
