Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,50,94,250,69.98275605729684,616,3,336.9296875,1288.0,1532.0,29.4801
2,1,0.25,50,94,250,69.98275605729684,616,3,328.6240234375,328.0,304.0,30.9819
3,1,0.25,50,94,250,69.98275605729684,616,3,328.43359375,4.0,0.0,27.7895
4,1,0.25,50,94,250,69.98275605729684,616,3,328.43359375,272.0,120.0,29.8152
5,1,0.25,50,94,250,69.98275605729684,616,3,328.43359375,284.0,116.0,27.0784
6,1,0.25,50,94,250,69.98275605729684,616,3,328.43359375,280.0,4.0,29.5148
7,1,0.25,50,94,250,69.98275605729684,616,3,328.43359375,88.0,0.0,28.3122
8,1,0.25,50,94,250,69.98275605729684,616,3,328.43359375,80.0,0.0,29.3366
9,1,0.25,50,94,250,69.98275605729684,616,3,328.43359375,72.0,4.0,28.9788
10,1,0.25,50,94,250,69.98275605729684,616,3,328.43359375,52.0,0.0,30.3187
1,2,0.25,100,94,250,69.39696961966993,401,2,1116.30859375,2092.0,1492.0,31.7186
2,2,0.25,100,94,250,69.39696961966993,401,2,1116.30859375,1180.0,892.0,32.552
3,2,0.25,100,94,250,69.39696961966993,401,2,1116.30859375,1392.0,1460.0,31.7002
4,2,0.25,100,94,250,69.39696961966993,401,2,1116.30859375,1036.0,852.0,31.3396
5,2,0.25,100,94,250,69.39696961966993,401,2,1116.30859375,992.0,1012.0,31.3269
6,2,0.25,100,94,250,69.39696961966993,401,2,1116.30859375,1224.0,1380.0,31.3293
7,2,0.25,100,94,250,69.39696961966993,401,2,1116.30859375,1368.0,1600.0,35.2733
8,2,0.25,100,94,250,69.39696961966993,401,2,1116.30859375,1644.0,2092.0,30.9563
9,2,0.25,100,94,250,69.39696961966993,401,2,1116.30859375,1212.0,916.0,30.2975
10,2,0.25,100,94,250,69.39696961966993,401,2,1116.30859375,1300.0,1208.0,36.5802
1,3,0.25,150,94,250,72.32590180780446,849,4,3107.75390625,4720.0,4220.0,71.7216
2,3,0.25,150,94,250,72.32590180780446,849,4,3107.75390625,4536.0,4728.0,69.0022
3,3,0.25,150,94,250,72.32590180780446,849,4,3107.75390625,4028.0,3924.0,67.811
4,3,0.25,150,94,250,72.32590180780446,849,4,3107.75390625,4452.0,5356.0,68.6012
5,3,0.25,150,94,250,72.32590180780446,849,4,3107.75390625,4660.0,4624.0,68.0069
6,3,0.25,150,94,250,72.32590180780446,849,4,3107.75390625,4144.0,5172.0,72.0656
7,3,0.25,150,94,250,72.32590180780446,849,4,3107.75390625,3688.0,3840.0,71.6264
8,3,0.25,150,94,250,72.32590180780446,849,4,3107.75390625,2680.0,2732.0,70.208
9,3,0.25,150,94,250,72.32590180780446,849,4,3107.75390625,2320.0,2708.0,72.2944
10,3,0.25,150,94,250,72.32590180780446,849,4,3107.75390625,2600.0,2684.0,69.4874
1,4,0.25,200,94,250,70.56854249492375,422,2,4449.01171875,6868.0,7792.0,85.4211
2,4,0.25,200,94,250,70.56854249492375,422,2,4449.01171875,5132.0,6068.0,84.6301
3,4,0.25,200,94,250,70.56854249492375,422,2,4449.01171875,5800.0,5972.0,80.9751
4,4,0.25,200,94,250,70.56854249492375,422,2,4449.01171875,6100.0,6312.0,82.8918
5,4,0.25,200,94,250,70.56854249492375,422,2,4449.01171875,5872.0,6984.0,79.1015
6,4,0.25,200,94,250,70.56854249492375,422,2,4449.01171875,6496.0,7872.0,83.3819
7,4,0.25,200,94,250,70.56854249492375,422,2,4449.01171875,5612.0,7512.0,84.5087
8,4,0.25,200,94,250,70.56854249492375,422,2,4449.01171875,6028.0,6924.0,77.4772
9,4,0.25,200,94,250,70.56854249492375,422,2,4449.01171875,7616.0,8736.0,81.2055
10,4,0.25,200,94,250,70.56854249492375,422,2,4449.01171875,5688.0,7316.0,81.5425
1,5,0.25,250,94,250,69.98275605729685,376,2,7486.53515625,12596.0,14120.0,121.0259
2,5,0.25,250,94,250,69.98275605729685,376,2,7486.53515625,9104.0,11168.0,117.7986
3,5,0.25,250,94,250,69.98275605729685,376,2,7486.53515625,11760.0,13328.0,119.8346
4,5,0.25,250,94,250,69.98275605729685,376,2,7486.53515625,9464.0,11452.0,116.2841
5,5,0.25,250,94,250,69.98275605729685,376,2,7486.53515625,11316.0,13388.0,115.8131
