Algorithm,Metric,Grid size,Mean,Median,Standard Deviation,Minimum,Maximum
A*,Execution time (ms),50.0,19.32961747,19.8534035,2.363533097931671,14.844532,24.444409
A*,Execution time (ms),100.0,19.189190597,18.946343499999998,1.4559515133406276,16.953308,22.621537
A*,Execution time (ms),150.0,19.288161665,17.586666,4.655893649772015,14.46914,31.845456
A*,Execution time (ms),200.0,19.145079955999996,18.096578,6.618185857281655,12.185903,38.381054
A*,Execution time (ms),250.0,16.791454899,16.8911875,2.0301838606942963,11.794867,22.323805
A*,Execution time (ms),300.0,17.536036591,17.048399,4.24510518401376,10.96896,27.208524
ARA*,Execution time (ms),50.0,29.034102111,28.602998,2.8927237902610057,25.519787,54.775343
ARA*,Execution time (ms),100.0,30.547573412,30.121011000000003,2.8587088881426634,26.933991,37.283244
ARA*,Execution time (ms),150.0,31.923947895,26.4751115,10.998088751231593,22.664921,60.534126
ARA*,Execution time (ms),200.0,32.256335934999996,28.156275,14.453782115329917,22.217048,76.02115
ARA*,Execution time (ms),250.0,27.627518596,28.0504525,3.2249423425240797,20.926199,33.472563
ARA*,Execution time (ms),300.0,28.350445477,26.067553500000002,7.043941971656822,19.148773,42.880943
RTAA**,Execution time (ms),50.0,21.989319773,21.457998,2.862403979561806,16.752183,29.813182
RTAA**,Execution time (ms),100.0,31.326147404999997,31.7462875,6.161968831430499,19.525959,41.695535
RTAA**,Execution time (ms),150.0,54.646833188,53.938208,4.668684436099048,44.87259,62.638197
RTAA**,Execution time (ms),200.0,79.22995024999999,80.011012,7.103575657981478,57.360312,94.086138
RTAA**,Execution time (ms),250.0,113.36961404600001,113.2564845,6.8983350580585,93.943991,132.784723
RTAA**,Execution time (ms),300.0,164.043104577,162.703203,8.451133922399794,147.036582,192.436426
LRTA*,Execution time (ms),50.0,303.13424734,271.1841035,106.66831689890155,202.350764,599.644945
LRTA*,Execution time (ms),100.0,335.772383712,264.401975,163.93111723476196,172.252422,776.109224
LRTA*,Execution time (ms),150.0,337.768575156,316.5975345,101.51082136912952,216.02827,580.075779
LRTA*,Execution time (ms),200.0,318.422258722,324.4446885,118.37160738364152,58.326857,549.354229
LRTA*,Execution time (ms),250.0,393.09724299,400.7113695,126.55290140214719,96.458494,611.068876
LRTA*,Execution time (ms),300.0,434.17889060300007,404.92395050000005,88.0534579529758,320.034942,629.003023
D*,Execution time (ms),50.0,110.618186846,110.364326,2.1516257972494555,105.502398,123.878052
D*,Execution time (ms),100.0,798.090961638,784.4521305,38.44601353179154,743.176676,897.546204
D*,Execution time (ms),150.0,1106.887701085,1060.388771,108.00571847942504,920.777763,1387.900492
D*,Execution time (ms),200.0,1213.7314141000002,1183.161868,117.18777064899824,1066.466766,1531.105894
D*,Execution time (ms),250.0,1296.927047612,1305.376806,85.89192113633045,1124.90801,1523.955761
D*,Execution time (ms),300.0,1359.4029762599998,1345.8790925,97.2201774774518,1210.597443,1589.627375
D* Lite,Execution time (ms),50.0,98.926063747,102.9075465,22.115618002191873,63.172678,135.825487
D* Lite,Execution time (ms),100.0,110.591429004,105.669308,21.11738296321838,82.701279,150.901796
D* Lite,Execution time (ms),150.0,115.71132840199999,114.9404255,22.20959574323641,85.814987,176.051514
D* Lite,Execution time (ms),200.0,107.02185241,112.090804,22.641082093451026,73.063078,146.077606
D* Lite,Execution time (ms),250.0,109.013195173,107.76899499999999,11.209472911901651,90.912939,132.6622
D* Lite,Execution time (ms),300.0,117.39171842799999,117.352047,19.505627383870934,82.565286,150.472228
LPA*,Execution time (ms),50.0,175.271483687,179.14212650000002,17.01644053136902,145.062226,209.702624
LPA*,Execution time (ms),100.0,174.51048182399998,174.1612535,9.829718666384123,158.053093,193.240718
LPA*,Execution time (ms),150.0,177.412742854,160.62703,36.646748830651134,142.452182,259.818513
LPA*,Execution time (ms),200.0,177.50810425999998,167.760802,52.77691073282322,124.445729,323.602764
LPA*,Execution time (ms),250.0,160.39961020200002,160.8337985,15.555345192537098,122.222089,185.120495
LPA*,Execution time (ms),300.0,165.070966359,159.285326,31.681037401039575,114.495089,225.898382
A*,Path cost,50.0,79.61391770309004,79.35533905932733,1.3044286760442871,77.59797974644663,81.94112549695426
A*,Path cost,100.0,80.28254685319156,79.94112549695424,1.6377565470060327,78.18376618407353,83.45584412271569
A*,Path cost,150.0,81.23818177180196,79.94112549695424,3.7384306086586583,77.01219330881972,88.87005768508878
A*,Path cost,200.0,81.48670990922581,79.35533905932735,6.012523288632423,75.254833995939,98.04163056034258
A*,Path cost,250.0,79.42813126546312,79.0624458405139,2.3745936645993395,75.84062043356589,84.87005768508878
A*,Path cost,300.0,79.95950211536162,79.76955262170044,2.7659619033587717,76.42640687119281,85.35533905932733
ARA*,Path cost,50.0,79.61391770309004,79.35533905932733,1.3044286760442871,77.59797974644663,81.94112549695426
ARA*,Path cost,100.0,80.28254685319156,79.94112549695424,1.6377565470060327,78.18376618407353,83.45584412271569
ARA*,Path cost,150.0,81.23818177180196,79.94112549695424,3.7384306086586583,77.01219330881972,88.87005768508878
ARA*,Path cost,200.0,81.48670990922581,79.35533905932735,6.012523288632423,75.254833995939,98.04163056034258
ARA*,Path cost,250.0,79.42813126546312,79.0624458405139,2.3745936645993395,75.84062043356589,84.87005768508878
ARA*,Path cost,300.0,79.95950211536162,79.76955262170044,2.7659619033587717,76.42640687119281,85.35533905932733
RTAA**,Path cost,50.0,70.96854249492377,71.15432893255067,0.8561027176589241,69.39696961966995,72.32590180780447
RTAA**,Path cost,100.0,71.67148622007603,72.15432893255065,1.8749785234862417,68.81118318204304,74.32590180780447
RTAA**,Path cost,150.0,72.3200143574999,71.8614357137372,2.1542843609051885,69.98275605729684,78.32590180780448
RTAA**,Path cost,200.0,71.42712113868646,71.74011537017756,1.5742000653367183,68.22539674441613,73.74011537017755
RTAA**,Path cost,250.0,70.88569978244914,70.86143571373721,1.6161263631364629,68.81118318204302,74.91168824543136
RTAA**,Path cost,300.0,71.5200143574999,70.86143571373721,2.0555827011671832,69.39696961966995,77.15432893255064
LRTA*,Path cost,50.0,70.78275605729685,70.56854249492375,1.0400421932930553,69.39696961966995,72.81118318204304
LRTA*,Path cost,100.0,70.92417741353417,70.10407640085648,1.734622061151982,69.39696961966995,75.15432893255065
LRTA*,Path cost,150.0,70.6312841947207,70.6898628384834,1.1704770384910157,68.81118318204304,72.56854249492375
LRTA*,Path cost,200.0,70.75849198858492,70.8614357137372,1.5788937968876469,68.22539674441613,74.56854249492375
LRTA*,Path cost,250.0,70.69991334482224,70.39696961966995,1.2453867831973429,68.81118318204302,73.39696961966993
LRTA*,Path cost,300.0,70.67564927611032,70.56854249492376,0.6808143991397569,69.39696961966995,71.98275605729685
D*,Path cost,50.0,79.61391770309004,79.35533905932735,1.3044286760442805,77.59797974644664,81.94112549695424
D*,Path cost,100.0,80.28254685319156,79.94112549695424,1.637756547006028,78.18376618407353,83.45584412271569
D*,Path cost,150.0,81.23818177180196,79.94112549695424,3.7384306086586614,77.01219330881972,88.87005768508878
D*,Path cost,200.0,81.48670990922581,79.35533905932733,6.012523288632426,75.254833995939,98.0416305603426
D*,Path cost,250.0,79.42813126546314,79.06244584051389,2.37459366459933,75.84062043356592,84.87005768508877
D*,Path cost,300.0,79.9595021153616,79.76955262170043,2.7659619033587726,76.42640687119281,85.35533905932733
D* Lite,Path cost,50.0,69.39696961966995,69.39696961966995,0.7413385081026016,68.22539674441613,70.56854249492375
D* Lite,Path cost,100.0,69.86559876977145,69.39696961966995,0.8613575087350861,68.81118318204302,71.15432893255065
D* Lite,Path cost,150.0,69.91412690719531,69.98275605729685,1.040511511217707,68.81118318204304,72.22539674441613
D* Lite,Path cost,200.0,69.65554826343262,69.39696961966995,0.8433912017963501,68.22539674441613,71.39696961966993
D* Lite,Path cost,250.0,69.62123368838188,69.51828996322959,0.5468435481590052,68.81118318204302,70.56854249492376
D* Lite,Path cost,300.0,69.7484414822461,69.98275605729685,0.468863640559081,68.81118318204304,70.56854249492375
LPA*,Path cost,50.0,79.61391770309004,79.35533905932735,1.3044286760442778,77.59797974644664,81.94112549695424
LPA*,Path cost,100.0,80.28254685319156,79.94112549695424,1.637756547006028,78.18376618407353,83.45584412271569
LPA*,Path cost,150.0,81.23818177180196,79.94112549695424,3.7384306086586565,77.01219330881972,88.87005768508877
