Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,553.87890625,528.0,1024.0,1216.266686
2,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1196.155806
3,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1201.556953
4,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1183.363314
5,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1190.13885
6,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1190.395566
7,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1204.075357
8,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1200.984422
9,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1189.650215
10,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1190.466772
11,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1192.556563
12,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1192.370351
13,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1185.736651
14,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1192.649815
15,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1195.78137
16,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1188.265305
17,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1200.71821
18,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1193.09368
19,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1195.069435
20,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1195.23344
21,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1194.296922
22,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1208.190131
23,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1196.155856
24,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1184.30561
25,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1188.442923
26,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1196.518915
27,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1197.774249
28,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1205.205261
29,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1190.526517
30,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1195.237625
1,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,696.981101
2,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,703.387053
3,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,699.550062
4,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,697.455104
5,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,704.931118
6,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,696.834254
