Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.03515625,9240.0,9216.0,231.018188
2,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,229.047384
3,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,228.377522
4,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,228.651793
5,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,226.419769
6,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,224.300677
7,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,224.740976
8,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,229.891758
9,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,227.327026
10,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,223.276385
11,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,228.089868
12,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,230.592352
13,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,232.208101
14,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,227.245047
15,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,230.938364
16,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,225.758608
17,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,228.859806
18,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,225.643157
19,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,226.455258
20,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,219.832491
21,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,221.350831
22,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,220.857169
23,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,218.508807
24,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,226.674734
25,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,217.298958
26,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6332.0,7168.0,222.053521
