Algorithm,Metric,Obstacle Density,Mean,Median,Standard Deviation,Minimum,Maximum
ARA*,Execution time (ms),0.1,833.4375423,833.3908045000001,25.150407906138177,792.76334,875.988459
ARA*,Execution time (ms),0.15,873.0667789266666,879.0866565,27.784880806661672,811.46421,920.430022
ARA*,Execution time (ms),0.2,878.5755080233334,872.1301975,39.47780245956215,827.781824,1009.005936
ARA*,Execution time (ms),0.25,923.1566833166665,836.9447295,144.431341485795,798.435877,1227.525747
ARA*,Execution time (ms),0.3,1008.3612159866669,950.8382455,208.30751683988683,761.339228,1587.761043
ARA*,Execution time (ms),0.3500000000000001,1494.5395743566667,1294.475904,583.3682697389539,797.882724,2939.057338
ARA*,Execution time (ms),0.4000000000000001,2932.58667949,1978.3935245,2370.15210382081,697.262253,7569.291439
RTAA**,Execution time (ms),0.1,255.0841307333333,258.170208,16.712096982674318,217.298958,288.970283
RTAA**,Execution time (ms),0.15,257.9045808033333,256.96250299999997,20.168711708584837,213.837071,297.848786
RTAA**,Execution time (ms),0.2,263.5673856566667,265.4520645,26.2618734259647,222.263096,321.517263
RTAA**,Execution time (ms),0.25,254.1108374333333,261.205449,21.48024939495139,204.950042,288.722728
RTAA**,Execution time (ms),0.3,249.4127063,250.571057,10.930542510984461,222.236608,272.113622
RTAA**,Execution time (ms),0.3500000000000001,237.93668848000002,236.5285435,13.20191746164974,211.806153,270.865551
RTAA**,Execution time (ms),0.4000000000000001,226.30052741000003,227.43211200000002,15.666312000166258,194.47486,261.686861
LRTA*,Execution time (ms),0.1,1931.21090552,1973.0576315,263.6314409996306,1488.218687,2268.416545
LRTA*,Execution time (ms),0.15,2202.3945775266666,2255.0868415,449.39970812810174,1349.009691,2924.969141
LRTA*,Execution time (ms),0.2,2589.02079877,2593.0416145,327.1139542972842,2044.532116,3127.637969
LRTA*,Execution time (ms),0.25,2684.8218669466664,2787.950537,496.77697302467254,1706.240015,3402.311033
LRTA*,Execution time (ms),0.3,3401.3590193833334,2999.034354,1195.7380172860671,1734.744949,6061.126244
LRTA*,Execution time (ms),0.3500000000000001,3638.0888836500003,3193.6579575,1195.5728174254527,2364.115615,6803.314905
LRTA*,Execution time (ms),0.4000000000000001,3506.3776492700003,3158.9307785,981.7427105688168,2162.487381,5473.746692
D* Lite,Execution time (ms),0.1,970.23368457,1004.7900625,195.41587037611444,670.2396,1279.83095
D* Lite,Execution time (ms),0.15,1344.3627537266666,1336.960077,241.11080251494752,965.136948,2379.913608
D* Lite,Execution time (ms),0.2,1473.2976543099999,1519.320345,166.28994180262555,1158.169864,1772.274468
D* Lite,Execution time (ms),0.25,1495.3889801933333,1512.1398290000002,244.44985939393177,1027.569554,2058.287625
D* Lite,Execution time (ms),0.3,1615.1246225833333,1615.2785475,211.62281107207627,1088.067918,1869.461709
D* Lite,Execution time (ms),0.3500000000000001,1600.90207902,1618.0061325,108.3655134188687,1376.641265,1863.734606
D* Lite,Execution time (ms),0.4000000000000001,1583.55885794,1544.5299985,234.71831588318645,1245.362567,2056.427988
LPA*,Execution time (ms),0.1,2451.7575460266667,2456.17402,187.875012894031,2145.782744,2850.33042
LPA*,Execution time (ms),0.15,2949.8009889033333,3005.8841334999997,194.4441867344333,2526.722192,3225.343861
LPA*,Execution time (ms),0.2,3047.248791286667,3024.454744,168.27313690547385,2845.602665,3429.832648
LPA*,Execution time (ms),0.25,2889.7817398233337,2807.3564699999997,240.97931852920348,2612.611438,3412.852369
LPA*,Execution time (ms),0.3,2674.01793233,2608.2921685,235.54259736880263,2312.399999,3190.644153
