Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,380,-,286.859956417323,36197,5,6045.9375,9228.0,8344.0,1017.7725
2,1,0.1,301,380,-,286.859956417323,36197,5,6046.28125,8000.0,8908.0,1035.1778
3,1,0.1,301,380,-,286.859956417323,36197,5,6046.28125,8344.0,9276.0,1050.9906
4,1,0.1,301,380,-,286.859956417323,36197,5,6046.28125,8408.0,9256.0,1109.1114
5,1,0.1,301,380,-,286.859956417323,36197,5,6046.28125,8136.0,9296.0,1107.1122
6,1,0.1,301,380,-,286.859956417323,36197,5,6046.28125,8592.0,9736.0,1060.3293
7,1,0.1,301,380,-,286.859956417323,36197,5,6046.28125,8672.0,9632.0,1071.4603
8,1,0.1,301,380,-,286.859956417323,36197,5,6046.28125,7880.0,8736.0,1094.2706
9,1,0.1,301,380,-,286.859956417323,36197,5,6046.28125,9328.0,10764.0,972.1695
10,1,0.1,301,380,-,286.859956417323,36197,5,6046.28125,9624.0,10936.0,1027.7725
1,2,0.15000000000000002,301,380,-,293.8893936688458,35808,5,6037.765625,9124.0,10080.0,972.0169
2,2,0.15000000000000002,301,380,-,293.8893936688458,35808,5,6037.765625,8532.0,8688.0,1001.3626
3,2,0.15000000000000002,301,380,-,293.8893936688458,35808,5,6037.765625,9220.0,9700.0,1012.8847
4,2,0.15000000000000002,301,380,-,293.8893936688458,35808,5,6037.765625,9448.0,9788.0,1000.8781
5,2,0.15000000000000002,301,380,-,293.8893936688458,35808,5,6037.765625,9136.0,9536.0,984.2155
6,2,0.15000000000000002,301,380,-,293.8893936688458,35808,5,6037.765625,9588.0,9932.0,942.2617
7,2,0.15000000000000002,301,380,-,293.8893936688458,35808,5,6037.765625,9212.0,9776.0,1001.1307
8,2,0.15000000000000002,301,380,-,293.8893936688458,35808,5,6037.765625,9684.0,9928.0,946.5263
9,2,0.15000000000000002,301,380,-,293.8893936688458,35808,5,6037.765625,9376.0,9860.0,1010.5204
10,2,0.15000000000000002,301,380,-,293.8893936688458,35808,5,6037.765625,9748.0,10248.0,951.5106
1,3,0.20000000000000004,301,380,-,306.19090885901073,37701,5,7591.4375,12376.0,13600.0,1058.5667
2,3,0.20000000000000004,301,380,-,306.19090885901073,37701,5,7591.4375,8012.0,8652.0,1046.189
3,3,0.20000000000000004,301,380,-,306.19090885901073,37701,5,7591.4375,10228.0,11464.0,1018.5297
4,3,0.20000000000000004,301,380,-,306.19090885901073,37701,5,7591.4375,12380.0,13720.0,987.3458
5,3,0.20000000000000004,301,380,-,306.19090885901073,37701,5,7591.4375,12548.0,13996.0,1048.0495
6,3,0.20000000000000004,301,380,-,306.19090885901073,37701,5,7591.4375,10316.0,11540.0,1036.0806
7,3,0.20000000000000004,301,380,-,306.19090885901073,37701,5,7591.4375,12484.0,13792.0,1023.9727
8,3,0.20000000000000004,301,380,-,306.19090885901073,37701,5,7591.4375,12372.0,13872.0,985.4705
9,3,0.20000000000000004,301,380,-,306.19090885901073,37701,5,7591.4375,12332.0,13864.0,1049.8138
10,3,0.20000000000000004,301,380,-,306.19090885901073,37701,5,7591.4375,10512.0,11720.0,986.746
1,4,0.25000000000000006,301,380,-,318.14927829866804,34884,5,5998.328125,7276.0,7436.0,912.6798
2,4,0.25000000000000006,301,380,-,318.14927829866804,34884,5,5998.328125,9736.0,10296.0,961.5195
3,4,0.25000000000000006,301,380,-,318.14927829866804,34884,5,5998.328125,9636.0,10016.0,917.6903
4,4,0.25000000000000006,301,380,-,318.14927829866804,34884,5,5998.328125,9316.0,9696.0,956.6238
5,4,0.25000000000000006,301,380,-,318.14927829866804,34884,5,5998.328125,9168.0,9640.0,931.3706
6,4,0.25000000000000006,301,380,-,318.14927829866804,34884,5,5998.328125,9652.0,10448.0,936.2466
7,4,0.25000000000000006,301,380,-,318.14927829866804,34884,5,5998.328125,9852.0,10532.0,906.587
8,4,0.25000000000000006,301,380,-,318.14927829866804,34884,5,5998.328125,9508.0,10008.0,900.224
9,4,0.25000000000000006,301,380,-,318.14927829866804,34884,5,5998.328125,9288.0,9924.0,951.5678
10,4,0.25000000000000006,301,380,-,318.14927829866804,34884,5,5998.328125,9168.0,9672.0,904.8387
1,5,0.30000000000000004,301,380,-,337.6223663640867,35715,5,7488.9765625,12096.0,12548.0,1183.9445
2,5,0.30000000000000004,301,380,-,337.6223663640867,35715,5,7488.9765625,12064.0,13716.0,1177.2587
3,5,0.30000000000000004,301,380,-,337.6223663640867,35715,5,7488.9765625,12608.0,13172.0,1172.2278
4,5,0.30000000000000004,301,380,-,337.6223663640867,35715,5,7488.9765625,12588.0,13228.0,1151.6988
5,5,0.30000000000000004,301,380,-,337.6223663640867,35715,5,7488.9765625,9968.0,10228.0,1207.167
6,5,0.30000000000000004,301,380,-,337.6223663640867,35715,5,7488.9765625,12576.0,13208.0,1130.5144
