Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,268.70057685088807,-,286.2741699796961,35324,1,2935.4453125,1848.0,2048.0,303.230722
2,1,0.1,301,268.70057685088807,-,286.2741699796961,35324,1,2936.296875,0.0,0.0,310.320885
3,1,0.1,301,268.70057685088807,-,286.2741699796961,35324,1,2936.296875,0.0,0.0,311.189613
4,1,0.1,301,268.70057685088807,-,286.2741699796961,35324,1,2936.296875,0.0,0.0,309.623731
5,1,0.1,301,268.70057685088807,-,286.2741699796961,35324,1,2936.296875,0.0,0.0,308.2722
6,1,0.1,301,268.70057685088807,-,286.2741699796961,35324,1,2936.296875,0.0,0.0,308.063746
7,1,0.1,301,268.70057685088807,-,286.2741699796961,35324,1,2936.296875,0.0,0.0,306.332358
8,1,0.1,301,268.70057685088807,-,286.2741699796961,35324,1,2936.296875,0.0,0.0,308.049226
9,1,0.1,301,268.70057685088807,-,286.2741699796961,35324,1,2936.296875,0.0,0.0,306.818545
10,1,0.1,301,268.70057685088807,-,286.2741699796961,35324,1,2936.296875,0.0,0.0,309.182076
1,2,0.1,301,268.70057685088807,-,283.3452377915616,30774,1,2440.6875,0.0,0.0,276.651986
2,2,0.1,301,268.70057685088807,-,283.3452377915616,30774,1,2440.6875,0.0,0.0,268.492499
3,2,0.1,301,268.70057685088807,-,283.3452377915616,30774,1,2440.6875,0.0,0.0,269.448851
4,2,0.1,301,268.70057685088807,-,283.3452377915616,30774,1,2440.6875,0.0,0.0,272.481826
5,2,0.1,301,268.70057685088807,-,283.3452377915616,30774,1,2440.6875,0.0,0.0,268.053514
6,2,0.1,301,268.70057685088807,-,283.3452377915616,30774,1,2440.6875,0.0,0.0,269.827265
7,2,0.1,301,268.70057685088807,-,283.3452377915616,30774,1,2440.6875,0.0,0.0,266.839305
8,2,0.1,301,268.70057685088807,-,283.3452377915616,30774,1,2440.6875,0.0,0.0,270.607298
9,2,0.1,301,268.70057685088807,-,283.3452377915616,30774,1,2440.6875,0.0,0.0,269.702708
10,2,0.1,301,268.70057685088807,-,283.3452377915616,30774,1,2440.6875,0.0,0.0,271.180277
1,3,0.1,301,268.70057685088807,-,287.1025971044422,34470,1,2886.5546875,0.0,0.0,304.197557
2,3,0.1,301,268.70057685088807,-,287.1025971044422,34470,1,2886.5546875,0.0,0.0,299.205537
3,3,0.1,301,268.70057685088807,-,287.1025971044422,34470,1,2886.5546875,0.0,0.0,305.137446
4,3,0.1,301,268.70057685088807,-,287.1025971044422,34470,1,2886.5546875,0.0,0.0,300.472307
