Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,380,-,286.859956417323,37658,1,3024.9609375,4480.0,4708.0,417.7473
2,1,0.1,301,380,-,286.859956417323,37658,1,3025.3046875,5248.0,4788.0,445.0514
3,1,0.1,301,380,-,286.859956417323,37658,1,3025.3046875,4324.0,4756.0,409.6386
4,1,0.1,301,380,-,286.859956417323,37658,1,3025.3046875,4512.0,4964.0,400.1667
5,1,0.1,301,380,-,286.859956417323,37658,1,3025.3046875,4456.0,4964.0,404.4775
6,1,0.1,301,380,-,286.859956417323,37658,1,3025.3046875,3860.0,4244.0,416.1051
7,1,0.1,301,380,-,286.859956417323,37658,1,3025.3046875,4416.0,4936.0,408.0282
8,1,0.1,301,380,-,286.859956417323,37658,1,3025.3046875,3832.0,4212.0,408.6648
9,1,0.1,301,380,-,286.859956417323,37658,1,3025.3046875,4436.0,4948.0,408.6403
10,1,0.1,301,380,-,286.859956417323,37658,1,3025.3046875,4236.0,4612.0,407.6837
1,2,0.15000000000000002,301,380,-,293.8893936688458,39788,1,3236.15625,4468.0,4984.0,445.7358
2,2,0.15000000000000002,301,380,-,293.8893936688458,39788,1,3236.15625,4388.0,5012.0,473.962
3,2,0.15000000000000002,301,380,-,293.8893936688458,39788,1,3236.15625,3908.0,4480.0,439.8897
4,2,0.15000000000000002,301,380,-,293.8893936688458,39788,1,3236.15625,3896.0,4484.0,410.5676
5,2,0.15000000000000002,301,380,-,293.8893936688458,39788,1,3236.15625,3920.0,4512.0,415.5983
6,2,0.15000000000000002,301,380,-,293.8893936688458,39788,1,3236.15625,4056.0,4624.0,414.9548
7,2,0.15000000000000002,301,380,-,293.8893936688458,39788,1,3236.15625,3768.0,4200.0,431.3379
8,2,0.15000000000000002,301,380,-,293.8893936688458,39788,1,3236.15625,4092.0,4608.0,416.7103
9,2,0.15000000000000002,301,380,-,293.8893936688458,39788,1,3236.15625,3800.0,4240.0,412.1442
10,2,0.15000000000000002,301,380,-,293.8893936688458,39788,1,3236.15625,3908.0,4492.0,429.2278
1,3,0.20000000000000004,301,380,-,306.19090885901073,46216,1,4382.171875,6448.0,7228.0,467.0283
2,3,0.20000000000000004,301,380,-,306.19090885901073,46216,1,4382.171875,6372.0,6740.0,473.8373
3,3,0.20000000000000004,301,380,-,306.19090885901073,46216,1,4382.171875,6496.0,7228.0,469.5756
4,3,0.20000000000000004,301,380,-,306.19090885901073,46216,1,4382.171875,4280.0,4416.0,476.2696
5,3,0.20000000000000004,301,380,-,306.19090885901073,46216,1,4382.171875,5992.0,6744.0,477.0175
6,3,0.20000000000000004,301,380,-,306.19090885901073,46216,1,4382.171875,5484.0,5928.0,506.7697
7,3,0.20000000000000004,301,380,-,306.19090885901073,46216,1,4382.171875,3984.0,4320.0,464.6287
8,3,0.20000000000000004,301,380,-,306.19090885901073,46216,1,4382.171875,5920.0,6500.0,470.6961
9,3,0.20000000000000004,301,380,-,306.19090885901073,46216,1,4382.171875,5524.0,6148.0,495.7201
10,3,0.20000000000000004,301,380,-,306.19090885901073,46216,1,4382.171875,5912.0,6564.0,480.4018
1,4,0.25000000000000006,301,380,-,318.14927829866804,42210,1,4311.375,4816.0,5384.0,432.5441
2,4,0.25000000000000006,301,380,-,318.14927829866804,42210,1,4311.375,5056.0,5500.0,442.7077
3,4,0.25000000000000006,301,380,-,318.14927829866804,42210,1,4311.375,4824.0,5484.0,411.5025
4,4,0.25000000000000006,301,380,-,318.14927829866804,42210,1,4311.375,6008.0,6860.0,469.862
5,4,0.25000000000000006,301,380,-,318.14927829866804,42210,1,4311.375,4952.0,5680.0,430.354
6,4,0.25000000000000006,301,380,-,318.14927829866804,42210,1,4311.375,5884.0,6672.0,421.5474
7,4,0.25000000000000006,301,380,-,318.14927829866804,42210,1,4311.375,5360.0,6020.0,418.675
8,4,0.25000000000000006,301,380,-,318.14927829866804,42210,1,4311.375,6012.0,6868.0,426.536
9,4,0.25000000000000006,301,380,-,318.14927829866804,42210,1,4311.375,4920.0,5648.0,415.2033
10,4,0.25000000000000006,301,380,-,318.14927829866804,42210,1,4311.375,5876.0,6680.0,453.398
1,5,0.30000000000000004,301,380,-,337.6223663640867,42018,1,4488.9453125,5580.0,6240.0,479.1266
2,5,0.30000000000000004,301,380,-,337.6223663640867,42018,1,4488.9453125,4944.0,5124.0,400.61
3,5,0.30000000000000004,301,380,-,337.6223663640867,42018,1,4488.9453125,5608.0,6008.0,402.8503
4,5,0.30000000000000004,301,380,-,337.6223663640867,42018,1,4488.9453125,5040.0,5316.0,411.0765
5,5,0.30000000000000004,301,380,-,337.6223663640867,42018,1,4488.9453125,4724.0,5128.0,391.5831
6,5,0.30000000000000004,301,380,-,337.6223663640867,42018,1,4488.9453125,5092.0,5268.0,408.2937
7,5,0.30000000000000004,301,380,-,337.6223663640867,42018,1,4488.9453125,4940.0,5348.0,401.1593
8,5,0.30000000000000004,301,380,-,337.6223663640867,42018,1,4488.9453125,6200.0,6756.0,394.2892
9,5,0.30000000000000004,301,380,-,337.6223663640867,42018,1,4488.9453125,5420.0,5940.0,429.0082
10,5,0.30000000000000004,301,380,-,337.6223663640867,42018,1,4488.9453125,5040.0,5232.0,406.0505
1,6,0.3500000000000001,301,380,-,402.99494936611717,48810,1,5907.15625,8532.0,9292.0,471.087
2,6,0.3500000000000001,301,380,-,402.99494936611717,48810,1,5907.15625,9552.0,10072.0,462.0161
3,6,0.3500000000000001,301,380,-,402.99494936611717,48810,1,5907.15625,10152.0,11008.0,462.549
4,6,0.3500000000000001,301,380,-,402.99494936611717,48810,1,5907.15625,9476.0,10020.0,482.3996
5,6,0.3500000000000001,301,380,-,402.99494936611717,48810,1,5907.15625,9560.0,10328.0,457.1235
6,6,0.3500000000000001,301,380,-,402.99494936611717,48810,1,5907.15625,9400.0,10228.0,460.015
7,6,0.3500000000000001,301,380,-,402.99494936611717,48810,1,5907.15625,9364.0,10124.0,464.6179
8,6,0.3500000000000001,301,380,-,402.99494936611717,48810,1,5907.15625,6592.0,6924.0,458.1656
9,6,0.3500000000000001,301,380,-,402.99494936611717,48810,1,5907.15625,9224.0,9824.0,461.0576
10,6,0.3500000000000001,301,380,-,402.99494936611717,48810,1,5907.15625,6812.0,7128.0,460.2973
1,7,0.40000000000000013,301,380,-,443.1370849898482,24822,1,3000.2421875,1736.0,1756.0,231.3163
2,7,0.40000000000000013,301,380,-,443.1370849898482,24822,1,3000.2421875,3692.0,3876.0,237.0365
3,7,0.40000000000000013,301,380,-,443.1370849898482,24822,1,3000.2421875,3472.0,3668.0,232.4608
4,7,0.40000000000000013,301,380,-,443.1370849898482,24822,1,3000.2421875,3632.0,3800.0,231.9048
5,7,0.40000000000000013,301,380,-,443.1370849898482,24822,1,3000.2421875,4116.0,4436.0,228.5123
6,7,0.40000000000000013,301,380,-,443.1370849898482,24822,1,3000.2421875,-1584.0,-2196.0,226.4715
7,7,0.40000000000000013,301,380,-,443.1370849898482,24822,1,3000.2421875,3344.0,3536.0,241.9885
8,7,0.40000000000000013,301,380,-,443.1370849898482,24822,1,3000.2421875,3488.0,3676.0,225.0829
9,7,0.40000000000000013,301,380,-,443.1370849898482,24822,1,3000.2421875,2928.0,3116.0,224.8041
10,7,0.40000000000000013,301,380,-,443.1370849898482,24822,1,3000.2421875,3456.0,3652.0,223.5469
