Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,553.87890625,528.0,0.0,1247.580993
2,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1244.069418
3,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1241.058501
4,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1249.073976
5,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1232.697775
6,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1247.583341
7,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1248.228322
8,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1242.610203
9,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1242.523272
10,1,0.1,301,268.70057685088807,-,273.38686835190424,4251,1,451.59765625,0.0,0.0,1239.300061
1,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,731.811999
2,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,733.348538
3,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,732.568298
4,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,725.488674
5,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,726.349624
6,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,728.213826
7,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,733.85714
8,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,730.882346
9,2,0.1,301,268.70057685088807,-,272.2152954766504,2444,1,354.73046875,0.0,0.0,724.534458
