Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,380,-,272.80108191427735,3437,1,511.78515625,492.0,344.0,1404.2893
2,1,0.1,301,380,-,272.80108191427735,3437,1,411.47265625,108.0,56.0,1357.0316
3,1,0.1,301,380,-,272.80108191427735,3437,1,411.47265625,0.0,0.0,1363.4468
4,1,0.1,301,380,-,272.80108191427735,3437,1,411.47265625,4.0,0.0,1366.8791
5,1,0.1,301,380,-,272.80108191427735,3437,1,411.47265625,264.0,260.0,1352.0546
6,1,0.1,301,380,-,272.80108191427735,3437,1,411.47265625,0.0,0.0,1346.5219
7,1,0.1,301,380,-,272.80108191427735,3437,1,411.47265625,8.0,0.0,1358.738
8,1,0.1,301,380,-,272.80108191427735,3437,1,411.47265625,0.0,0.0,1349.9584
9,1,0.1,301,380,-,272.80108191427735,3437,1,411.47265625,380.0,380.0,1385.0479
10,1,0.1,301,380,-,272.80108191427735,3437,1,411.47265625,0.0,0.0,1345.99
1,2,0.15000000000000002,301,380,-,273.38686835190424,3197,1,396.66015625,56.0,52.0,1136.4306
2,2,0.15000000000000002,301,380,-,273.38686835190424,3197,1,396.66015625,60.0,56.0,1196.9335
3,2,0.15000000000000002,301,380,-,273.38686835190424,3197,1,396.66015625,236.0,232.0,1162.9874
4,2,0.15000000000000002,301,380,-,273.38686835190424,3197,1,396.66015625,0.0,0.0,1127.0491
5,2,0.15000000000000002,301,380,-,273.38686835190424,3197,1,396.66015625,484.0,496.0,1149.6447
6,2,0.15000000000000002,301,380,-,273.38686835190424,3197,1,396.66015625,260.0,260.0,1117.8444
7,2,0.15000000000000002,301,380,-,273.38686835190424,3197,1,396.66015625,488.0,496.0,1160.571
8,2,0.15000000000000002,301,380,-,273.38686835190424,3197,1,396.66015625,496.0,492.0,1138.064
9,2,0.15000000000000002,301,380,-,273.38686835190424,3197,1,396.66015625,488.0,492.0,1165.982
10,2,0.15000000000000002,301,380,-,273.38686835190424,3197,1,396.66015625,0.0,0.0,1129.5142
1,3,0.20000000000000004,301,380,-,278.07315985291945,6443,1,903.21484375,1260.0,1268.0,2132.8758
2,3,0.20000000000000004,301,380,-,278.07315985291945,6443,1,903.21484375,4.0,0.0,2124.6097
3,3,0.20000000000000004,301,380,-,278.07315985291945,6443,1,903.21484375,0.0,0.0,2099.4097
4,3,0.20000000000000004,301,380,-,278.07315985291945,6443,1,903.21484375,364.0,516.0,2143.5891
5,3,0.20000000000000004,301,380,-,278.07315985291945,6443,1,903.21484375,4.0,0.0,2201.6275
6,3,0.20000000000000004,301,380,-,278.07315985291945,6443,1,903.21484375,8.0,0.0,2252.6546
7,3,0.20000000000000004,301,380,-,278.07315985291945,6443,1,903.21484375,20.0,0.0,2094.4818
8,3,0.20000000000000004,301,380,-,278.07315985291945,6443,1,903.21484375,12.0,0.0,2136.9353
9,3,0.20000000000000004,301,380,-,278.07315985291945,6443,1,903.21484375,680.0,600.0,2158.1659
10,3,0.20000000000000004,301,380,-,278.07315985291945,6443,1,903.21484375,12.0,0.0,2123.5965
1,4,0.25000000000000006,301,380,-,279.8305191658001,6615,1,901.01953125,8.0,0.0,2033.8897
2,4,0.25000000000000006,301,380,-,279.8305191658001,6615,1,901.01953125,304.0,516.0,2053.9226
3,4,0.25000000000000006,301,380,-,279.8305191658001,6615,1,901.01953125,756.0,448.0,2081.0449
4,4,0.25000000000000006,301,380,-,279.8305191658001,6615,1,901.01953125,44.0,0.0,2187.8775
5,4,0.25000000000000006,301,380,-,279.8305191658001,6615,1,901.01953125,0.0,0.0,2035.7408
6,4,0.25000000000000006,301,380,-,279.8305191658001,6615,1,901.01953125,8.0,0.0,2010.8033
7,4,0.25000000000000006,301,380,-,279.8305191658001,6615,1,901.01953125,0.0,0.0,2024.6376
8,4,0.25000000000000006,301,380,-,279.8305191658001,6615,1,901.01953125,12.0,0.0,2048.8843
9,4,0.25000000000000006,301,380,-,279.8305191658001,6615,1,901.01953125,560.0,516.0,2048.4178
10,4,0.25000000000000006,301,380,-,279.8305191658001,6615,1,901.01953125,516.0,516.0,2019.851
1,5,0.30000000000000004,301,380,-,283.34523779156154,7778,1,953.24609375,952.0,956.0,2190.9009
2,5,0.30000000000000004,301,380,-,283.34523779156154,7778,1,953.24609375,524.0,524.0,2194.1681
3,5,0.30000000000000004,301,380,-,283.34523779156154,7778,1,953.24609375,4.0,0.0,2170.1789
4,5,0.30000000000000004,301,380,-,283.34523779156154,7778,1,953.24609375,0.0,0.0,2230.7177
5,5,0.30000000000000004,301,380,-,283.34523779156154,7778,1,953.24609375,0.0,0.0,2276.0051
6,5,0.30000000000000004,301,380,-,283.34523779156154,7778,1,953.24609375,0.0,0.0,2169.911
7,5,0.30000000000000004,301,380,-,283.34523779156154,7778,1,953.24609375,24.0,0.0,2241.047
8,5,0.30000000000000004,301,380,-,283.34523779156154,7778,1,953.24609375,4.0,0.0,2477.8932
9,5,0.30000000000000004,301,380,-,283.34523779156154,7778,1,953.24609375,440.0,440.0,2191.5876
10,5,0.30000000000000004,301,380,-,283.34523779156154,7778,1,953.24609375,0.0,0.0,2317.1992
1,6,0.3500000000000001,301,380,-,288.5168106668154,8530,1,989.53515625,396.0,508.0,2326.6506
2,6,0.3500000000000001,301,380,-,288.5168106668154,8530,1,989.53515625,700.0,516.0,2286.2123
3,6,0.3500000000000001,301,380,-,288.5168106668154,8530,1,989.53515625,0.0,0.0,2205.5934
4,6,0.3500000000000001,301,380,-,288.5168106668154,8530,1,989.53515625,1020.0,1024.0,2222.8162
5,6,0.3500000000000001,301,380,-,288.5168106668154,8530,1,989.53515625,0.0,0.0,2223.6876
6,6,0.3500000000000001,301,380,-,288.5168106668154,8530,1,989.53515625,508.0,508.0,2267.7255
7,6,0.3500000000000001,301,380,-,288.5168106668154,8530,1,989.53515625,36.0,0.0,2204.074
8,6,0.3500000000000001,301,380,-,288.5168106668154,8530,1,989.53515625,4.0,0.0,2218.2738
9,6,0.3500000000000001,301,380,-,288.5168106668154,8530,1,989.53515625,1008.0,840.0,2228.3746
10,6,0.3500000000000001,301,380,-,288.5168106668154,8530,1,989.53515625,1520.0,1184.0,2175.0307
1,7,0.40000000000000013,301,380,-,296.47518010647264,9730,1,1052.07421875,2968.0,3016.0,2286.655
2,7,0.40000000000000013,301,380,-,296.47518010647264,9730,1,1052.07421875,788.0,584.0,2283.1667
3,7,0.40000000000000013,301,380,-,296.47518010647264,9730,1,1052.07421875,1736.0,1768.0,2344.8801
4,7,0.40000000000000013,301,380,-,296.47518010647264,9730,1,1052.07421875,1308.0,1084.0,2256.3378
5,7,0.40000000000000013,301,380,-,296.47518010647264,9730,1,1052.07421875,52.0,0.0,2290.226
6,7,0.40000000000000013,301,380,-,296.47518010647264,9730,1,1052.07421875,1328.0,1060.0,2302.0969
7,7,0.40000000000000013,301,380,-,296.47518010647264,9730,1,1052.07421875,92.0,92.0,2235.808
8,7,0.40000000000000013,301,380,-,296.47518010647264,9730,1,1052.07421875,636.0,180.0,2249.158
9,7,0.40000000000000013,301,380,-,296.47518010647264,9730,1,1052.07421875,664.0,616.0,2261.0757
10,7,0.40000000000000013,301,380,-,296.47518010647264,9730,1,1052.07421875,1588.0,1340.0,2284.7299
