Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,380,-,286.859956417323,575529,80314,51910.484375,41324.0,41088.0,26145.0209
2,1,0.1,301,380,-,286.859956417323,575529,80314,51801.171875,41104.0,41052.0,26733.3822
3,1,0.1,301,380,-,286.859956417323,575529,80314,51801.171875,41744.0,41092.0,25989.5092
4,1,0.1,301,380,-,286.859956417323,575529,80314,51801.171875,41088.0,41056.0,25997.566
5,1,0.1,301,380,-,286.859956417323,575529,80314,51801.171875,41912.0,41056.0,26719.8651
6,1,0.1,301,380,-,286.859956417323,575529,80314,51801.171875,42052.0,41052.0,26180.2192
7,1,0.1,301,380,-,286.859956417323,575529,80314,51801.171875,39992.0,40024.0,26222.3599
8,1,0.1,301,380,-,286.859956417323,575529,80314,51801.171875,41168.0,41044.0,26354.4563
9,1,0.1,301,380,-,286.859956417323,575529,80314,51801.171875,41072.0,41044.0,27585.5202
10,1,0.1,301,380,-,286.859956417323,575529,80314,51801.171875,41184.0,41044.0,27349.2826
1,2,0.15000000000000002,301,380,-,293.88939366884586,512720,75772,49479.23046875,39104.0,38992.0,25787.1685
2,2,0.15000000000000002,301,380,-,293.88939366884586,512720,75772,49479.23046875,39280.0,39000.0,25811.9591
3,2,0.15000000000000002,301,380,-,293.88939366884586,512720,75772,49479.23046875,39084.0,39000.0,24740.4979
4,2,0.15000000000000002,301,380,-,293.88939366884586,512720,75772,49479.23046875,39096.0,39008.0,24760.5916
5,2,0.15000000000000002,301,380,-,293.88939366884586,512720,75772,49479.23046875,38152.0,37980.0,24706.3401
6,2,0.15000000000000002,301,380,-,293.88939366884586,512720,75772,49479.23046875,39188.0,39000.0,24812.6059
7,2,0.15000000000000002,301,380,-,293.88939366884586,512720,75772,49479.23046875,35964.0,35892.0,20554.3346
8,2,0.15000000000000002,301,380,-,293.88939366884586,512720,75772,49479.23046875,39152.0,38972.0,17386.5931
9,2,0.15000000000000002,301,380,-,293.88939366884586,512720,75772,49479.23046875,39096.0,39000.0,17054.5007
10,2,0.15000000000000002,301,380,-,293.88939366884586,512720,75772,49479.23046875,39168.0,38976.0,17341.1238
1,3,0.20000000000000004,301,380,-,306.1909088590106,454315,71210,49206.51953125,39052.0,39008.0,17196.5636
2,3,0.20000000000000004,301,380,-,306.1909088590106,454315,71210,49206.51953125,39056.0,39000.0,16953.7497
3,3,0.20000000000000004,301,380,-,306.1909088590106,454315,71210,49206.51953125,39236.0,39000.0,17329.9943
4,3,0.20000000000000004,301,380,-,306.1909088590106,454315,71210,49206.51953125,39052.0,39008.0,16482.8273
5,3,0.20000000000000004,301,380,-,306.1909088590106,454315,71210,49206.51953125,37392.0,36960.0,16745.2863
6,3,0.20000000000000004,301,380,-,306.1909088590106,454315,71210,49206.51953125,39328.0,39000.0,16936.7555
7,3,0.20000000000000004,301,380,-,306.1909088590106,454315,71210,49206.51953125,39324.0,39008.0,16581.7912
8,3,0.20000000000000004,301,380,-,306.1909088590106,454315,71210,49206.51953125,39268.0,39000.0,16801.6722
9,3,0.20000000000000004,301,380,-,306.1909088590106,454315,71210,49206.51953125,39240.0,39008.0,16960.3365
10,3,0.20000000000000004,301,380,-,306.1909088590106,454315,71210,49206.51953125,39084.0,39000.0,16742.6901
1,4,0.25000000000000006,301,380,-,318.149278298668,398421,66481,48942.77734375,39376.0,39000.0,17773.0008
2,4,0.25000000000000006,301,380,-,318.149278298668,398421,66481,48942.77734375,39088.0,39000.0,18758.5626
3,4,0.25000000000000006,301,380,-,318.149278298668,398421,66481,48942.77734375,39436.0,39008.0,18175.2679
4,4,0.25000000000000006,301,380,-,318.149278298668,398421,66481,48942.77734375,39080.0,39000.0,18012.3176
5,4,0.25000000000000006,301,380,-,318.149278298668,398421,66481,48942.77734375,39488.0,39000.0,17939.3113
6,4,0.25000000000000006,301,380,-,318.149278298668,398421,66481,48942.77734375,39008.0,39000.0,18005.5259
7,4,0.25000000000000006,301,380,-,318.149278298668,398421,66481,48942.77734375,38496.0,37976.0,18195.4561
8,4,0.25000000000000006,301,380,-,318.149278298668,398421,66481,48942.77734375,39472.0,39000.0,18392.0798
9,4,0.25000000000000006,301,380,-,318.149278298668,398421,66481,48942.77734375,39520.0,38972.0,18217.7977
10,4,0.25000000000000006,301,380,-,318.149278298668,398421,66481,48942.77734375,39060.0,39004.0,18027.4708
1,5,0.30000000000000004,301,380,-,337.62236636408676,343879,61205,48671.125,39560.0,39004.0,22964.6715
2,5,0.30000000000000004,301,380,-,337.62236636408676,343879,61205,48671.125,39172.0,38972.0,22730.5347
3,5,0.30000000000000004,301,380,-,337.62236636408676,343879,61205,48671.125,39860.0,39012.0,23132.7761
4,5,0.30000000000000004,301,380,-,337.62236636408676,343879,61205,48671.125,39112.0,39004.0,22960.9638
5,5,0.30000000000000004,301,380,-,337.62236636408676,343879,61205,48671.125,39920.0,39004.0,22924.1004
6,5,0.30000000000000004,301,380,-,337.62236636408676,343879,61205,48671.125,39152.0,39004.0,23127.3107
7,5,0.30000000000000004,301,380,-,337.62236636408676,343879,61205,48671.125,39844.0,39004.0,22846.0951
8,5,0.30000000000000004,301,380,-,337.62236636408676,343879,61205,48671.125,39084.0,39004.0,23379.552
9,5,0.30000000000000004,301,380,-,337.62236636408676,343879,61205,48671.125,34636.0,39004.0,22933.8819
10,5,0.30000000000000004,301,380,-,337.62236636408676,343879,61205,48671.125,39072.0,39004.0,23229.0115
1,6,0.3500000000000001,301,380,-,402.9949493661171,289469,54769,48393.63671875,40008.0,39008.0,33566.7797
2,6,0.3500000000000001,301,380,-,402.9949493661171,289469,54769,48393.63671875,39088.0,39016.0,33110.2438
3,6,0.3500000000000001,301,380,-,402.9949493661171,289469,54769,48393.63671875,39492.0,39004.0,33296.3384
4,6,0.3500000000000001,301,380,-,402.9949493661171,289469,54769,48393.63671875,39032.0,39004.0,33265.8801
5,6,0.3500000000000001,301,380,-,402.9949493661171,289469,54769,48393.63671875,39420.0,39004.0,33222.8192
6,6,0.3500000000000001,301,380,-,402.9949493661171,289469,54769,48393.63671875,39324.0,39004.0,32980.0115
7,6,0.3500000000000001,301,380,-,402.9949493661171,289469,54769,48393.63671875,39412.0,38980.0,33706.4551
8,6,0.3500000000000001,301,380,-,402.9949493661171,289469,54769,48393.63671875,38232.0,39012.0,33231.8919
9,6,0.3500000000000001,301,380,-,402.9949493661171,289469,54769,48393.63671875,39136.0,39004.0,33349.049
10,6,0.3500000000000001,301,380,-,402.9949493661171,289469,54769,48393.63671875,39052.0,39004.0,33091.2028
1,7,0.40000000000000013,301,380,-,443.13708498984823,107578,21466,46158.83203125,31264.0,30800.0,7795.8532
2,7,0.40000000000000013,301,380,-,443.13708498984823,107578,21466,46158.83203125,30824.0,30796.0,7698.2409
3,7,0.40000000000000013,301,380,-,443.13708498984823,107578,21466,46158.83203125,30872.0,30800.0,7708.6887
4,7,0.40000000000000013,301,380,-,443.13708498984823,107578,21466,46158.83203125,30824.0,30796.0,7621.0819
5,7,0.40000000000000013,301,380,-,443.13708498984823,107578,21466,46158.83203125,30912.0,30800.0,7654.4289
