Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1293.9140625,1056.0,1024.0,2539.771214
2,1,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1192.234375,0.0,0.0,2517.479319
3,1,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1192.234375,0.0,0.0,2555.130183
4,1,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1192.234375,0.0,0.0,2544.606043
5,1,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1192.234375,0.0,0.0,2548.47481
6,1,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1192.234375,0.0,0.0,2522.391893
7,1,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1192.234375,0.0,0.0,2556.287808
8,1,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1192.234375,0.0,0.0,2540.467789
9,1,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1192.234375,0.0,0.0,2580.851169
10,1,0.1,301,268.70057685088807,-,286.27416997969607,11743,2,1192.234375,0.0,0.0,2542.569575
1,2,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1106.234375,0.0,0.0,2200.717159
2,2,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1106.234375,0.0,0.0,2182.867778
3,2,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1106.234375,0.0,0.0,2185.438007
4,2,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1106.234375,0.0,0.0,2190.062301
5,2,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1106.234375,0.0,0.0,2177.802729
6,2,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1106.234375,0.0,0.0,2193.824864
7,2,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1106.234375,0.0,0.0,2224.290066
8,2,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1106.234375,0.0,0.0,2206.835268
9,2,0.1,301,268.70057685088807,-,283.34523779156154,10053,2,1106.234375,0.0,0.0,2175.367657
