Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,380,-,286.859956417323,12550,2,1338.59375,-6076.0,1224.0,5894.6569
2,1,0.1,301,380,-,286.859956417323,12550,2,1238.828125,1072.0,1068.0,4170.2119
3,1,0.1,301,380,-,286.859956417323,12550,2,1238.828125,1140.0,1152.0,4756.8473
4,1,0.1,301,380,-,286.859956417323,12550,2,1238.828125,1028.0,1032.0,4203.2198
5,1,0.1,301,380,-,286.859956417323,12550,2,1238.828125,576.0,0.0,4003.0037
6,1,0.1,301,380,-,286.859956417323,12550,2,1238.828125,72.0,0.0,3863.8428
7,1,0.1,301,380,-,286.859956417323,12550,2,1238.828125,512.0,0.0,3983.8536
8,1,0.1,301,380,-,286.859956417323,12550,2,1238.828125,128.0,0.0,4523.5032
9,1,0.1,301,380,-,286.859956417323,12550,2,1238.828125,516.0,516.0,3932.6255
10,1,0.1,301,380,-,286.859956417323,12550,2,1238.828125,512.0,520.0,3847.1145
1,2,0.15000000000000002,301,380,-,293.8893936688458,14198,2,1312.2734375,1024.0,1036.0,3960.9646
2,2,0.15000000000000002,301,380,-,293.8893936688458,14198,2,1312.2734375,1312.0,1268.0,4041.5692
3,2,0.15000000000000002,301,380,-,293.8893936688458,14198,2,1312.2734375,1060.0,1036.0,3976.6547
4,2,0.15000000000000002,301,380,-,293.8893936688458,14198,2,1312.2734375,528.0,0.0,4014.0241
5,2,0.15000000000000002,301,380,-,293.8893936688458,14198,2,1312.2734375,520.0,516.0,3956.4286
6,2,0.15000000000000002,301,380,-,293.8893936688458,14198,2,1312.2734375,964.0,516.0,3955.0416
7,2,0.15000000000000002,301,380,-,293.8893936688458,14198,2,1312.2734375,0.0,0.0,3940.3944
8,2,0.15000000000000002,301,380,-,293.8893936688458,14198,2,1312.2734375,4.0,0.0,3959.1816
9,2,0.15000000000000002,301,380,-,293.8893936688458,14198,2,1312.2734375,4.0,0.0,4010.7211
10,2,0.15000000000000002,301,380,-,293.8893936688458,14198,2,1312.2734375,4.0,0.0,4049.5407
1,3,0.20000000000000004,301,380,-,306.1909088590106,17589,2,1483.734375,4.0,0.0,4605.2748
2,3,0.20000000000000004,301,380,-,306.1909088590106,17589,2,1483.734375,744.0,1032.0,4617.4841
3,3,0.20000000000000004,301,380,-,306.1909088590106,17589,2,1483.734375,1028.0,1032.0,4499.4432
4,3,0.20000000000000004,301,380,-,306.1909088590106,17589,2,1483.734375,1624.0,1632.0,4585.0569
5,3,0.20000000000000004,301,380,-,306.1909088590106,17589,2,1483.734375,1300.0,1268.0,4561.2716
6,3,0.20000000000000004,301,380,-,306.1909088590106,17589,2,1483.734375,1032.0,1032.0,4522.26
7,3,0.20000000000000004,301,380,-,306.1909088590106,17589,2,1483.734375,1328.0,1332.0,4546.6299
8,3,0.20000000000000004,301,380,-,306.1909088590106,17589,2,1483.734375,1028.0,1032.0,4564.2277
9,3,0.20000000000000004,301,380,-,306.1909088590106,17589,2,1483.734375,1624.0,1632.0,4532.9231
10,3,0.20000000000000004,301,380,-,306.1909088590106,17589,2,1483.734375,1328.0,1332.0,4595.4525
1,4,0.25000000000000006,301,380,-,318.149278298668,16765,2,1428.28125,1400.0,1404.0,3970.4677
2,4,0.25000000000000006,301,380,-,318.149278298668,16765,2,1428.28125,1400.0,1404.0,4161.055
3,4,0.25000000000000006,301,380,-,318.149278298668,16765,2,1428.28125,1028.0,1036.0,3992.4891
4,4,0.25000000000000006,301,380,-,318.149278298668,16765,2,1428.28125,1396.0,1404.0,4082.449
5,4,0.25000000000000006,301,380,-,318.149278298668,16765,2,1428.28125,1684.0,1772.0,3951.7523
6,4,0.25000000000000006,301,380,-,318.149278298668,16765,2,1428.28125,1112.0,1036.0,4015.9725
7,4,0.25000000000000006,301,380,-,318.149278298668,16765,2,1428.28125,2332.0,2020.0,4014.3235
8,4,0.25000000000000006,301,380,-,318.149278298668,16765,2,1428.28125,1424.0,1404.0,4176.4964
9,4,0.25000000000000006,301,380,-,318.149278298668,16765,2,1428.28125,1396.0,1404.0,4343.6182
10,4,0.25000000000000006,301,380,-,318.149278298668,16765,2,1428.28125,516.0,516.0,4547.9604
1,5,0.30000000000000004,301,380,-,337.62236636408676,17750,2,1458.875,1888.0,2224.0,4585.5306
