Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.03515625,9240.0,9216.0,209.255995
2,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6596.0,7168.0,212.140221
3,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,211.75606
4,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,211.493637
5,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,218.063513
6,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,208.876319
7,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,209.942704
8,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,5540.0,6144.0,211.219151
9,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6596.0,7168.0,206.146348
10,1,0.1,301,268.70057685088807,250,276.9015869776656,2676,11,12772.88671875,6596.0,7168.0,217.278437
1,2,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12861.18359375,6596.0,7168.0,266.526805
2,2,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12861.18359375,6596.0,7168.0,265.183274
3,2,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12861.18359375,6596.0,7168.0,263.882013
4,2,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12861.18359375,6596.0,7168.0,267.038004
5,2,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12861.18359375,6596.0,7168.0,263.144469
6,2,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12861.18359375,6596.0,7168.0,265.902307
7,2,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12861.18359375,6596.0,7168.0,266.638454
8,2,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12861.18359375,6596.0,7168.0,268.471293
9,2,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12861.18359375,6596.0,7168.0,262.841973
10,2,0.1,301,268.70057685088807,250,285.2447327281733,4113,17,12861.18359375,6596.0,7168.0,266.080862
1,3,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12826.03515625,6596.0,7168.0,249.819074
2,3,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12826.03515625,6596.0,7168.0,250.9183
3,3,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12826.03515625,6596.0,7168.0,245.028737
4,3,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12826.03515625,6596.0,7168.0,255.563374
5,3,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12826.03515625,6596.0,7168.0,246.954716
6,3,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12826.03515625,6596.0,7168.0,248.319184
7,3,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12826.03515625,6596.0,7168.0,249.469213
8,3,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12826.03515625,6596.0,7168.0,254.189026
9,3,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12826.03515625,6596.0,7168.0,248.303131
10,3,0.1,301,268.70057685088807,250,279.2447327281733,3633,15,12826.03515625,6596.0,7168.0,251.834082
1,4,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12834.57421875,6596.0,7168.0,254.555956
2,4,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12834.57421875,6596.0,7168.0,258.388125
3,4,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12834.57421875,6596.0,7168.0,250.240866
4,4,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12834.57421875,6596.0,7168.0,256.364316
5,4,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12834.57421875,6596.0,7168.0,250.608898
6,4,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12834.57421875,6596.0,7168.0,256.592029
7,4,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12834.57421875,6596.0,7168.0,248.210586
8,4,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12834.57421875,6596.0,7168.0,251.7933
9,4,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12834.57421875,6596.0,7168.0,253.219405
10,4,0.1,301,268.70057685088807,250,281.7300141024119,3689,15,12834.57421875,6596.0,7168.0,250.513005
1,5,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12817.28515625,6596.0,7168.0,251.61994
2,5,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12817.28515625,6596.0,7168.0,246.594973
3,5,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12817.28515625,6596.0,7168.0,248.185102
4,5,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12817.28515625,6596.0,7168.0,253.714371
5,5,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12817.28515625,6596.0,7168.0,244.496849
6,5,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12817.28515625,6596.0,7168.0,251.553096
7,5,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12817.28515625,6596.0,7168.0,250.727278
8,5,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12817.28515625,6596.0,7168.0,247.334208
9,5,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12817.28515625,6596.0,7168.0,248.641783
10,5,0.1,301,268.70057685088807,250,279.2447327281733,3530,15,12817.28515625,6596.0,7168.0,253.393886
1,6,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12777.98046875,6596.0,7168.0,221.642399
2,6,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12777.98046875,6596.0,7168.0,221.063734
3,6,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12777.98046875,6596.0,7168.0,218.995116
4,6,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12777.98046875,6596.0,7168.0,222.992641
5,6,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12777.98046875,6596.0,7168.0,217.282858
6,6,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12777.98046875,6596.0,7168.0,223.423493
7,6,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12777.98046875,6596.0,7168.0,214.35292
8,6,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12777.98046875,6596.0,7168.0,224.074092
9,6,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12777.98046875,6596.0,7168.0,222.725201
10,6,0.1,301,268.70057685088807,250,277.4873734152925,2886,12,12777.98046875,6596.0,7168.0,214.451593
1,7,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12840.01171875,6596.0,7168.0,252.043186
2,7,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12840.01171875,6596.0,7168.0,252.907535
3,7,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12840.01171875,6596.0,7168.0,253.237232
4,7,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12840.01171875,6596.0,7168.0,255.221506
5,7,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12840.01171875,6596.0,7168.0,252.75265
6,7,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12840.01171875,6596.0,7168.0,257.035875
7,7,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12840.01171875,6596.0,7168.0,248.055354
8,7,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12840.01171875,6596.0,7168.0,254.893417
9,7,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12840.01171875,6596.0,7168.0,247.345879
10,7,0.1,301,268.70057685088807,250,282.3158005400388,3701,15,12840.01171875,6596.0,7168.0,254.136808
1,8,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12869.03515625,6596.0,7168.0,274.611569
2,8,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12869.03515625,6596.0,7168.0,276.196662
3,8,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12869.03515625,6596.0,7168.0,270.734142
4,8,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12869.03515625,6596.0,7168.0,278.927389
5,8,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12869.03515625,6596.0,7168.0,273.541366
6,8,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12869.03515625,6596.0,7168.0,275.927668
7,8,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12869.03515625,6596.0,7168.0,276.663674
8,8,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12869.03515625,6596.0,7168.0,275.20057
9,8,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12869.03515625,6596.0,7168.0,266.53508
10,8,0.1,301,268.70057685088807,250,278.6589462905464,4205,17,12869.03515625,7652.0,8192.0,275.407179
1,9,0.1,301,268.70057685088807,250,279.24473272817323,3574,15,12821.17578125,6596.0,7168.0,246.679694
2,9,0.1,301,268.70057685088807,250,279.24473272817323,3574,15,12821.17578125,5540.0,6144.0,240.286825
3,9,0.1,301,268.70057685088807,250,279.24473272817323,3574,15,12821.17578125,5540.0,6144.0,248.917717
4,9,0.1,301,268.70057685088807,250,279.24473272817323,3574,15,12821.17578125,5540.0,6144.0,246.029782
5,9,0.1,301,268.70057685088807,250,279.24473272817323,3574,15,12821.17578125,5540.0,6144.0,251.29732
6,9,0.1,301,268.70057685088807,250,279.24473272817323,3574,15,12821.17578125,5540.0,6144.0,246.086265
7,9,0.1,301,268.70057685088807,250,279.24473272817323,3574,15,12821.17578125,5540.0,6144.0,244.662823
8,9,0.1,301,268.70057685088807,250,279.24473272817323,3574,15,12821.17578125,6596.0,7168.0,238.61767
