Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,380,250,281.00209204105397,3868,16,12841.26171875,24292.0,25608.0,300.4044
2,1,0.1,301,380,250,281.00209204105397,3868,16,12841.67578125,15572.0,16416.0,292.2527
3,1,0.1,301,380,250,281.00209204105397,3868,16,12841.67578125,14488.0,15392.0,290.6922
4,1,0.1,301,380,250,281.00209204105397,3868,16,12841.67578125,14500.0,15396.0,299.7212
5,1,0.1,301,380,250,281.00209204105397,3868,16,12841.67578125,21464.0,24152.0,291.3909
6,1,0.1,301,380,250,281.00209204105397,3868,16,12842.1396484375,14496.0,15396.0,299.9545
7,1,0.1,301,380,250,281.00209204105397,3868,16,12841.67578125,14524.0,15392.0,295.1792
8,1,0.1,301,380,250,281.00209204105397,3868,16,12841.67578125,14500.0,15396.0,287.5446
9,1,0.1,301,380,250,281.00209204105397,3868,16,12841.67578125,21372.0,23768.0,291.6354
10,1,0.1,301,380,250,281.00209204105397,3868,16,12841.67578125,15528.0,16416.0,301.0391
1,2,0.15000000000000002,301,380,250,284.1736649163077,4334,18,12865.05859375,15528.0,16416.0,307.1875
2,2,0.15000000000000002,301,380,250,284.1736649163077,4334,18,12865.05859375,15504.0,16416.0,322.1314
3,2,0.15000000000000002,301,380,250,284.1736649163077,4334,18,12865.05859375,21860.0,24136.0,315.2708
4,2,0.15000000000000002,301,380,250,284.1736649163077,4334,18,12865.3837890625,15512.0,16416.0,302.3834
5,2,0.15000000000000002,301,380,250,284.1736649163077,4334,18,12865.05859375,14504.0,15392.0,315.8594
6,2,0.15000000000000002,301,380,250,284.1736649163077,4334,18,12865.05859375,14512.0,15396.0,312.9212
7,2,0.15000000000000002,301,380,250,284.1736649163077,4334,18,12865.05859375,14528.0,15392.0,313.3678
8,2,0.15000000000000002,301,380,250,284.1736649163077,4334,18,12865.05859375,14484.0,15396.0,310.9033
9,2,0.15000000000000002,301,380,250,284.1736649163077,4334,18,12865.05859375,14524.0,15392.0,314.466
10,2,0.15000000000000002,301,380,250,284.1736649163077,4334,18,12865.05859375,14512.0,15396.0,304.1019
1,3,0.20000000000000004,301,380,250,290.274169979696,4483,18,12875.69140625,14504.0,15392.0,333.693
2,3,0.20000000000000004,301,380,250,290.274169979696,4483,18,12875.69140625,20356.0,22968.0,304.9312
3,3,0.20000000000000004,301,380,250,290.274169979696,4483,18,12875.69140625,14572.0,15400.0,302.9765
4,3,0.20000000000000004,301,380,250,290.274169979696,4483,18,12875.69140625,14504.0,15396.0,309.6717
5,3,0.20000000000000004,301,380,250,290.274169979696,4483,18,12875.69140625,14500.0,15392.0,300.9571
6,3,0.20000000000000004,301,380,250,290.274169979696,4483,18,12875.69140625,14500.0,15396.0,310.0865
7,3,0.20000000000000004,301,380,250,290.274169979696,4483,18,12875.69140625,14500.0,15392.0,312.6515
8,3,0.20000000000000004,301,380,250,290.274169979696,4483,18,12875.69140625,14508.0,15396.0,313.7272
9,3,0.20000000000000004,301,380,250,290.274169979696,4483,18,12875.69140625,14500.0,15392.0,312.3995
10,3,0.20000000000000004,301,380,250,290.274169979696,4483,18,12875.69140625,14508.0,15396.0,310.1484
1,4,0.25000000000000006,301,380,250,289.6883835420692,4112,17,12852.14453125,20772.0,23444.0,294.6391
2,4,0.25000000000000006,301,380,250,289.6883835420692,4112,17,12852.14453125,14520.0,15396.0,284.7234
3,4,0.25000000000000006,301,380,250,289.6883835420692,4112,17,12852.14453125,14492.0,15392.0,295.1736
4,4,0.25000000000000006,301,380,250,289.6883835420692,4112,17,12852.14453125,14448.0,15396.0,287.1819
5,4,0.25000000000000006,301,380,250,289.6883835420692,4112,17,12852.14453125,14488.0,15392.0,288.2914
6,4,0.25000000000000006,301,380,250,289.6883835420692,4112,17,12852.14453125,14444.0,15396.0,293.494
7,4,0.25000000000000006,301,380,250,289.6883835420692,4112,17,12852.14453125,14444.0,15392.0,294.185
8,4,0.25000000000000006,301,380,250,289.6883835420692,4112,17,12852.14453125,14484.0,15396.0,284.8082
9,4,0.25000000000000006,301,380,250,289.6883835420692,4112,17,12852.14453125,14468.0,15392.0,294.9158
10,4,0.25000000000000006,301,380,250,289.6883835420692,4112,17,12852.14453125,20476.0,23124.0,288.9777
1,5,0.30000000000000004,301,380,250,291.6883835420692,3374,14,12801.91796875,14452.0,15396.0,259.493
2,5,0.30000000000000004,301,380,250,291.6883835420692,3374,14,12801.91796875,14448.0,15396.0,258.309
3,5,0.30000000000000004,301,380,250,291.6883835420692,3374,14,12801.91796875,14436.0,15392.0,248.0551
4,5,0.30000000000000004,301,380,250,291.6883835420692,3374,14,12801.91796875,14424.0,15396.0,257.8887
5,5,0.30000000000000004,301,380,250,291.6883835420692,3374,14,12801.91796875,14444.0,15392.0,260.0043
6,5,0.30000000000000004,301,380,250,291.6883835420692,3374,14,12801.91796875,14420.0,15396.0,252.5658
7,5,0.30000000000000004,301,380,250,291.6883835420692,3374,14,12801.91796875,14428.0,15392.0,260.4078
8,5,0.30000000000000004,301,380,250,291.6883835420692,3374,14,12801.91796875,14452.0,15396.0,258.028
9,5,0.30000000000000004,301,380,250,291.6883835420692,3374,14,12801.91796875,20340.0,22780.0,253.8144
10,5,0.30000000000000004,301,380,250,291.6883835420692,3374,14,12801.91796875,14440.0,15396.0,249.0695
1,6,0.3500000000000001,301,380,250,308.9604614807112,3594,15,12816.23046875,14412.0,15392.0,274.9509
2,6,0.3500000000000001,301,380,250,308.9604614807112,3594,15,12816.23046875,14460.0,15396.0,559.1199
3,6,0.3500000000000001,301,380,250,308.9604614807112,3594,15,12816.23046875,14420.0,15392.0,331.707
4,6,0.3500000000000001,301,380,250,308.9604614807112,3594,15,12816.23046875,14424.0,15396.0,315.7654
5,6,0.3500000000000001,301,380,250,308.9604614807112,3594,15,12816.23046875,14420.0,15392.0,269.1169
6,6,0.3500000000000001,301,380,250,308.9604614807112,3594,15,12816.23046875,14444.0,15396.0,282.6413
7,6,0.3500000000000001,301,380,250,308.9604614807112,3594,15,12816.23046875,14444.0,15392.0,274.0894
8,6,0.3500000000000001,301,380,250,308.9604614807112,3594,15,12816.23046875,14420.0,15396.0,257.715
9,6,0.3500000000000001,301,380,250,308.9604614807112,3594,15,12816.23046875,20836.0,23468.0,264.3064
10,6,0.3500000000000001,301,380,250,308.9604614807112,3594,15,12816.23046875,14428.0,15396.0,262.8143
1,7,0.40000000000000013,301,380,250,314.6173157302037,3115,13,12785.03515625,14392.0,15392.0,249.0865
2,7,0.40000000000000013,301,380,250,314.6173157302037,3115,13,12785.03515625,14384.0,15396.0,238.6695
3,7,0.40000000000000013,301,380,250,314.6173157302037,3115,13,12785.03515625,14412.0,15392.0,237.7783
4,7,0.40000000000000013,301,380,250,314.6173157302037,3115,13,12785.03515625,14368.0,15396.0,231.4427
5,7,0.40000000000000013,301,380,250,314.6173157302037,3115,13,12785.03515625,14396.0,15392.0,241.3538
6,7,0.40000000000000013,301,380,250,314.6173157302037,3115,13,12785.03515625,14368.0,15396.0,242.8613
7,7,0.40000000000000013,301,380,250,314.6173157302037,3115,13,12785.03515625,14396.0,15392.0,239.1418
8,7,0.40000000000000013,301,380,250,314.6173157302037,3115,13,12785.03515625,14376.0,15396.0,242.5769
9,7,0.40000000000000013,301,380,250,314.6173157302037,3115,13,12785.03515625,19964.0,22736.0,245.7608
10,7,0.40000000000000013,301,380,250,314.6173157302037,3115,13,12785.03515625,14400.0,15396.0,234.6321
