Algorithm,Metric,Obstacle Density,Mean,Median,Standard Deviation,Minimum,Maximum
A*,Execution time (ms),0.1,299.31363302,295.8990665,25.639997077804285,266.839305,385.701907
A*,Execution time (ms),0.15,363.36752428,372.2009765,24.369923952751574,311.244395,405.564814
A*,Execution time (ms),0.2,377.68980933,374.36012900000003,22.70893503812091,349.665231,456.559547
A*,Execution time (ms),0.25,356.66222364000004,343.79415700000004,30.67191203277384,319.995879,458.161814
A*,Execution time (ms),0.3,329.46971246,321.6875575,29.57641972113075,287.454834,423.356918
A*,Execution time (ms),0.3500000000000001,328.28187893,315.435858,53.51362446293148,237.039031,421.417966
A*,Execution time (ms),0.4000000000000001,285.95728971,272.5087815,109.1254832846898,118.846686,529.816695
ARA*,Execution time (ms),0.1,868.9387040700001,872.2601425,25.629828109292294,820.107638,916.871131
ARA*,Execution time (ms),0.15,914.5361580099999,917.8906225000001,28.704664725611376,853.979553,963.508148
ARA*,Execution time (ms),0.2,911.1489922700001,899.343557,43.30853957285394,868.380608,1035.646925
ARA*,Execution time (ms),0.25,950.45980791,858.563035,150.04936804828216,820.885125,1258.053309
ARA*,Execution time (ms),0.3,1036.9569031800002,988.7504134999999,211.67506444952346,774.173525,1633.781856
ARA*,Execution time (ms),0.3500000000000001,1454.4959264299998,1296.668829,579.4975093401796,806.332153,2939.714769
ARA*,Execution time (ms),0.4000000000000001,2957.4243352900003,1925.4050164999999,2419.395549370712,703.808146,7414.752819
RTAA**,Execution time (ms),0.1,246.29548726999997,248.77975,18.210426754374883,206.146348,278.927389
RTAA**,Execution time (ms),0.15,254.41270193999998,252.916058,21.03656693690758,210.411669,290.276984
RTAA**,Execution time (ms),0.2,259.19682592000004,261.1141045,27.19836627359465,217.525049,311.590243
RTAA**,Execution time (ms),0.25,249.45154845999997,254.8139185,22.54715629568998,201.365671,282.094559
RTAA**,Execution time (ms),0.3,242.78325238999994,243.0600685,10.791819432036714,216.869137,260.789717
RTAA**,Execution time (ms),0.3500000000000001,232.6093334,230.439913,13.84136738988816,203.81363,264.907767
RTAA**,Execution time (ms),0.4000000000000001,217.10075517999996,217.3854745,17.306807479098,186.015912,255.385647
LRTA*,Execution time (ms),0.1,1962.55368628,1991.27217,272.0401073953127,1509.827559,2301.317926
LRTA*,Execution time (ms),0.15,2248.67689486,2302.7091625000003,459.00419301480935,1381.742461,2970.991003
LRTA*,Execution time (ms),0.2,2654.40499219,2690.266079,348.69721909636223,2089.491378,3577.638891
LRTA*,Execution time (ms),0.25,2931.33017453,2904.937169,771.9429805959354,1747.166866,6092.305836
LRTA*,Execution time (ms),0.3,3540.8096086199994,3164.8736609999996,1219.2629072654893,1773.509742,6265.973574
LRTA*,Execution time (ms),0.3500000000000001,3752.40196073,3282.0753624999998,1256.846687932259,2432.598204,7129.215451
LRTA*,Execution time (ms),0.4000000000000001,3636.5596075099998,3254.7191455,1017.4635813407356,2235.32228,5693.258586
D* Lite,Execution time (ms),0.1,1005.9683485000002,1040.8760735,203.4295380193212,695.073297,1314.947017
D* Lite,Execution time (ms),0.15,1313.5718049099999,1352.4496049999998,147.73722324315708,985.890795,1545.636613
D* Lite,Execution time (ms),0.2,1473.96841143,1522.3862325,154.8172645106146,1184.594983,1675.915914
D* Lite,Execution time (ms),0.25,1524.02593398,1537.7204315,241.66002214347526,1060.700753,1919.742362
D* Lite,Execution time (ms),0.3,1633.84388737,1625.508076,215.64918804443892,1104.038689,1886.348192
D* Lite,Execution time (ms),0.3500000000000001,1622.45270471,1634.6604645,110.21428997627069,1399.377861,1796.623795
D* Lite,Execution time (ms),0.4000000000000001,1622.45840616,1585.168597,242.90898403220066,1278.50218,2098.849884
LPA*,Execution time (ms),0.1,2485.44231486,2467.5455535,200.36359931595894,2175.367657,2893.89858
LPA*,Execution time (ms),0.15,3022.10505806,3083.3148375,196.39150610464176,2601.906374,3251.067975
LPA*,Execution time (ms),0.2,3127.9266434799997,3102.879331,173.50069285188368,2923.89818,3503.06257
LPA*,Execution time (ms),0.25,3130.5841806900007,2896.738775,584.9506874924754,2715.966719,6776.625602
LPA*,Execution time (ms),0.3,2819.1513852099993,2727.1974339999997,290.39165923109243,2378.941741,3532.888129
LPA*,Execution time (ms),0.3500000000000001,2695.5511229800004,2618.9639795000003,447.9099808949035,1914.143032,3735.856445
LPA*,Execution time (ms),0.4000000000000001,2234.5558290699996,2160.6893525,816.002878260371,954.427684,3796.32162
A*,Path cost,0.1,285.77122625454376,285.9812767608826,1.4010026757841054,283.3452377915616,288.0315292925768
A*,Path cost,0.15,295.35385976291315,295.6467529817265,1.8288806789335068,291.54624791833817,297.4041122946072
A*,Path cost,0.2,305.8820776835539,305.26197667087615,2.8204447252839837,303.2619766708762,312.6761902332493
A*,Path cost,0.25,319.87059864222766,318.8563850798546,4.493764133422321,314.97770542341414,329.56349186104114
A*,Path cost,0.3,336.3194226389345,335.32947314527325,4.991032241497422,326.1076477383253,343.76450198781777
A*,Path cost,0.3500000000000001,382.1003317530333,372.89444430272886,16.312390317290316,360.7523086789979,406.6518036156096
A*,Path cost,0.4000000000000001,604.650793488833,564.2584053334078,147.9117964729037,464.89444430272897,999.1614716074884
ARA*,Path cost,0.1,285.77122625454376,285.9812767608826,1.4010026757841054,283.3452377915616,288.0315292925768
ARA*,Path cost,0.15,295.35385976291315,295.6467529817265,1.8288806789335068,291.54624791833817,297.4041122946072
ARA*,Path cost,0.2,305.8820776835539,305.26197667087615,2.8204447252839837,303.2619766708762,312.6761902332493
ARA*,Path cost,0.25,319.87059864222766,318.8563850798546,4.493764133422321,314.97770542341414,329.56349186104114
ARA*,Path cost,0.3,336.3194226389345,335.32947314527325,4.991032241497422,326.1076477383253,343.76450198781777
ARA*,Path cost,0.3500000000000001,382.1003317530333,372.89444430272886,16.312390317290316,360.7523086789979,406.6518036156096
ARA*,Path cost,0.4000000000000001,604.650793488833,564.2584053334078,147.9117964729037,464.89444430272897,999.1614716074884
RTAA**,Path cost,0.1,279.8145812091568,279.2447327281733,2.4340841642912996,276.9015869776656,285.2447327281733
RTAA**,Path cost,0.15,284.6949852598674,284.00209204105397,3.9348736595874803,278.65894629054634,291.34523779156154
RTAA**,Path cost,0.2,289.4440184606795,289.63813101037505,4.766930464754491,282.75945135393465,297.5462479183382
RTAA**,Path cost,0.25,295.15284963613647,296.0315292925768,7.302409582498838,282.416305603427,311.44574285495
RTAA**,Path cost,0.3,301.60310216783057,302.0315292925768,6.829121690533737,287.10259710444234,311.5462479183383
RTAA**,Path cost,0.3500000000000001,311.80482656210086,311.5965004500324,7.255427172995155,301.78888860545754,325.5462479183383
RTAA**,Path cost,0.4000000000000001,323.9504109743726,324.30360723121896,8.00763953838597,311.30360723121885,335.7888886054576
LRTA*,Path cost,0.1,274.7040256394297,274.6797615707177,1.6759816759855235,272.21529547665045,277.7300141024118
LRTA*,Path cost,0.15,279.281485964988,279.3158005400387,2.084763475639794,275.7300141024118,282.07315985291945
LRTA*,Path cost,0.2,286.0530588402419,285.73001410241193,3.6293984950373184,281.24473272817323,293.4873734152925
LRTA*,Path cost,0.25,293.6790473032241,293.17366491630776,4.238708616979447,285.7300141024119,300.0731598529196
LRTA*,Path cost,0.3,306.0506201784779,306.95183950935984,9.153982573949172,287.34523779156154,321.24473272817335
LRTA*,Path cost,0.3500000000000001,319.6689967968852,320.4163056034272,11.052256565101105,304.75945135393465,340.1147904132624
LRTA*,Path cost,0.4000000000000001,339.18026663410615,343.6086937588524,20.773864045115012,305.1025971044423,370.1147904132624
D* Lite,Path cost,0.1,272.68392462675195,272.80108191427735,0.5132494720812854,271.6295090390235,273.38686835190424
D* Lite,Path cost,0.15,275.1684917334968,275.1442276647849,0.4919691214799676,273.97265478953113,275.97265478953113
D* Lite,Path cost,0.2,277.53590155271644,277.4873734152925,0.9480570088972543,276.3158005400387,279.144227664785
D* Lite,Path cost,0.25,279.7376259469867,279.53762594698674,1.727141937075396,276.90158697766566,283.002092041054
D* Lite,Path cost,0.3,283.79376592898535,284.4665581351212,2.01766942638203,278.6589462905464,285.6883835420691
D* Lite,Path cost,0.3500000000000001,288.68838354206923,288.5670631985095,1.6227229818547921,285.9310242291884,292.5168106668154
D* Lite,Path cost,0.4000000000000001,296.02909063081285,295.9604614807113,2.983959244350187,291.78888860545743,301.4457428549499
LPA*,Path cost,0.1,285.77122625454376,285.9812767608826,1.4010026757841092,283.34523779156154,288.03152929257675
