Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
1,1,1,218.29646455628185,10216,1,1.61328125,0.1860058307647705
1,2,1,178.0832611206853,8172,1,2.23828125,0.10920929908752441
1,3,1,156.7817459305203,7067,1,0.58984375,0.0800623893737793
1,4,1,186.539105243401,9437,1,0.91796875,0.12866735458374023
1,5,1,292.32085117392177,28212,1,4.42578125,0.5636451244354248
1,6,1,169.25483399593912,7228,1,0.3515625,0.14067864418029785
1,7,1,138.3969696196699,6372,1,0.015625,0.08851170539855957
1,8,1,80.69848480983498,2090,1,0.0078125,0.02387547492980957
1,9,1,206.2548339959391,9095,1,0.79296875,0.15291476249694824
1,10,1,99.0121933088197,3069,1,0.42578125,0.03261852264404297
1,11,1,116.11269837220804,3345,1,0.0234375,0.0321047306060791
1,12,1,246.6518036156094,15979,1,1.546875,0.2654757499694824
1,13,1,160.84062043356593,7896,1,1.265625,0.12111973762512207
1,14,1,136.22539674441612,5286,1,0.62109375,0.08017158508300781
1,15,1,155.95331880577405,7771,1,0.1328125,0.11221981048583984
1,16,1,155.11269837220811,6532,1,0.0,0.0871438980102539
1,17,1,284.6223663640866,25918,1,1.52734375,0.4971427917480469
1,18,1,240.20815280171337,18360,1,2.48828125,0.3132143020629883
1,19,1,209.30865786510162,11022,1,1.65234375,0.1527235507965088
1,20,1,272.66399692442934,21720,1,2.54296875,0.35965704917907715
1,21,1,192.0954544295051,9720,1,1.5390625,0.12632489204406738
1,22,1,134.76955262170043,4582,1,0.69921875,0.048407554626464844
1,23,1,214.81118318204318,11810,1,0.828125,0.17745614051818848
1,24,1,126.45584412271567,3200,1,0.42578125,0.04972553253173828
1,25,1,235.55129855222106,16984,1,1.3046875,0.3416273593902588
1,26,1,270.7523086789977,18757,1,2.6640625,0.33496952056884766
1,27,1,265.13708498984795,20899,1,2.8125,0.35732102394104004
1,28,1,302.0782104868024,25405,1,2.19921875,0.4586498737335205
1,29,1,320.3208511739219,26733,1,3.23046875,0.5233697891235352
1,30,1,120.69848480983495,3593,1,0.41015625,0.04704880714416504
1,31,1,102.97056274847714,2973,1,0.05859375,0.03198814392089844
1,32,1,222.36753236814735,13157,1,1.34765625,0.2222156524658203
1,33,1,202.08326112068528,10802,1,1.0,0.1620776653289795
1,34,1,211.58073580374378,13083,1,1.51171875,0.19608736038208008
1,35,1,183.49747468305836,6139,1,0.7890625,0.08789515495300293
1,36,1,317.8233764908633,27080,1,2.4609375,0.7108781337738037
1,37,1,41.55634918610404,461,1,0.0,0.0
1,38,1,231.7817459305205,14604,1,1.1171875,0.315173864364624
1,39,1,191.2548339959391,8628,1,1.33203125,0.14337491989135742
1,40,1,196.09545442950503,12356,1,1.60546875,0.17971515655517578
1,41,1,194.40916292848996,12062,1,1.4921875,0.17367219924926758
1,42,1,185.5979797464467,5655,1,0.484375,0.07813787460327148
1,43,1,358.6051224213839,38292,1,4.12109375,0.8486795425415039
1,44,1,76.2132034355964,1441,1,0.06640625,0.015900135040283203
1,45,1,177.5979797464467,7982,1,1.75390625,0.15788555145263672
1,46,1,171.02438661763958,9329,1,1.82421875,0.10947108268737793
1,47,1,318.12489168102815,25115,1,2.203125,0.5993640422821045
1,48,1,17.07106781186548,216,1,0.0,0.01563429832458496
1,49,1,134.98275605729685,5839,1,0.69140625,0.07876706123352051
1,50,1,136.0538238691623,5864,1,0.109375,0.09483861923217773
1,51,1,173.35533905932743,7678,1,0.00390625,0.14302325248718262
1,52,1,54.14213562373095,729,1,0.0,0.007623434066772461
1,53,1,83.35533905932735,1998,1,0.0,0.024905920028686523
1,54,1,259.85281374238593,19342,1,2.2265625,0.4232900142669678
1,55,1,121.74011537017753,3942,1,0.0,0.04012465476989746
1,56,1,170.4974746830584,7010,1,0.63671875,0.09563112258911133
1,57,1,316.39191898578724,31240,1,2.26953125,0.7017261981964111
1,58,1,179.25483399593918,9857,1,1.3203125,0.17568755149841309
1,59,1,183.53910524340108,8884,1,1.78125,0.3482635021209717
1,60,1,85.11269837220806,2939,1,0.40234375,0.1363213062286377
1,61,1,277.4386001800128,19234,1,2.4921875,0.9662115573883057
1,62,1,112.15432893255064,3908,1,0.41015625,0.12010622024536133
1,63,1,195.61017305526659,14009,1,1.35546875,0.5657329559326172
1,64,1,288.1959594928936,16441,1,2.80859375,0.7664487361907959
1,65,1,279.17871555019076,24937,1,2.68359375,1.2143495082855225
1,66,1,294.0538238691626,20088,1,2.5390625,0.9895002841949463
1,67,1,76.6274169979695,1420,1,-0.69140625,0.015702486038208008
1,68,1,169.63961030678928,8593,1,1.6875,0.10966825485229492
1,69,1,250.76450198781754,17696,1,1.80078125,0.2772645950317383
1,70,1,47.72792206135785,512,1,0.03515625,0.007158041000366211
1,71,1,200.40916292848996,13006,1,1.62890625,0.16332483291625977
1,72,1,65.52691193458116,1354,1,0.15234375,0.015759944915771484
1,73,1,206.98275605729697,11647,1,1.32421875,0.17159056663513184
1,74,1,90.45584412271567,2451,1,0.41015625,0.03124523162841797
1,75,1,119.56854249492373,4781,1,0.30859375,0.04677939414978027
1,76,1,355.60512242138384,34798,1,3.87109375,0.7947597503662109
1,77,1,114.08326112068517,3632,1,0.27734375,0.023818016052246094
1,78,1,15.65685424949238,95,1,0.0,0.0
1,79,1,241.2964645562819,14156,1,1.5234375,0.2216489315032959
1,80,1,226.1665222413707,14484,1,1.57421875,0.21409821510314941
1,81,1,93.0121933088197,2448,1,0.421875,0.015749216079711914
1,82,1,126.29646455628156,4974,1,0.30078125,0.05568575859069824
1,83,1,70.11269837220807,1362,1,0.0,0.01608896255493164
1,84,1,173.02438661763955,7815,1,0.02734375,0.09687924385070801
1,85,1,217.30865786510174,15353,1,0.8203125,0.23280668258666992
1,86,1,109.35533905932733,3454,1,0.45703125,0.11855697631835938
1,87,1,249.20815280171348,19860,1,2.3359375,0.30602478981018066
1,88,1,282.72287142747484,20533,1,2.0703125,0.36466407775878906
1,89,1,450.7594513539351,58997,1,6.859375,1.3895924091339111
1,90,1,196.1837661840736,7668,1,0.61328125,0.09414982795715332
1,91,1,247.15432893255092,15589,1,1.71484375,0.26458048820495605
1,92,1,331.9360748630714,28242,1,2.35546875,0.5811400413513184
1,93,1,345.97770542341414,35966,1,5.44921875,0.7829380035400391
1,94,1,81.94112549695424,2053,1,0.0859375,0.015642642974853516
1,95,1,118.84062043356587,4121,1,0.37109375,0.04676628112792969
1,96,1,269.1959594928935,20414,1,2.640625,0.4006531238555908
1,97,1,20.07106781186548,147,1,0.0,0.0
1,98,1,80.0416305603426,1414,1,0.13671875,0.03510546684265137
1,99,1,87.42640687119281,2281,1,0.140625,0.027813196182250977
1,100,1,19.07106781186548,192,1,0.0,0.0
2,1,2,218.29646455628185,22570,4,2.58984375,0.5020911693572998
2,2,2,178.0832611206853,17200,4,1.20703125,0.3134644031524658
2,3,2,156.7817459305203,13875,4,1.90234375,0.2509326934814453
2,4,2,186.53910524340097,15298,4,1.60546875,0.2509894371032715
2,5,2,292.32085117392177,46341,4,4.71484375,1.5067143440246582
2,6,2,169.25483399593912,14148,4,1.68359375,0.6030325889587402
2,7,2,138.3969696196699,11861,4,1.69921875,0.4543123245239258
2,8,2,80.69848480983498,4085,4,0.3671875,0.10947418212890625
2,9,2,206.2548339959391,15617,4,1.48828125,0.6427764892578125
2,10,2,99.0121933088197,5862,4,0.14453125,0.18750429153442383
2,11,2,116.11269837220804,6819,4,0.625,0.2376384735107422
2,12,2,246.6518036156094,31902,4,2.3515625,1.9350495338439941
