Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
1,1,-,218.29646455628185,14720,1,1.08984375,0.0849611759185791
1,2,-,178.0832611206853,11858,1,0.3046875,0.06464886665344238
1,3,-,156.7817459305203,10314,1,0.0,0.048499345779418945
1,4,-,186.539105243401,13838,1,0.02734375,0.08031845092773438
1,5,-,292.32085117392177,43718,1,4.10546875,0.23881149291992188
1,6,-,169.25483399593912,10462,1,0.8203125,0.0565335750579834
1,7,-,138.3969696196699,9454,1,0.1015625,0.06432342529296875
1,8,-,80.69848480983498,2876,1,0.17578125,0.016178369522094727
1,9,-,206.2548339959391,13540,1,0.57421875,0.0884237289428711
1,10,-,99.0121933088197,4382,1,0.03125,0.016200542449951172
1,11,-,116.11269837220804,4720,1,0.0,0.12839007377624512
1,12,-,246.6518036156094,23998,1,0.65234375,0.12887096405029297
1,13,-,160.84062043356593,11550,1,0.8125,0.06458640098571777
1,14,-,136.22539674441612,7754,1,0.2421875,0.06517505645751953
1,15,-,155.95331880577405,11598,1,0.0,0.08495521545410156
1,16,-,155.11269837220811,9454,1,0.015625,0.05622673034667969
1,17,-,284.6223663640866,39788,1,2.37890625,0.27882814407348633
1,18,-,240.20815280171337,28158,1,2.23046875,0.18462204933166504
1,19,-,209.30865786510162,16712,1,1.11328125,0.08877110481262207
1,20,-,272.66399692442934,33132,1,1.12890625,0.1903519630432129
1,21,-,192.0954544295051,14382,1,0.05859375,0.08108115196228027
1,22,-,134.76955262170043,6584,1,0.05078125,0.027171850204467773
1,23,-,214.81118318204318,17380,1,0.0078125,0.08897757530212402
1,24,-,126.45584412271567,4366,1,0.0,0.024375438690185547
1,25,-,235.55129855222106,26012,1,0.57421875,0.16067862510681152
1,26,-,270.7523086789977,28332,1,2.2265625,0.1526331901550293
1,27,-,265.13708498984795,31968,1,1.2265625,0.21442222595214844
1,28,-,302.0782104868024,38958,1,1.9921875,0.2079007625579834
1,29,-,320.3208511739219,40998,1,2.5390625,0.20915770530700684
1,30,-,120.69848480983495,5012,1,-0.5390625,0.0321354866027832
1,31,-,102.97056274847714,4178,1,0.01953125,0.02432990074157715
1,32,-,222.36753236814735,19496,1,0.9375,0.10427641868591309
1,33,-,202.08326112068528,16058,1,0.97265625,0.0866696834564209
1,34,-,211.58073580374378,19622,1,0.65234375,0.11268186569213867
1,35,-,183.49747468305836,8690,1,0.8046875,0.0482325553894043
1,36,-,317.8233764908633,41338,1,3.09765625,0.2169344425201416
1,37,-,41.55634918610404,548,1,0.0,0.0
1,38,-,231.7817459305205,21706,1,1.39453125,0.11235809326171875
1,39,-,191.2548339959391,12466,1,0.9609375,0.0564577579498291
1,40,-,196.09545442950503,18786,1,0.15234375,0.12816667556762695
1,41,-,194.40916292848996,18226,1,0.07421875,0.09629940986633301
1,42,-,185.5979797464467,8128,1,0.0,0.048017024993896484
1,43,-,358.6051224213839,59714,1,2.50390625,0.32858872413635254
1,44,-,76.2132034355964,1926,1,0.00390625,0.008096933364868164
1,45,-,177.5979797464467,11738,1,0.28515625,0.06434512138366699
1,46,-,171.02438661763958,14170,1,0.28515625,0.08012032508850098
1,47,-,318.12489168102815,37768,1,2.4296875,0.2086946964263916
1,48,-,17.07106781186548,254,1,0.0,0.0
1,49,-,134.98275605729685,8564,1,0.3828125,0.04757332801818848
1,50,-,136.0538238691623,8614,1,0.03125,0.049083709716796875
