Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
1,1,-,110.76955262170044,6448,1,3.46484375,0.8279135227203369
1,2,-,111.5979797464466,3803,1,1.43359375,0.43747782707214355
1,3,-,127.33809511662415,2637,1,1.35546875,0.2941625118255615
1,4,-,129.8233764908627,4054,1,1.33984375,0.46050357818603516
1,5,-,133.55129855222057,8461,1,1.94140625,1.31791090965271
1,6,-,109.11269837220807,3666,1,1.38671875,0.4314265251159668
1,7,-,121.16652224137034,1843,1,1.1953125,0.22012662887573242
1,8,-,75.52691193458115,782,1,1.28125,0.10293698310852051
1,9,-,107.04163056034258,4231,1,1.40234375,0.5163149833679199
1,10,-,90.56854249492373,1149,1,1.10546875,0.14615297317504883
1,11,-,110.59797974644661,1735,1,1.48828125,0.20605158805847168
1,12,-,119.4680374315354,8494,1,1.67578125,1.1464929580688477
1,13,-,109.52691193458114,3352,1,0.92578125,0.4233086109161377
1,14,-,124.02438661763942,2188,1,1.09765625,0.28254199028015137
1,15,-,132.72287142747442,2077,1,0.859375,0.32997846603393555
1,16,-,107.04163056034258,2696,1,1.13671875,0.3516669273376465
1,17,-,126.92388155425107,10272,1,1.5859375,1.6979973316192627
1,18,-,128.16652224137033,5635,1,1.734375,1.041435718536377
1,19,-,128.99494936611651,4899,1,0.72265625,0.6874852180480957
1,20,-,133.9655121145937,7062,1,2.05078125,1.1741948127746582
1,21,-,123.6101730552663,4989,1,0.8125,0.6870002746582031
1,22,-,108.28427124746187,2224,1,0.8125,0.31339001655578613
1,23,-,110.76955262170043,6083,1,1.890625,0.7580809593200684
1,24,-,107.45584412271567,1948,1,0.7890625,0.2326185703277588
1,25,-,132.7228714274744,5245,1,1.6328125,0.6492609977722168
1,26,-,117.81118318204302,10303,1,1.01953125,1.313326358795166
1,27,-,121.95331880577393,9179,1,1.3984375,1.1764647960662842
1,28,-,127.33809511662415,8647,1,0.88671875,1.166757583618164
1,29,-,129.40916292848962,13761,1,1.34765625,2.039172649383545
1,30,-,112.01219330881973,2150,1,0.77734375,0.2857842445373535
1,31,-,95.45584412271569,1250,1,0.703125,0.15722060203552246
