Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
1,1,-,218.29646455628182,309958,50635,53.05859375,8.965132713317871
1,2,-,178.08326112068522,218875,35837,45.16796875,4.92658805847168
1,3,-,156.7817459305203,154659,25338,41.09375,3.098951578140259
1,4,-,186.53910524340102,317899,52110,39.65234375,10.887512922286987
1,5,-,292.3208511739217,378428,62069,35.22265625,10.691240072250366
1,6,-,169.25483399593915,134335,22041,26.12890625,2.107968330383301
1,7,-,138.39696961966996,155778,25467,25.109375,3.7459895610809326
1,8,-,80.69848480983495,69072,11255,22.92578125,1.3323173522949219
1,9,-,206.25483399593915,211575,34743,23.58984375,4.637576341629028
1,10,-,99.0121933088197,79643,13023,22.6171875,1.3741068840026855
1,11,-,116.11269837220804,146395,23897,25.19921875,4.209914207458496
1,12,-,246.6518036156093,259382,42492,26.6796875,6.710117816925049
1,13,-,160.84062043356596,166071,27336,25.80859375,3.356794595718384
1,14,-,136.22539674441612,142750,23304,24.91015625,3.165468692779541
1,15,-,155.95331880577407,211933,34650,25.1875,6.290544748306274
1,16,-,155.11269837220811,244010,39968,25.40234375,8.094454050064087
1,17,-,284.6223663640867,341866,56013,26.55859375,10.032916069030762
1,18,-,240.20815280171348,303938,49692,25.27734375,8.325303554534912
1,19,-,209.30865786510168,217620,35630,25.1484375,4.996896743774414
1,20,-,272.6639969244293,385601,63229,26.3046875,12.543869972229004
1,21,-,192.0954544295051,210150,34409,25.65234375,4.929490804672241
1,22,-,134.76955262170043,196248,32082,25.01953125,6.29532527923584
1,23,-,214.8111831820433,230953,37873,25.1328125,5.614314794540405
1,24,-,126.45584412271569,88006,14412,23.07421875,1.370868444442749
1,25,-,235.55129855222103,326813,53504,24.55078125,9.67349886894226
1,26,-,270.7523086789977,373455,61230,25.92578125,11.726114273071289
1,27,-,265.13708498984806,370167,60692,25.16015625,11.356770992279053
1,28,-,302.0782104868025,410077,67297,25.8828125,13.811558485031128
1,29,-,320.3208511739217,412660,67697,25.38671875,13.704666376113892
1,30,-,120.69848480983495,161636,26359,25.4296875,4.7066333293914795
1,31,-,102.97056274847711,67776,11122,22.875,1.0646100044250488
1,32,-,222.36753236814732,358787,58709,24.296875,13.452203273773193
1,33,-,202.08326112068522,225597,37031,24.6015625,5.6244213581085205
1,34,-,211.58073580374378,320017,52238,25.04296875,10.262403726577759
1,35,-,183.49747468305844,136141,22327,25.08984375,2.26149320602417
1,36,-,317.8233764908631,394687,64732,26.45703125,12.01167106628418
1,37,-,41.55634918610404,15315,2479,23.2578125,0.3158717155456543
1,38,-,231.78174593052037,180589,29581,24.91015625,3.9765448570251465
1,39,-,191.25483399593915,159228,26141,25.05078125,3.2219109535217285
1,40,-,196.09545442950514,223774,36674,24.60546875,5.908214807510376
1,41,-,194.40916292848988,195440,31944,25.015625,4.71406626701355
1,42,-,185.59797974644667,210033,34340,25.03515625,5.234169006347656
1,43,-,358.60512242138395,409664,67170,27.0625,12.197715044021606
1,44,-,76.21320343559641,46886,7673,23.00390625,0.6190388202667236
1,45,-,177.59797974644675,184419,30183,24.3046875,3.9362714290618896
1,46,-,171.02438661763958,315525,51492,25.625,13.584174394607544
1,47,-,318.1248916810282,372376,61002,25.06640625,10.320705890655518
1,48,-,17.071067811865476,2432,394,23.15625,0.11919808387756348
1,49,-,134.98275605729685,128631,21029,25.00390625,2.6104302406311035
1,50,-,136.0538238691623,166067,27212,-85.5078125,4.5475006103515625
1,51,-,173.35533905932743,248074,40671,25.23828125,7.890893459320068
1,52,-,54.14213562373094,27482,4475,23.0546875,0.3693125247955322
1,53,-,83.35533905932733,70327,11521,23.02734375,1.3723487854003906
1,54,-,259.85281374238605,340711,55881,25.9609375,10.904027462005615
1,55,-,121.74011537017753,143249,23572,25.13671875,4.072693824768066
1,56,-,170.49747468305844,193779,31618,24.90234375,4.953770875930786
1,57,-,316.39191898578736,406066,66568,26.53515625,13.228069305419922
1,58,-,179.25483399593912,221771,36218,25.17578125,5.6723854541778564
1,59,-,183.53910524340102,246871,40510,24.56640625,7.176472425460815
1,60,-,85.11269837220806,32269,5335,22.95703125,0.4069480895996094
1,61,-,277.438600180013,373505,61150,24.73046875,12.49203610420227
1,62,-,112.15432893255063,136356,22169,25.3984375,4.156749486923218
1,63,-,195.61017305526656,282980,46275,24.9140625,9.459205389022827
1,64,-,288.1959594928936,326591,53542,24.84765625,9.051263809204102
1,65,-,279.1787155501907,375574,61566,25.61328125,11.170127630233765
1,66,-,294.0538238691626,288688,47367,25.1171875,6.895093679428101
1,67,-,76.6274169979695,60751,9841,23.1171875,1.1837055683135986
1,68,-,169.6396103067893,245155,40056,24.62109375,7.773362874984741
1,69,-,250.7645019878176,376614,61739,26.1953125,12.813725709915161
1,70,-,47.72792206135786,23208,3757,22.9765625,0.541466236114502
1,71,-,200.4091629284899,236632,38764,25.015625,6.88073205947876
1,72,-,65.52691193458116,45221,7338,22.9453125,0.8539810180664062
1,73,-,206.98275605729708,227666,37254,24.53125,6.0416035652160645
1,74,-,90.45584412271569,53109,8758,23.87109375,1.1564221382141113
1,75,-,119.56854249492373,128373,21012,24.57421875,3.942934513092041
1,76,-,355.605122421384,413148,67790,27.8125,31.216099739074707
1,77,-,114.08326112068517,131008,21474,25.29296875,8.861818552017212
1,78,-,15.656854249492383,2480,399,23.00390625,0.23424959182739258
1,79,-,241.29646455628185,206239,33841,25.015625,11.71375036239624
1,80,-,226.16652224137073,312326,51067,25.05859375,24.509320735931396
1,81,-,93.0121933088197,89097,14602,23.0234375,5.551454305648804
1,82,-,126.29646455628158,164527,26900,23.98828125,12.62245798110962
1,83,-,70.11269837220806,51386,8409,23.0,2.4258315563201904
1,84,-,173.02438661763955,171921,28113,24.60546875,9.960000991821289
1,85,-,217.30865786510165,274783,45089,26.51953125,20.829750537872314
1,86,-,109.35533905932735,101173,16581,23.30859375,2.5676450729370117
1,87,-,249.20815280171345,235260,38609,24.265625,5.744279146194458
1,88,-,282.72287142747496,339912,55632,26.04296875,10.74482011795044
1,89,-,450.75945135393505,412186,67675,26.1484375,12.694525241851807
1,90,-,196.18376618407365,187030,30701,24.90625,4.407417297363281
1,91,-,247.15432893255084,321524,52740,24.94140625,11.994807243347168
1,92,-,331.93607486307167,362164,59252,25.34375,16.832557201385498
1,93,-,345.97770542341436,367625,60322,25.3046875,10.680858373641968
1,94,-,81.94112549695426,73193,11871,22.95703125,1.4047703742980957
1,95,-,118.84062043356589,138839,22797,24.2734375,3.919074773788452
1,96,-,269.19595949289373,385989,63228,25.99609375,13.883285522460938
1,97,-,20.07106781186548,4264,682,23.0390625,0.12045955657958984
1,98,-,80.04163056034261,66032,10801,23.01171875,1.2094480991363525
1,99,-,87.42640687119281,81627,13291,22.3203125,1.795332908630371
1,100,-,19.071067811865476,3451,574,22.40234375,0.10693216323852539
