Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
1,1,-,109.94112549695424,6364,2,3.58984375,0.6416504383087158
1,2,-,107.45584412271567,5075,2,1.58984375,0.4470999240875244
1,3,-,116.15432893255064,4168,2,1.1015625,0.38791918754577637
1,4,-,115.74011537017755,5756,2,2.12890625,0.561882495880127
1,5,-,118.2253967444161,17282,2,1.6484375,1.9508378505706787
1,6,-,109.11269837220804,4546,2,1.265625,0.434647798538208
1,7,-,116.15432893255063,3779,2,1.3984375,0.36702561378479004
1,8,-,80.69848480983495,1236,2,1.859375,0.11099076271057129
1,9,-,107.87005768508877,5956,2,1.62109375,0.5615122318267822
1,10,-,99.01219330881972,1809,2,1.02734375,0.1576220989227295
1,11,-,111.1837661840735,2008,2,1.04296875,0.17186498641967773
1,12,-,112.01219330881972,9847,2,1.23828125,0.9406371116638184
1,13,-,109.94112549695424,4982,2,1.609375,0.4375126361846924
1,14,-,116.56854249492372,3191,2,0.87890625,0.2969367504119873
1,15,-,117.3969696196699,4634,2,1.3046875,0.42382097244262695
1,16,-,106.62741699796949,4131,2,1.078125,0.39372992515563965
1,17,-,115.32590180780446,16020,2,1.94140625,1.7682712078094482
1,18,-,119.0538238691623,11183,2,0.93359375,1.4236924648284912
1,19,-,120.71067811865466,6637,2,1.3828125,0.8746583461761475
1,20,-,117.3969696196699,13079,2,1.06640625,1.5096631050109863
1,21,-,115.74011537017755,5832,2,1.19921875,0.6268877983093262
1,22,-,110.35533905932733,2850,2,0.41796875,0.265972375869751
1,23,-,109.94112549695424,7409,2,1.47265625,0.6979010105133057
1,24,-,106.62741699796949,1936,2,0.546875,0.18812060356140137
1,25,-,116.56854249492372,10330,2,1.21875,1.2564842700958252
1,26,-,112.0121933088197,11757,2,1.234375,1.452124834060669
1,27,-,115.32590180780444,12777,2,1.05078125,1.4609417915344238
1,28,-,119.4680374315354,15443,2,1.20703125,1.7119121551513672
1,29,-,113.66904755831209,16451,2,1.07421875,1.7462503910064697
1,30,-,108.69848480983495,2146,2,0.875,0.18750667572021484
1,31,-,103.45584412271567,1823,2,0.7578125,0.2048628330230713
1,32,-,113.25483399593898,8215,2,1.484375,0.9206738471984863
1,33,-,109.52691193458115,6880,2,0.87109375,0.7280592918395996
1,34,-,116.56854249492373,7909,2,1.28515625,0.857611894607544
1,35,-,110.76955262170043,3846,2,0.3671875,0.3971588611602783
1,36,-,109.94112549695423,17247,2,1.19921875,2.2962639331817627
1,37,-,41.55634918610404,242,2,0.7109375,0.04859209060668945
1,38,-,109.11269837220806,9162,2,1.203125,1.0873205661773682
1,39,-,109.94112549695424,5412,2,1.359375,0.8382608890533447
1,40,-,118.6396103067892,7446,2,1.078125,0.9146900177001953
1,41,-,115.74011537017753,7246,2,1.25390625,1.1112797260284424
1,42,-,107.87005768508878,3613,2,0.3828125,0.3874514102935791
1,43,-,117.39696961966992,23425,2,3.43359375,3.1394217014312744
1,44,-,76.21320343559641,865,2,1.12890625,0.09409332275390625
1,45,-,108.28427124746186,5078,2,1.69921875,0.5005414485931396
1,46,-,117.39696961966992,5561,2,0.703125,0.6862423419952393
1,47,-,107.87005768508878,16491,2,1.03515625,1.9493377208709717
1,48,-,17.071067811865476,110,2,0.73046875,0.023947954177856445
1,49,-,113.25483399593898,3472,2,1.12890625,0.32451367378234863
1,50,-,116.56854249492375,3486,2,1.3515625,0.3374342918395996
1,51,-,106.2132034355964,4892,2,1.171875,0.524651050567627
1,52,-,54.14213562373094,408,2,1.48046875,0.04311847686767578
1,53,-,83.35533905932732,1163,2,1.04296875,0.12012314796447754
1,54,-,112.01219330881972,12174,2,1.640625,1.230825662612915
1,55,-,115.32590180780446,2356,2,0.69921875,0.23404741287231445
1,56,-,109.52691193458114,4367,2,1.12890625,0.415769100189209
1,57,-,120.71067811865466,19247,2,1.37109375,2.0332939624786377
1,58,-,106.62741699796949,6187,2,1.19921875,0.6248550415039062
1,59,-,112.0121933088197,5432,2,0.8671875,0.48246097564697266
1,60,-,85.11269837220806,1757,2,0.52734375,0.1693568229675293
1,61,-,114.08326112068515,12260,2,1.62890625,1.3378026485443115
1,62,-,112.15432893255063,2278,2,0.53515625,0.2134532928466797
1,63,-,114.49747468305826,8574,2,1.4921875,0.8536427021026611
1,64,-,110.35533905932733,10642,2,1.1015625,1.1869206428527832
1,65,-,117.39696961966992,15294,2,1.40625,1.6037731170654297
1,66,-,108.69848480983495,12943,2,0.7578125,1.3750262260437012
1,67,-,76.6274169979695,782,2,0.8671875,0.09366774559020996
1,68,-,113.254833995939,5272,2,1.3671875,0.5274474620819092
1,69,-,120.29646455628158,10628,2,1.171875,1.089564561843872
1,70,-,47.727922061357845,282,2,0.453125,0.03250432014465332
1,71,-,116.15432893255063,7731,2,1.82421875,0.7613401412963867
1,72,-,65.52691193458115,729,2,0.359375,0.09628057479858398
1,73,-,110.35533905932733,7218,2,1.390625,0.839240312576294
1,74,-,90.45584412271567,1451,2,2.0546875,0.15262436866760254
1,75,-,116.56854249492373,2802,2,0.87890625,0.2806234359741211
1,76,-,120.29646455628158,21400,2,3.64453125,2.63474178314209
1,77,-,114.08326112068517,2135,2,0.96484375,0.208573579788208
1,78,-,15.656854249492383,43,2,1.0546875,0.024399280548095703
1,79,-,108.69848480983497,8891,2,1.203125,0.9518561363220215
1,80,-,114.49747468305826,8915,2,1.19921875,0.9547343254089355
1,81,-,93.0121933088197,1434,2,0.55078125,0.15246844291687012
1,82,-,119.88225099390849,2906,2,1.01953125,0.3590860366821289
1,83,-,70.11269837220806,766,2,0.71875,0.08109855651855469
1,84,-,116.98275605729683,4706,2,0.98828125,0.5223844051361084
1,85,-,116.15432893255064,9150,2,1.59375,0.972658634185791
1,86,-,109.35533905932735,2100,2,0.71875,0.23353219032287598
1,87,-,116.15432893255063,12040,2,1.578125,1.217703104019165
1,88,-,114.08326112068518,12678,2,0.9296875,1.345639705657959
1,89,-,114.91168824543136,36243,2,3.37890625,4.439211845397949
1,90,-,107.04163056034258,4839,2,0.9765625,0.5973570346832275
1,91,-,105.7989898732233,9897,2,1.546875,1.4179186820983887
1,92,-,118.2253967444161,17641,2,1.6640625,2.5302679538726807
1,93,-,119.05382386916229,22050,2,3.55859375,2.6258509159088135
1,94,-,81.94112549695424,1193,2,1.109375,0.12539339065551758
1,95,-,113.66904755831209,2387,2,1.09375,0.21930289268493652
1,96,-,114.49747468305824,12876,2,1.48828125,1.8766155242919922
1,97,-,20.07106781186548,71,2,0.71875,0.0807943344116211
1,98,-,80.0416305603426,807,2,1.04296875,0.3203763961791992
1,99,-,87.42640687119281,1322,2,1.29296875,0.36115193367004395
1,100,-,19.071067811865476,106,2,1.12109375,0.06249427795410156
